SMILES,ChEMBL,target,metric
OC1=C(Cc2ccc(OCCC3CCCCC3)cc2)SC(=O)N1,CHEMBL3685392,6.01,pIC50
CC(C)OCCOc1ccc(\C=C/2\SC(=NC2=O)O)cc1,CHEMBL3689757,6.02,pIC50
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)NC4CCCC4,CHEMBL3103028,6.02,pIC50
[O-][N+](=O)c1ccc(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2Cl)cc1,CHEMBL2414142,6.03,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCc3occc3)cc2)\S1,CHEMBL601089,6.05,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCCC3CCCCC3)cc2)\N1,CHEMBL606032,6.06,pIC50
OC1=C(Cc2ccc(OCC3CCCC3)cc2)SC(=O)N1,CHEMBL3685394,6.07,pIC50
O=C1NC(=O)\C(=C/c2ccc(OCc3ccc(cc3)c4ccccc4)cc2)\S1,CHEMBL599395,6.09,pIC50
OC1=NC(=O)\C(=C\c2ccc(OC3CCCCC3)cc2)\S1,CHEMBL3685343,6.09,pIC50
OC1=NC(=O)\C(=C\c2ccc(OCc3ccc(cc3)c4ccccc4)cc2)\S1,CHEMBL3685364,6.09,pIC50
OC1=C(Cc2ccc(OCCC3CCCC3)cc2)SC(=O)N1,CHEMBL3685396,6.11,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCC3CCCCO3)cc2)\S1,CHEMBL85579,6.13,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCCC3CCCCO3)cc2)\S1,CHEMBL598175,6.13,pIC50
Cc1ccc(COc2ccc(\C=C/3\SC(=NC3=O)O)cc2)cc1,CHEMBL3689759,6.14,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCCN3CCOCC3)cc2)\S1,CHEMBL599002,6.15,pIC50
OC1=NC(=S)\C(=C\c2ccc(OCCC3CCCCC3)cc2)\S1,CHEMBL3685337,6.16,pIC50
C1CCc2nnc(c3cn(c4ccccc4)c5ccccc35)n2CC1,CHEMBL3103017,6.17,pIC50
COc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCc3cccs3,CHEMBL3685384,6.17,pIC50
Cc1cc(CC2=C(O)NC(=O)S2)ccc1OCCCC3CCCCC3,CHEMBL3685402,6.18,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCCc3ccccn3)cc2)\S1,CHEMBL599004,6.18,pIC50
Cc1ncsc1CCOc2ccc(\C=C\3/SC(=O)NC3=O)cc2,CHEMBL590988,6.2,pIC50
COC(=O)C1CCC(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2)CC1,CHEMBL599220,6.21,pIC50
C1CCc2nnc(c3ccn(c3)c4ccccc4)n2CC1,CHEMBL3103015,6.22,pIC50
CC1(COc2ccc(\C=C/3\SC(=NC3=O)O)cc2)CCCCC1,CHEMBL3685342,6.26,pIC50
COc1ccc(COc2ccc(\C=C\3/SC(=O)NC3=O)cc2)cc1,CHEMBL608142,6.28,pIC50
OC1=C(Cc2ccc(OCC3CCCCC3)c(Cl)c2)SC(=O)N1,CHEMBL3685395,6.28,pIC50
OCCN1C(=O)S\C(=C/c2ccc(OCCC3CCCCC3)cc2)\C1=O,CHEMBL598787,6.28,pIC50
Clc1cc(OCc2ccccc2)ccc1\C=C\3/SC(=O)NC3=O,CHEMBL2414163,6.31,pIC50
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCC(C4)c5ccccc5,CHEMBL3103027,6.37,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCc3ccsc3)cc2)\S1,CHEMBL598183,6.37,pIC50
Cc1cc(CC2=C(O)NC(=O)S2)ccc1OCCC3CCCCC3,CHEMBL3685399,6.4,pIC50
Cc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCCCC3CCCCC3,CHEMBL3685349,6.4,pIC50
CCN(CC)C(=O)c1ccc2c(c1)ncn2c3cccc(C)c3,CHEMBL3103025,6.42,pIC50
Cc1cc(c(C)n1c2ccccc2)c3nnc4CCCCCCCn34,CHEMBL3103014,6.42,pIC50
Cc1cc(c(C)n1c2ccncc2)c3nnc4CCCCCn34,CHEMBL3103009,6.42,pIC50
Cc1cccc(c1)n2cnc3cc(ccc23)C(=O)N4CCCC4,CHEMBL3103026,6.42,pIC50
OC1=NC(=O)\C(=C\c2ccc(OCCCC3CCCCC3)c(c2)[N+](=O)[O-])\S1,CHEMBL3685336,6.49,pIC50
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OCCN3CCS(=O)(=O)CC3,CHEMBL2414139,6.51,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCc3ccc4OCOc4c3)cc2)\S1,CHEMBL607870,6.51,pIC50
Nc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCC3CCCCC3,CHEMBL3685347,6.54,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCc3cccs3)cc2)\S1,CHEMBL598182,6.54,pIC50
OC1=NC(=O)\C(=C\c2ccc(OCCCC3CCCCC3)cc2Cl)\S1,CHEMBL3685380,6.55,pIC50
O=C1NC(=O)\C(=C\c2ccc(OCCN3CCS(=O)(=O)CC3)cc2)\S1,CHEMBL599407,6.56,pIC50
CC1CC(C)CN(C1)C(=O)c2ccc3c(c2)ncn3c4cccc(C)c4,CHEMBL3103019,6.57,pIC50
Cc1cc(c(C)n1c2cccnc2)c3nnc4CCCCCn34,CHEMBL3103008,6.57,pIC50
Clc1cc(\C=C\2/SC(=O)NC2=O)ccc1OC(=O)c3cccs3,CHEMBL2414146,6.58,pIC50
CCOc1cc(\C=C/2\SC(=NC2=O)O)ccc1OCCC3CCCCC3,CHEMBL3685353,6.59,pIC50
OC1=NC(=O)\C(=C/c2cccc(OCc3ccccc3)c2Cl)\S1,CHEMBL3685360,6.59,pIC50
Cc1cc(c(C)n1c2ccccc2)c3nnc4CCCCCCn34,CHEMBL3103013,6.62,pIC50
OC1=NC(=O)\C(=C/c2cccc(OCCOC3CCCCC3)c2Cl)\S1,CHEMBL3685390,6.63,pIC50
OC1=NC(=O)\C(=C\c2ccc(OC3CCCCC3)cc2Cl)\S1,CHEMBL3685378,6.63,pIC50
