SMILES,ChEMBL,target,metric
Cc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3OP(=O)(O)OC[C@H]4O[C@H]([C@H](OP(=O)(O)OC[C@H]5O[C@H]([C@H](O)[C@@H]5O)n6cnc7c(N)ncnc67)[C@@H]4O)n8cnc9c(N)ncnc89)c2n1,CHEMBL405496,7.62,pIC50
Cc1nc2c(N)ncnc2n1[C@@H]3O[C@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@@H]6[C@@H](CO)O[C@H]([C@@H]6O)n7cnc8c(N)ncnc78)O[C@H]5n9cnc%10c(N)ncnc9%10)O[C@H]4n%11cnc%12c(N)ncnc%11%12)[C@@H](O)[C@H]3O,CHEMBL3818726,7.69,pEC50
Nc1ncnc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]5n6cnc7c(N)ncnc67)O[C@H]4n8cnc9c(N)ncnc89)[C@@H](O)[C@H]3O,CHEMBL414948,7.7,pIC50
CC(C)(C)C(=O)OCO[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(=O)(O)O[C@@H]2[C@H](OCOC(=O)C(C)(C)C)[C@@H](COP(=O)(O)O[C@@H]3[C@H](OCOC(=O)C(C)(C)C)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]3n4cnc5ncnc(N)c45)O[C@H]2n6cnc7ncnc(N)c67)n8cnc9ncnc(N)c89,CHEMBL2414866,7.72,pEC50
Nc1ncnc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@@H]6[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]6n7cnc8c(N)ncnc78)O[C@H]5n9cnc%10c(N)ncnc9%10)O[C@H]4n%11cnc%12c(N)ncnc%11%12)[C@@H](O)[C@H]3O,CHEMBL601940,7.77,pEC50
Cc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]5n6cnc7c(N)nc(C)nc67)O[C@H]4n8cnc9c(N)nc(C)nc89)[C@@H](O)[C@H]3O)c2n1,CHEMBL407239,7.8,pEC50
Nc1ncnc2c1ncn2[C@@H]3O[C@H](COCP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@@H]6[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]6n7cnc8c(N)ncnc78)O[C@H]5n9cnc%10c(N)ncnc9%10)O[C@H]4n%11cnc%12c(N)ncnc%11%12)[C@@H](O)[C@H]3O,CHEMBL2058764,7.82,pEC50
Nc1ncnc2c1ncn2[C@@H]3O[C@H](COCP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@@H]6[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]6n7cnc8c(N)ncnc78)O[C@H]5n9cnc%10c(N)ncnc9%10)O[C@H]4n%11cnc%12c(N)ncnc%11%12)[C@@H](O)[C@@H]3O,CHEMBL2058765,8.19,pEC50
Nc1ncnc2ncn([C@@H]3O[C@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)O[C@@H]6[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]6n7cnc8ncnc(N)c78)O[C@H]5n9cnc%10ncnc(N)c9%10)O[C@H]4n%11cnc%12ncnc(N)c%11%12)[C@@H](O)[C@H]3O)c12,CHEMBL2414867,8.22,pEC50
Cc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@@H]5[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O[C@H]5n6cnc7c(N)nc(C)nc67)O[C@H]4n8cnc9c(N)nc(C)nc89)[C@@H](O)[C@H]3O)c2n1,CHEMBL410213,8.34,pEC50
