SMILES,ChEMBL,target,metric
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,simvastatin,7.77,pIC50
O[C@H](C[C@H](O)\C=C\C1=C(C2=CC=C(F)C=C2)C2=C(C=CC=C2)N=C1C1CC1)CC(O)=O,pitavastatin,8.1675,pIC50
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,lovastatin,7.67,pIC50
COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(N=C1C(C)C)C(C)C,cerivastatin,8.0,pIC50
CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,atorvastatin,8.0,pIC50
CC(C)n1c(\C=C\C(O)CC(O)CC(=O)O)c(c2ccc(F)cc2)c3ccccc13,fluvastatin,7.55,pIC50
[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,pravastatin,7.52,pIC50
CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1,rosuvastatin,9.05,pKi
CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(=O)C)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C,CHEMBL133434,6.0,pIC50
CCCCCCCCC#CC#C\C=C\CCCC(=O)O,CHEMBL489540,6.3,pIC50
CC(C)c1nc(cc(c1CCC2C[C@@H](O)CC(=O)O2)c3ccc(F)cc3)c4ccccc4,CHEMBL156695,6.43,pIC50
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL169046,6.52,pIC50
COc1ccc(cc1)c2cc(nc(C(C)C)c2\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)c4ccccc4,CHEMBL2368194,6.82,pIC50
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,CHEMBL54440,6.92,pIC50
[Na+].CC(C)c1nn(c2ccccn2)c(c1CCC(O)C[C@@H](O)CC(=O)[O-])c3ccc(F)cc3,CHEMBL65037,6.96,pIC50
COC(=O)c1ccc(NS(=O)(=O)c2c(c3ccc(F)cc3)c(c4ccc(F)cc4)n(CC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)cc1,CHEMBL465885,7.02,pKd
