SMILES,ChEMBL,target,metric
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,zolmitriptan,8.9,pKi
CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2,rizatriptan,7.9,pKi
CNS(=O)(=O)CCC1=CC=C2NC=C(C3CCN(C)CC3)C2=C1,naratriptan,8.7959,pEC50
CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,almotriptan,7.5,pKi
CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,dihydroergotamine,9.55,pKi
CN[C@@H]1CCc2[nH]c3ccc(cc3c2C1)C(=O)N,frovatriptan,8.36,pKi
CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1,sumatriptan,8.92,pKi
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,eletriptan,9.05,pKd
CC1=CC=C(SC2=C(C=CC=C2)N2CCNCC2)C(C)=C1,vortioxetine,7.26760626,pKi
CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,ergotamine,9.1,pKi
CN(C)[C@@H]1C[C@H](C1)c2c[nH]c3ccc(CC4COC(=O)N4)cc23,CHEMBL2110300,7.0,pIC50
CN(C)[C@@H]1C[C@H](C1)c2c[nH]c3ccc(CC4COC(=O)N4C)cc23,CHEMBL2368257,7.0,pIC50
COc1cc2CCN(C(=O)Cc3cccc(Cl)c3F)c2cc1N4C[C@@H](C)N(C)[C@@H](C)C4,CHEMBL195898,7.0,pKi
COc1cc2CCN(C(=O)c3ccc(c4cccc(C)n4)c5ccccc35)c2cc1N6C[C@@H](C)N(C)[C@@H](C)C6,CHEMBL195497,7.0,pKi
COc1ccc(NC(=O)c2ccc(cc2)c3ccc(cc3C)c4noc(C)n4)cc1CCCN(C)C,CHEMBL21790,7.0,pKi
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N4CCN5CCC[C@H]5C4,CHEMBL29433,7.0,pKi
COc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1,CHEMBL2391541,7.0,pKi
Cc1ccc2c(OCCN3CCC(Cc4ccc5OCC(=O)Nc5c4F)CC3)cc(F)cc2n1,CHEMBL393539,7.0,pKi
