SMILES,ChEMBL,target,metric
CNS(=O)(=O)CCC1=CC=C2NC=C(C3CCN(C)CC3)C2=C1,naratriptan,8.19999981,pKi
[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,methysergide,8.19999981,pKi
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,eletriptan,8.0,pKi
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,methylergometrine,7.5,pKi
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2,yohimbine,7.0,pKi
CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1,sumatriptan,7.59,pKi
CN1CCC(CC1)c2c[nH]c3ccc(N)nc23,CHEMBL318105,7.0,pKi
CN1CCC(CC1)c2c[nH]c3ccc(O)nc23,CHEMBL318110,7.0,pKi
CN1CCC(CC1)C(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2,CHEMBL3617549,7.06,pEC50
Fc1ccc(cc1)C(=O)Nc2ccc3[nH]cc(C4CCN(CCc5ccccc5)CC4)c3n2,CHEMBL102182,7.13,pKi
CN1CCC(CC1)c2c[nH]c3cnc(NC(=O)c4ccc(F)cc4)nc23,CHEMBL320198,7.17,pKi
CN1CCC(CC1)c2c[nH]c3ccc(NC(=O)C(C)(C)C)nc23,CHEMBL321578,7.21,pKi
CN1CCC(CC1)C(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2F,CHEMBL3617550,7.26,pEC50
NCCc1cccc2c1ccn2S(=O)(=O)c3ccccc3,CHEMBL125745,7.33,pKi
CC(=O)Nc1ccc2[nH]cc(C3CCNCC3)c2n1,CHEMBL322018,7.35,pKi
CN1CCC(CC1)c2c[nH]c3ccc(NC(=O)c4cccc(c4)[N+](=O)[O-])nc23,CHEMBL105118,7.38,pKi
CN1CCC(CC1)C(=O)c2cc(F)cc(NC(=O)c3ccc(F)cc3)c2,CHEMBL3617552,7.39,pKi
CCC(=O)Nc1ccc2[nH]cc(C3CCNCC3)c2n1,CHEMBL104946,7.46,pKi
CC(C)N1CCC(CC1)c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)nc23,CHEMBL105240,7.52,pKi
CN(C)CCc1cn(C(=O)c2ccccc2)c3ccc(O)cc13,CHEMBL263700,7.54,pKi
CN1CCC(CC1)c2c[nH]c3ccc(NS(=O)(=O)c4ccc(F)cc4)nc23,CHEMBL104968,7.57,pKi
CCN1CCC(=CC1)c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)nc23,CHEMBL316979,7.6,pKi
COc1ccc2[nH]cc(C3CCN(C)CC3)c2n1,CHEMBL104374,7.64,pKi
CCN1CCC(=CC1)c2c[nH]c3ccc(NC(=O)C)nc23,CHEMBL103058,7.68,pKi
CCCCCCCC(=O)Nc1ccc2[nH]cc(C3CCN(C)CC3)c2n1,CHEMBL101686,7.7,pKi
CN1CCC(CC1)c2c[nH]c3ccc(NC(=O)C4CCCCC4)nc23,CHEMBL418806,7.7,pKi
COc1ccccc1C(=O)Nc2ccc3[nH]cc(C4CCN(C)CC4)c3n2,CHEMBL321562,7.7,pKi
CN1CCC(CC1)c2c[nH]c3ccc(NC(=O)c4ccccc4F)nc23,CHEMBL104384,7.72,pKi
CN1CCC(CC1)c2c[nH]c3ccc(NC(=O)c4ccccc4[N+](=O)[O-])nc23,CHEMBL321343,7.72,pKi
CN1CCC(CC1)c2c[nH]c3ccc(NS(=O)(=O)C)nc23,CHEMBL105327,7.72,pKi
CCCN1CCC(CC1)c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)nc23,CHEMBL105478,7.75,pKi
Ic1ccccc1CS(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4)c3c2,CHEMBL2113386,7.75,pKi
CN1CCC(CC1)N2CNc3ccc(NC(=O)c4c(F)cc(F)cc4F)cc23,CHEMBL187581,7.77,pKi
CN1CCC(CC1)c2noc3ccc(NC(=O)c4ccc(F)cc4)cc23,CHEMBL445651,7.77,pKi
CN1CCC[C@@H]1Cc2c[nH]c3ccc(NS(=O)(=O)c4ccccc4Cl)cc23,CHEMBL606547,7.8,pKi
COc1cccc(c1)C(=O)Nc2ccc3[nH]cc(C4CCN(C)CC4)c3n2,CHEMBL321133,7.8,pKi
