SMILES,ChEMBL,target,metric
CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1,pimavanserin,9.30000019,pKi
CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=CC=C(OCCCCN3CCN(CC3)C3=C(Cl)C(Cl)=CC=C3)C=C12,aripiprazole lauroxil,8.46852112,pKi
FC(F)(F)C1=CC=CC(=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,flibanserin,7.30980396,pKi
O=C1NC2=C(C=C1)C=CC(OCCCCN1CCN(CC1)C1=C3C=CSC3=CC=C1)=C2,brexpiprazole,9.32790184,pKi
[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@@]1([H])CN1CCN(CC1)C1=NSC3=C1C=CC=C3)C2=O,lurasidone,9.32790184,pKi
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCC(O)C5=N1,paliperidone,8.95860767,pKi
CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)[S+](C)[O-],mesoridazine,8.12491512,pKi
CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2,molindone,6.5,pKi
[H][C@@]12CC3=CNC4=C3C(=CC=C4)[C@@]1([H])C[C@@H](CN2C)NC(=O)N(CC)CC,terguride,8.3,pKi
Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34,droperidol,9.13194364,pKi
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=N1,mirtazapine,7.16,pKi
[H]C12CN(C)CC1([H])C1=C(OC3=C2C=CC=C3)C=CC(Cl)=C1,asenapine,9.61,pKi
COc1cc(ccc1OCCCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)C,iloperidone,9.8594,pKi
Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,ziprasidone,9.4,pKi
Clc1cccc(c1)N2CCN(CCCN3N=C4C=CC=CN4C3=O)CC2,trazodone,7.35,pKi
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,risperidone,9.3643,pKi
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,quetiapine,7.1311,pIC50
CN(C)CCCN1c2ccccc2Sc3ccccc13,promazine,7.7959,pKi
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,olanzapine,8.3188,pKi
CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4,nefazodone,8.0,pKi
CN(C)CCC=C1C2=CC=CC=C2C=CC2=C1C=CC=C2,cyclobenzaprine,7.5409,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,clozapine,8.3,pKi
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,aripiprazole,7.9,pKi
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=C1,mianserin,8.17,pKi
CN1CCN(CC1)C1=NC2=C(OC3=CC=C(Cl)C=C13)C=CC=C2,loxapine,8.62,pKi
Fc1ccc(cc1)C(=O)CCCN2CCC3(CC2)N(CNC3=O)c4ccccc4,spiperone,8.65,pKi
CCN1CCN(CC1)C1=NC2=C(CCCCCC2)C(=C1)C1=CC=C(F)C=C1,blonanserin,9.09151459,pKi
FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2,sertindole,9.22,pKi
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)C2=C(Cl)C(Cl)=CC=C2)CC1,cariprazine,7.73000002,pKi
C1CNCC2(C1)c3ccccc3Cc4ccccc24,CHEMBL74766,7.0,pKi
C1Cc2ccc3ccoc3c2CCN1,CHEMBL261490,7.0,pKi
CC(N)Cn1ccc2Cc3ccc(Br)cc3c12,CHEMBL320145,7.0,pKi
CC(N)Cn1ccc2c(C)cccc12,CHEMBL317677,7.0,pKi
CC(N)Cn1ccc2c1c3cc(C)ccc3C2(C)C,CHEMBL328761,7.0,pKi
CN(C)CCSC(C)(C)C,CHEMBL158973,7.0,pKi
CN(C)[C@H]1C[C@H](c2ccccc2)c3ccccc3C1,CHEMBL127307,7.0,pKi
COc1cc(CCNCCCCc2ccccc2)c(OC)cc1Br,CHEMBL58555,7.0,pKi
COc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4)nc3)c2cc1C(F)(F)F,CHEMBL14726,7.0,pKi
COc1cc2CCN(C(=O)Nc3cncc(c3)c4cnccc4C)c2cc1C(F)(F)F,CHEMBL14864,7.0,pKi
COc1ccc(CNCCc2c[nH]c3ccc(OC)cc23)cc1,CHEMBL417957,7.0,pKi
COc1ccccc1N2CCN(CCCCNC(=O)c3cccn4nccc34)CC2,CHEMBL143352,7.0,pKi
C[C@@H](N)Cn1ccc2cc(F)c(F)cc12,CHEMBL2115252,7.0,pKi
C[C@H](N)Cn1ccc2cc(F)c(F)cc12,CHEMBL40726,7.0,pKi
Cc1cc2CCN(C(=O)Nc3ccc(COc4ccccn4)nc3)c2cc1C(F)(F)F,CHEMBL55344,7.0,pKi
Cc1cc2CCN(C(=O)Nc3ccc(OCc4cncn4C)nc3)c2cc1C(F)(F)F,CHEMBL55969,7.0,pKi
Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4Cl)nc3)c2cc1Cl,CHEMBL294030,7.0,pKi
Cl.CC(C)n1cc2c(OCC3CCN(CCc4ccccc4)CC3)nc5ccccc5c2c1,CHEMBL2179677,7.0,pKi
Cl.CC(C)n1nc(C(=O)NCC2CCN(CCc3ccccn3)CC2)c4ccccc14,CHEMBL2179697,7.0,pKi
Clc1cc2N(CCc2cc1I)C(=O)Nc3cccnc3,CHEMBL43929,7.0,pKi
Fc1ccc2[nH]cc(C3=CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c2c1,CHEMBL131495,7.0,pKi
O=C(NCCCCN1CCN(CC1)c2ccccc2)c3ccccn3,CHEMBL3358514,7.0,pKi
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,haloperidol,7.0,pKi
CCOC(=O)c1ccc2on(C[C@@H]3C[C@@H]4[C@H](O3)c5cc(Br)ccc5Oc6ccccc46)c2c1,CHEMBL370780,7.01,pKi
COc1cc(OC)cc(c1)n2c(C)nc(C(=O)NCCN3CCN(CC3)c4cccc(C)c4C)c2C,CHEMBL3681361,7.01,pIC50
Cl.Cl.Cl.Cc1c(Cl)cccc1N2CCN(CC(O)CNC(=O)c3nc(C)n(C4CCCC4)c3C)CC2,CHEMBL3216505,7.01,pIC50
Cl.Cl.Cl.Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(c3C)c4cccc(Cl)c4)CC2)c1C,CHEMBL3216974,7.01,pIC50
FC(CCNC(=O)c1ccc(cc1)c2ccccn2)CN3CCN(CC3)c4cccc(Cl)c4Cl,CHEMBL1774384,7.01,pKi
Fc1ccc(cc1Cl)S(=O)(=O)NCCCN2CCN(CC2)c3noc4ccccc34,CHEMBL3289971,7.01,pKi
N[C@@H]1C[C@H]1c2c[nH]c3ccccc23,CHEMBL358522,7.01,pKi
O=C(NCCCCN1CCN(CC1)c2ccccc2)c3ccc4ccccc4n3,CHEMBL3358501,7.01,pKi
CCCCCCC(=O)Oc1cccc2C[C@H]3N(CCC)CCc4cccc(c34)c12,CHEMBL516580,7.02,pKi
CN(C)c1ccc2on(C[C@@H]3C[C@@H]4[C@H](O3)c5cc(Br)ccc5Oc6ccccc46)c2c1,CHEMBL427007,7.02,pKi
Cl.Cl.Cl.Cc1c(Cl)cccc1N2CCN(C[C@H](O)CNC(=O)c3nc(c4ccccc4)n(c3C)c5ccc(F)cc5)CC2,CHEMBL3215619,7.02,pIC50
FC(F)(F)c1cccc(c1)N2CCN(CCCNS(=O)(=O)c3ccc4ccccc4c3)CC2,CHEMBL495678,7.02,pIC50
Fc1ccc(cc1)C(=O)C2CCN(CC3CC(=O)c4ccoc4C3)CC2,CHEMBL143022,7.02,pKi
Fc1ccc2OC3(CCN(CC3)C4CCc5ccccc5C4)CCc2c1,CHEMBL423206,7.02,pKi
CCCC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCCc34)CC1,CHEMBL3695426,7.03,pKi
CCc1oc2ccc3cnn(C[C@H](C)N)c3c2c1,CHEMBL407909,7.03,pEC50
CN(C)CC1C[C@@H]2[C@H](O1)c3ccccc3Oc4ccccc24,CHEMBL330713,7.03,pKi
CN(C)CCCN1c2ccccc2CCc3ccccc13,imipramine,7.03,pKi
COc1ccc(Cn2nnc(C(=O)NCCCCCN3CCN(CC3)c4ccccc4OC)c2C)cc1,CHEMBL220754,7.03,pKi
Cc1cccc(n1)c2ccc(cc2)C(=O)NC\C=C\CN3CCN(CC3)c4cccc(Cl)c4Cl,CHEMBL398175,7.03,pKi
Cl.Cl.Cl.Cl.Cc1c(nc(c2ccccc2)n1c3ccc(F)cc3)C(=O)NCC(O)CN4CCN(CC4)c5cccc(Cl)c5Cl,CHEMBL3215846,7.03,pIC50
Cl.NCC1CC1c2cc(Cl)c(Cl)cc2OCCF,CHEMBL3770950,7.03,pEC50
Clc1ccc2CCNCCc2c1Cl,CHEMBL262862,7.03,pKi
Nc1nc(SCCN2CCN(Cc3cccc(c3)C(F)(F)F)CC2)nc(N)c1Cc4ccccc4O,CHEMBL107912,7.03,pKi
OC1(CCN(CCCOc2ccc(F)cc2)CC1)c3ccc(Cl)cc3,CHEMBL1940404,7.03,pKi
OC1(CCN(CCCSc2ccc(F)cc2)CC1)c3ccc(Cl)cc3,CHEMBL1940403,7.03,pKi
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4,ebastine,7.04,pIC50
CCCCC(=O)Oc1cccc2C[C@H]3N(CCC)CCc4cccc(c34)c12,CHEMBL403550,7.04,pKi
CC[C@@H]1NCCN2[C@@H]1c3cccc(c3C2=O)C(F)(F)F,CHEMBL375302,7.04,pKi
CCn1c(C)c(cc1c2ccccc2)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4,CHEMBL1080727,7.04,pIC50
CN(C)CC1CC2N(O1)c3cccc(C)c3Cc4ccccc24,CHEMBL82635,7.04,pIC50
CN(C)CC1C[C@H]2[C@H](O1)c3ccccc3COc4ccccc24,CHEMBL93321,7.04,pKi
CN(C)CCC1CC2N(O1)c3ccccc3Cc4ccccc24,CHEMBL313189,7.04,pIC50
CN(C)C[C@H]1C[C@@H]2[C@@H](O1)c3ccccc3Oc4ccccc24,CHEMBL194994,7.04,pKi
CNCCC1c2ccccc2Cc3ccccc13,CHEMBL595158,7.04,pKi
Cc1c(cc(c2ccccc2)n1C)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4,CHEMBL1080726,7.04,pIC50
Cl.Cc1cccc(N2CCN(CCCNC(=O)c3cc([nH]c3C)c4ccc(Cl)cc4)CC2)c1C,CHEMBL1214366,7.04,pIC50
Cl.Cl.Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(c3C)c4ccccc4)CC2)c1C,CHEMBL3217176,7.04,pIC50
Cl.FC(F)(F)c1cccc2[C@H]3CNC[C@@H]3NC(=O)c12,CHEMBL2337490,7.04,pKi
Clc1ccc(cc1)c2ccc(OCC(=O)Nc3ccc(CN4CCCCC4)cc3)cc2,CHEMBL3600975,7.04,pIC50
Clc1ccc2Oc3ncccc3C(=Nc2c1)N4CCN(CC4)C5CCCCC5,CHEMBL2022273,7.04,pKi
Cn1nccc1c2cc(NC(=O)c3oncc3)ccc2OCCN,CHEMBL3652593,7.04,pIC50
OCCN1CCN(CC1)c2nc(Nc3ccc(Br)cc3)c4ccccc4n2,CHEMBL3609160,7.04,pKi
CC(=O)OC(CCNC(=O)c1ccc(cc1)c2ccccn2)CN3CCN(CC3)c4cccc(Cl)c4Cl,CHEMBL242434,7.05,pKi
CC1CCCCN1CCc2cccc3[nH]cc(c23)S(=O)(=O)c4ccccc4,CHEMBL603417,7.05,pKi
CCCN(CCCCNC(=O)\C=C\c1ccc(F)cc1)C2Cc3ccccc3C2,CHEMBL3590080,7.05,pKi
CN(C)C(=O)CCC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCCc34)CC1,CHEMBL3695416,7.05,pKi
CN1CCC(CC1)c2cn(c3ccc(F)cc3)c4ccc(cc24)c5ncn(C)n5,CHEMBL2326175,7.05,pKi
CNCc1cc(Cl)ccc1Oc2ccc(Cl)cc2,CHEMBL462226,7.05,pIC50
CNCc1ccc(Cl)cc1Oc2ccc(Cl)c(Cl)c2,CHEMBL488261,7.05,pIC50
CNc1ccc2CCNCCc2c1Cl,CHEMBL405717,7.05,pKi
COc1ccccc1N2CCN(CCc3cn(nn3)c4ccn5ncc(C=O)c5c4)CC2,CHEMBL3613877,7.05,pKi
C[C@H](N)Cn1ncc2cc(F)ccc12,CHEMBL257503,7.05,pKi
Cl.Cl.Cl.CCCc1nc(C(=O)NCCCN2CCN(CC2)c3cccc(C)c3C)c(C)n1c4ccccc4Cl,CHEMBL3216754,7.05,pIC50
Clc1cccc(N2CCN(CCCCNS(=O)(=O)c3cncc4ccccc34)CC2)c1Cl,CHEMBL2312640,7.05,pKi
Fc1ccc(C(=O)CCCN2CC[C@H]3[C@@H](C2)c4cccc5SCCCN3c45)c(NC=O)c1,CHEMBL164744,7.05,pKi
Nc1cc(O)ccc1C(=O)CCCN2CC[C@H]3[C@@H](C2)c4cccc5SCCCN3c45,CHEMBL164909,7.05,pKi
OC1(CC2CCC(C1)N2CCCSc3ccc(F)cc3)c4ccc(Cl)cc4,CHEMBL3321790,7.05,pKi
CC(N(C)C)c1ccccc1Oc2ccc(Cl)c(Cl)c2,CHEMBL487053,7.06,pIC50
CN1CCN(CC1)c2cccc(c2)N(CC3CC3)S(=O)(=O)c4ccc5ccccc5c4,CHEMBL1221449,7.06,pIC50
CNC(C)c1ccc(OC)cc1Oc2ccc(Cl)c(Cl)c2,CHEMBL527094,7.06,pIC50
COCCC(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nc(C)cc4occc34)CC1,CHEMBL3642776,7.06,pKi
C[C@H](N)Cn1ncc2ccc3oc(cc3c12)C(C)C,CHEMBL272755,7.06,pKi
Cc1ccccc1c2cc(Cl)cc3CC4CCNCCN4c23,CHEMBL310497,7.06,pKi
Fc1ccc(CCN2CCN(CC2)C(=O)Nc3n[nH]cc3Br)cc1,CHEMBL1215726,7.06,pKi
Fc1ccc(cc1)S(=O)(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCCc45)CC2,CHEMBL3695403,7.06,pKi
OCCN1CCN(CC2C[C@H]3[C@H](O2)c4ccccc4Cc5ccccc35)CC1,CHEMBL92337,7.06,pKi
COc1ccc(Cl)c2C(=O)N3CCNC[C@H]3c12,CHEMBL373531,7.07,pKi
COc1ccc2C[C@@H]3CNCCN3C(=O)c2c1,CHEMBL2397878,7.07,pKi
COc1ccccc1N2CCN(CCCN(CC3CC3)S(=O)(=O)c4ccc5ccccc5c4)CC2,CHEMBL603272,7.07,pIC50
COc1ccccc1N2CCN(CCCNS(=O)(=O)c3ccc4ccccc4c3)CC2,CHEMBL497749,7.07,pIC50
Cl.COc1cc(Cl)c(Cl)cc1C2CC2CN,CHEMBL3769543,7.07,pEC50
Cl.COc1cccc(Nc2nc(Cc3ccccc3)nc4CCNCCc24)c1,CHEMBL2393246,7.07,pIC50
Cl.Fc1ccc(OC[C@@H]2CNCCO2)c3CCCc13,CHEMBL1822892,7.07,pKi
Clc1ccc2C[C@@H]3CNCCN3C(=O)c2c1,CHEMBL2397877,7.07,pKi
Fc1ccc(OC[C@@H]2CNCCO2)c3CCCc13,CHEMBL1080884,7.07,pKi
CN(C)CCC1c2ccccc2Cc3ccccc13,CHEMBL593988,7.08,pKi
COc1cc(CCNCCCc2ccccc2)c(OC)cc1Br,CHEMBL58556,7.08,pKi
COc1cc(CCNCc2cccnc2)c(OC)cc1Br,CHEMBL3589589,7.08,pKi
COc1ccccc1N2CCN(CCCc3cn(nn3)c4ccn5nccc5c4)CC2,CHEMBL3613873,7.08,pKi
Cc1cccc(n1)N2CCN(CCCCNC(=O)c3ccccc3)CC2,CHEMBL3358510,7.08,pKi
FC(F)(F)c1cccc(c1)N2CCN(CCCCN3N=C(C=CC3=O)n4ccc5ccccc45)CC2,CHEMBL490613,7.08,pKi
FC(F)(F)c1cccc2C[C@@H]3CNCCN3C(=O)c12,CHEMBL2397892,7.08,pKi
N#Cc1c2CCNCCn2c3ccccc13,CHEMBL78164,7.08,pKi
OCCN1CCN(CC1)c2nc(Nc3cccc(O)c3)c4ccccc4n2,CHEMBL3609167,7.08,pKi
CN(C)CC1C[C@H]2[C@H](O1)c3ccccc3N(C)c4ccccc24,CHEMBL328356,7.09,pKi
C[C@@H]1CNC[C@H]2Cc3ccccc3C(=O)N12,CHEMBL2397887,7.09,pKi
C[C@H](N)Cn1ncc2ccc(F)cc12,CHEMBL256623,7.09,pKi
Cl.COc1cc(F)c(Cl)cc1C2CC2CN,CHEMBL3770689,7.09,pEC50
Cl.COc1cc(F)c(F)cc1C2CC2CN,CHEMBL3770753,7.09,pEC50
Cl.Cl.Cl.Cc1nc(C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3C)c(C)n1C4CCCC4,CHEMBL3216961,7.09,pIC50
Clc1cccc(COc2cncc(n2)N3CCNCC3)c1,CHEMBL494947,7.09,pKi
Clc1cccc(N2CCN(CCCCOc3ccn4nc(cc4c3)C#N)CC2)c1Cl,CHEMBL3287406,7.09,pKi
Clc1ccccc1c2cccc3CC4CCNCCN4c23,CHEMBL311726,7.09,pKi
Fc1ccc(CCCCN2CCN(CC2)c3ccc(Cl)cc3)cc1,CHEMBL1940408,7.09,pKi
CNC(=O)c1cc(OCCCCN2CCN(CC2)c3cccc4sccc34)ccc1F,CHEMBL3805649,7.1,pIC50
CNCc1cc(C)c(C)cc1Oc2ccc(Cl)c(Cl)c2,CHEMBL455425,7.1,pIC50
COc1cc(CCNCc2cccnc2OC)c(OC)cc1Br,CHEMBL3589587,7.1,pKi
