SMILES,ChEMBL,target,metric
CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1,metoclopramide,6.0,pEC50
CCOC1=C(C=C(Cl)C(N)=C1)C(=O)NCC1CN(CC2=CC=C(F)C=C2)CCO1,mosapride,6.55000019,pKi
CCCCCNC(=N)NN=CC1=CNC2=C1C=C(OC)C=C2,tegaserod,8.4,pKi
COCCCN1CCC(CC1)NC(=O)C1=CC(Cl)=C(N)C2=C1OCC2,prucalopride,8.6,pKi
[H]C1(CCN(CCCOC2=CC=C(F)C=C2)CC1([H])OC)NC(=O)C1=C(OC)C=C(N)C(Cl)=C1,cisapride,7.54,pKi
CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CC(O)CNC(=O)N(C)C,CHEMBL2087330,7.0,pKi
CCCCCN1CCC(CC1)NC(=O)c2cc(Cl)c(N)cc2OC,CHEMBL557053,7.0,pKi
CNC(=O)N(C)CC(O)CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(=O)C3=Cc4ccccc4N(C(C)C)C3=O,CHEMBL2087329,7.0,pKi
CO[C@@H]1CN(CCCOc2ccc(F)cc2)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC,CHEMBL74656,7.0,pKi
NCCc1c[nH]c2ccc(O)cc12,CHEMBL39,7.0,pEC50
COc1cc(N)c(Cl)cc1C(=O)OCCN2CCN(CC2)C(=O)CCCCCCCCCCNS(=O)(=O)c3cccc4c(cccc34)N(C)C,CHEMBL315526,7.02,pKi
CC(C)c1nc(C(=O)NC2CC3CCC(C2)N3CC4(O)CCOCC4)c5ccccn15,CHEMBL3742080,7.06,pEC50
CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCN5CCCCC5,CHEMBL558259,7.1,pKi
CCCCCCCCN1CCC(CC1)NC(=O)c2cc(Cl)c(N)cc2OC,CHEMBL551940,7.1,pKi
COc1cc(N)c(Cl)cc1C(=O)NC2CCN(CCCCCCCCO)CC2,CHEMBL555447,7.1,pKi
CO[C@@H]1CN(CC2CCN(CC2)C(=O)CC(C)C)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC,CHEMBL3758433,7.11,pIC50
COc1cc(N)c(Cl)cc1C(=O)OCCN2CCC(CCNS(=O)(=O)c3cccc4c(cccc34)N(C)C)CC2,CHEMBL90559,7.11,pKi
CC(C)c1nc(C(=O)NCC2(O)CCN(CC(C)(C)O)CC2)c3ccccn13,CHEMBL3742145,7.14,pEC50
CO[C@@H]1CN(CC2CCN(CC2)C(=O)NC(C)C)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC,CHEMBL3758976,7.14,pIC50
COc1cc(N)c(Cl)cc1C(=O)NC2CC3CCC(C2)N3C,CHEMBL301039,7.14,pEC50
COc1cc(N)c(Cl)cc1C(=O)NC2CCN3C(C)CCCC3C2,CHEMBL15585,7.14,pEC50
FC(F)(F)c1cccc(c1)\N=C/2\C(=O)N(c3ccccc3)c4ccccc24,CHEMBL210288,7.14,pKi
CO[C@H]1CN(CC2CCN(CC2)C(=O)C(C)C)CC[C@H]1NC(=O)c3cc(Cl)c(N)cc3OC,CHEMBL3758309,7.17,pIC50
CO[C@@H]1CN(CCC(=O)N2CCC(Cc3ccccc3)CC2)CC[C@@H]1NC(=O)c4cc(Cl)c(N)cc4OC,CHEMBL3759928,7.18,pIC50
COc1cc(N)c(Cl)cc1C(=O)OCCN2CCN(CC2)c3ncccn3,CHEMBL121913,7.18,pEC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.19,pIC50
COc1cc(N)c(Cl)cc1C(=O)OCCN2CCC(CN3C(=O)c4cccc5c(N)ccc(C3=O)c45)CC2,CHEMBL85125,7.19,pKi
