SMILES,ChEMBL,target,metric
CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3,ceritinib,9.69896984,pIC50
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6,alectinib,8.72124672,pIC50
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,crizotinib,9.13,pKi
CCN1CCC(CC1)c2cc(OC(C)C)c(Nc3ncc(C)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)cc2C,CHEMBL2403827,7.53,pIC50
CC(C)C(=O)c1cc(OC2CC2)c(Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3)cc1C,CHEMBL3604653,7.54,pIC50
CC(C)Oc1cc(C2CCN(CC2)C(=O)Cn3ccnc3)c(C)cc1Nc4nc(Nc5ccccc5S(=O)(=O)C(C)C)c6c(C)[nH]nc6n4,CHEMBL3651850,7.54,pIC50
CC(C)Oc1cc(C2CCN(C[C@@H](O)C(F)(F)F)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c[nH]nc5n3,CHEMBL3651845,7.54,pIC50
CC(C)Oc1cc2CN(C3CCN(CC3)C(=O)[C@@H]4CCCN4)C(=O)c2cc1Nc5ncc(Cl)c(Nc6ccccc6S(=O)(=O)C(C)C)n5,CHEMBL3651836,7.54,pIC50
COc1cc2c(CC\C(=N/NC(=O)N)\C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3,CHEMBL3786127,7.54,pIC50
COc1ccc(F)cc1c2c(CO)sc3cnc(Nc4ccc(cc4OC(C)C)N5CCN(C)CC5)nc23,CHEMBL3669151,7.54,pIC50
Cn1cc(cn1)c2cnc3[nH]cc(c4cnn(Cc5cc(F)ccc5F)c4)c3c2,CHEMBL2418761,7.54,pIC50
Cn1ncc2CCCOc3ccc(F)cc3COc4cc(cnc4N)c12,CHEMBL3286816,7.54,pKi
NC(=O)[C@H]1[C@H]2C[C@H](C=C2)[C@H]1Nc3c(Br)cnc4[nH]c(nc34)c5ccc(cc5)N6CCOCC6,CHEMBL3218860,7.54,pIC50
CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4c[nH]nc4S(=O)(=O)C(C)C)n3,CHEMBL3786006,7.55,pIC50
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)[C@@H](N)Cc4c[nH]cn4)c3)ncc2Cl,CHEMBL3357448,7.55,pIC50
CC(C)c1cc(C2CCN(C)CC2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3,CHEMBL3604640,7.55,pIC50
CCn1cc(Nc2nc(Nc3cc(C)c(cc3OC(C)C)C4CCNCC4)ncc2Cl)c(n1)S(=O)(=O)C(C)C,CHEMBL3787103,7.55,pIC50
COc1cc(Nc2nccc(n2)N3CCC[C@@H](C3)C(=O)NCc4cccc(c4)N5CCOCC5)cc(OC)c1OC,CHEMBL2024001,7.55,pIC50
COc1cc(ccc1Nc2ncc3sc(C(=O)N)c(c4ccccc4)c3n2)N5CCN(CC5)C(C)C,CHEMBL3669134,7.55,pIC50
COc1ccc(cc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCN(C)CC5,CHEMBL2158523,7.55,pIC50
Cn1cc(cn1)c2cnc3[nH]cc(c4cnn(Cc5cccc(N)c5)c4)c3c2,CHEMBL2418759,7.55,pIC50
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCN(CC5)C6COC6,CHEMBL1779201,7.57,pIC50
