SMILES,ChEMBL,target,metric
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1,gliclazide,6.22184896,pKd
COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,glibenclamide,9.52287865,pKd
CC1=CN=C(C=N1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,glipizide,9.09691048,pKd
COC1=CC=C2C(=C1)C(=O)N(CCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1)C(=O)C2(C)C,gliquidone,9.0,pKd
CC1=CC(=NO1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,glisoxepide,7.9586072,pKd
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)N[C@@H]1[C@H](O)[C@]2(C)CC[C@H]1C2(C)C,glibornuride,7.04575729,pKd
CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,chlorpropamide,5.04575729,pKd
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,tolbutamide,5.04575729,pKd
CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,carbutamide,4.60205984,pKd
CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,glimepiride,9.23999977,pKi
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,nateglinide,6.46000004,pKi
CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N2CCCCC2)=C1)C(O)=O,repaglinide,9.14000034,pKi
[H][C@@]12CN(C[C@]1([H])CCCC2)C(=O)C[C@H](CC1=CC=CC=C1)C(O)=O,mitiglinide,7.0,pIC50
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,acetohexamide,4.63940668,pKi
CC1=NC2=CC=C(Cl)C=C2S(=O)(=O)N1,diazoxide,4.63000011,pEC50
CC(C)C[C@H](NC(=O)Cc1ccc(C(=O)O)c(OCCF)c1)c2ccccc2N3CCCCC3,CHEMBL186684,6.55,pIC50
COc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(=O)O,CHEMBL360610,6.79,pIC50
COc1cc(NC(=O)CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(Cl)cc1C(=O)NCCc3ccc(cc3)S(=O)(=O)NC(=O)NC4CCCCC4,CHEMBL3330879,8.68,pKd
COc1cc(NC(=O)C)c(Cl)cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,CHEMBL3330880,9.42,pKd
