SMILES,ChEMBL,target,metric
CC(C)(C)OC(=O)NC[C@@H]1CC[C@H](CNC(=O)c2cc(nc3ccccc23)c4ccccc4)CC1,CHEMBL1818188,6.0,pIC50
CC(C)COc1ccc(Oc2ncc(C#CC(C)NC(=O)C)s2)c(CO)c1,CHEMBL396419,6.0,pIC50
CC(C)Oc1cc(ccn1)N2CCC(C2)Oc3ccc(cc3)[C@H](C)NC(=O)CC(F)(F)F,CHEMBL3686652,6.0,pIC50
CC(C)Oc1cc(ccn1)N2CCC(C2)Oc3ccc(cc3)[C@H](C)NC(=O)c4cncc(NC(=O)C)c4,CHEMBL3686663,6.0,pIC50
CC(Cc1ccc(cc1)C#Cc2ccc(C(=O)N3CCCC3)c(C)c2)NC(=O)C,CHEMBL3686166,6.0,pIC50
CC(Cc1ccc(cc1)C#Cc2ccc(cc2)C(C)(C)C)NC(=O)C3CC3,CHEMBL3698559,6.0,pIC50
CC(Cc1ccc(cc1)C#Cc2cccc(c2)C(=O)C)NC(=O)C,CHEMBL3686171,6.0,pIC50
CC(Cc1ccc(cc1)C#Cc2cnc(NCCc3ccccc3)nc2)NC(=O)C,CHEMBL3695044,6.0,pIC50
CC(Cc1ccc(cc1)C#Cc2cnc(OC(CF)CF)nc2)NC(=O)C,CHEMBL3694934,6.0,pIC50
CCC(=O)N[C@@H](C)c1ccc(cc1)C2CN(C2)c3ccc4OCCOc4c3,CHEMBL3680327,6.0,pIC50
CCC(=O)Nc1nc(C)c(s1)C(=O)N[C@@H](C)c2ccc(O[C@@H]3CCN(C3)c4ccc(OC[C@@H]5CC5(F)F)cn4)cc2,CHEMBL3686636,6.0,pIC50
CCC(C)CNc1ncc(cn1)C#Cc2ccc(CC(C)NC(=O)C)cc2,CHEMBL3695041,6.0,pIC50
CCCOc1ncc(cn1)C#Cc2ccc(CC(C)NC(=O)OC)cc2,CHEMBL3694916,6.0,pIC50
CCCS(=O)(=O)Nc1sc2ccccc2c1C(=O)N3CCC(CC3)N4CCCC5(C4)CC(C)(C)OC5=O,CHEMBL1910402,6.0,pIC50
CCCc1cnc(nc1)N2CC[C@H](C2)Oc3ccc(cc3)[C@H](C)NC(=O)C,CHEMBL3658197,6.0,pIC50
CCN(C)c1ncc(Br)c(n1)N2CC[C@H](C2)Oc3ccc(cc3)[C@H](C)NC(=O)C,CHEMBL3662382,6.0,pIC50
CCN(C)c1ncc(cn1)C#Cc2ccc(CC(C)NC(=O)C)cc2,CHEMBL3694960,6.0,pIC50
CCOc1ccc(cc1)C#Cc2ccc(CC(C)NC(=O)C(=O)CC)cc2,CHEMBL3690652,6.0,pIC50
CCOc1ccc(cc1)C#Cc2ccc(CC(C)NC(=O)c3oc(C)nc3C)cc2,CHEMBL3690684,6.0,pIC50
CCOc1ccc(cc1)N2CC(C2)Oc3ccc(cc3)[C@H](C)NC(=O)C4(CC4)C#N,CHEMBL3659836,6.0,pIC50
COc1ccccc1Oc2ncc(cn2)C#Cc3ccc(CC(C)NC(=O)C)cc3,CHEMBL3694936,6.0,pIC50
C[C@H](NC(=O)C)c1ccc(O[C@@H]2CCN(C2)c3nc(ncc3Cl)N(C)CC(C)(C)O)cc1,CHEMBL3667126,6.0,pIC50
C[C@H](NC(=O)C)c1ccc(O[C@@H]2CCN(C2)c3ncnc(C4CC4)c3F)cc1,CHEMBL3667183,6.0,pIC50
C[C@H](NC(=O)C)c1ccc(O[C@@H]2CCN(C2)c3ncnc(N4CCc5nocc5C4)c3F)cc1,CHEMBL3667073,6.0,pIC50
C[C@H](NC(=O)C)c1ccc(cc1)C#Cc2cnc(NC3CCC3)nc2,CHEMBL3695046,6.0,pIC50
C[C@H](NC(=O)C)c1ccc(cc1)C2CN(C2)c3nc(ncc3F)N(C)C,CHEMBL3680352,6.0,pIC50
C[C@H](NC(=O)c1ccnc(F)c1)c2ccc(OC3CCN(C3)c4cccc(n4)C(F)(F)F)cc2,CHEMBL3686685,6.0,pIC50
