SMILES,ChEMBL,target,metric
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OC(C)(C)C(C)(C)O6)c7ncnn17,CHEMBL3648561,8.46,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OC(=O)C(C)(C)O6)c7ncnn17,CHEMBL3648602,8.5,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCN(Cc6ccccc6)CC5)c7ncnn17,CHEMBL3648628,8.5,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3c4nnn[nH]4)C(=O)N(C5CCC6(CC5)OC(C)(C)C(C)(C)O6)c7ncnn17,CHEMBL3648562,8.5,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OCC(=C)CO6)c7ncnn17,CHEMBL3648599,8.51,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCC6(CC5)OCCCO6)c7ncnn17,CHEMBL3648600,8.51,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@](C)(CO)CC5)c6ncnn16,CHEMBL3648568,8.51,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@]6(CCC(CO)O6)CC5)c7ncnn17,CHEMBL3648634,8.51,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(Cc5ccc(cc5)C(=O)C)c6ncnn16,CHEMBL3648518,8.52,pIC50
CCCN1C(=O)C(=C(CCC)n2ncnc12)Cc3ccc(cc3)c4ccccc4C5=NC(=O)ON5,CHEMBL3648519,8.52,pIC50
CCCC1=C(C(C)c2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OCC(C)(C)O)c6ncnn16,CHEMBL3648536,8.54,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N(C5CCN(CC5)c6ccc(O)cc6)c7ncnn17,CHEMBL3648632,8.54,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@H](CC5)Oc6ccc(OC)cc6)c7ncnn17,CHEMBL3648590,8.55,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@](O)(COC)CC5)c6ncnn16,CHEMBL3648607,8.55,pIC50
CCCC1=C(Cc2ccc(cc2F)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@H](CC5)OC(C)C(O)(CF)CF)c6ncnn16,CHEMBL3648624,8.55,pIC50
CCCC1=C(Cc2ccc(cc2)c3ccccc3C4=NC(=O)ON4)C(=O)N([C@@H]5CC[C@@H](CC5)OCCO)c6nc(C)nn16,CHEMBL3648601,8.57,pIC50
