SMILES,ChEMBL,target,metric
[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,vecuronium,7.8239,pIC50
[H][C@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC=C(O)C(OC6=CC1=C(CCN2C)C=C6OC)=C5)=CC(OC)=C4O)C=C3,tubocurarine,7.6198,pIC50
[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1,rocuronium,7.7696,pIC50
[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,pancuronium,8.2007,pIC50
[H][C@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC=C(OC)C(OC6=CC1=C(CC[N+]2(C)C)C=C6OC)=C5)=CC(OC)=C4OC)C=C3,dimethyltubocurarinium,7.7447,pIC50
COC1=C(OC)C=C(C[C@@H]2C3=CC(OC)=C(OC)C=C3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCC3=CC(OC)=C(OC)C=C3[C@H]2CC2=CC(OC)=C(OC)C=C2)C=C1,cisatracurium,8.0,pIC50
COC1=C(OC)C=C(CC2C3=CC(OC)=C(OC)C=C3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC3=CC(OC)=C(OC)C=C3C2CC2=CC(OC)=C(OC)C=C2)C=C1,atracurium,7.7696,pIC50
Clc1ccc(CN2C=CSC2=N)cn1,CHEMBL72675,5.1,pIC50
C1C[C@@H]2CC[C@@H](N2)C(=C1)c3onc(c3)c4ccccc4,CHEMBL1823382,5.11,pIC50
Clc1ccc(CN2CCSC2=N)cn1,CHEMBL71046,5.22,pIC50
CC(C)c1cc(on1)C2=CCC[C@@H]3CC[C@H]2N3,CHEMBL1823381,5.26,pIC50
CCc1cc(on1)C2=CCC[C@@H]3CC[C@H]2N3,CHEMBL1823380,5.38,pIC50
Clc1cncc(c1)N2CCCNCC2,CHEMBL3341967,6.03,pKi
Clc1ccc(cn1)C2CC3CCC2N3,CHEMBL6623,6.8,pIC50
