SMILES,ChEMBL,target,metric
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,dasatinib,8.25,pKd
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,bosutinib,7.54,pKd
COc1cc(ccc1C(=O)c2ccccc2)c3nc([C@@H]4C[C@](C)(O)C4)n5ccnc(N)c35,CHEMBL2325959,7.54,pIC50
CCCC(=O)N1CCN(CC1)c2ccc(Nc3ncc(C(=O)Nc4c(F)cccc4Cl)c(NCC5CCCO5)n3)cc2,CHEMBL3426880,7.55,pIC50
C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc(cc3F)C(=O)c4ccccc4)c5c(N)nccn25,CHEMBL2325960,7.55,pIC50
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1,CHEMBL386051,7.57,pKd
COC(C)(C)CCn1nc(Nc2c(C)cc(F)cc2C)c3cnc(Nc4ccccc4)nc13,CHEMBL521379,7.59,pKi
C(Nc1ncnc2oc(c3ccccc3)c(c4ccccc4)c12)[C@@H]5CCCO5,CHEMBL247070,7.62,pIC50
C(Cc1cccnc1)Nc2ccnc3oc(c4ccc(OCCN5CCCCC5)cc4)c(c6ccccc6)c23,CHEMBL437754,7.7,pIC50
CCOc1ccccc1Oc2nc(Nc3ccc(cc3)N4CCNCC4)ncc2C(=O)Nc5c(C)cccc5C,CHEMBL459044,7.7,pKi
CN(C)CCCn1nc(Nc2c(Cl)cccc2Cl)c3cnc(Nc4ccccc4)nc13,CHEMBL487054,7.7,pKi
CN(C)CCOc1ccc(cc1)c2[nH]c3ncnc(NC[C@@H]4CCCO4)c3c2C5=CCCC5,CHEMBL2087668,7.7,pKi
CN(C)[C@@H]1CCN(CCn2nc(Nc3c(Cl)cccc3Cl)c4cnc(Nc5ccccc5)nc24)C1,CHEMBL488061,7.7,pKi
COC(C)(C)CCn1nc(Nc2c(C)cc(F)cc2C)c3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc13,CHEMBL514919,7.7,pKi
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccc(OCCN5CCCC5)c(F)c4)nc13,CHEMBL502156,7.7,pKi
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccc(OCCN5CCCC5)cc4)nc13,CHEMBL458333,7.7,pKi
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc13,CHEMBL487897,7.7,pKi
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccc(cc4)N5CCNCC5)nc13,CHEMBL472392,7.7,pIC50
COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c3cnc(Nc4ccccc4)nc13,CHEMBL487242,7.7,pKi
CO[C@@H]1CC[C@H]1CNc2ncnc3[nH]c(c4ccc(OCCN(C)C)cc4)c(c5ccccc5)c23,CHEMBL2087881,7.7,pKi
Cc1ccccc1c2c([nH]c3ncnc(NC[C@@H]4CCCO4)c23)c5ccc(OCCN6CCCC6)cc5,CHEMBL2087871,7.7,pKi
OC[C@H](O)CCn1nc(Nc2c(Cl)cccc2Cl)c3cnc(Nc4ccccc4)nc13,CHEMBL461159,7.7,pKi
C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(cc4)N5CCOCC5)c(c6ccccc6)c23,CHEMBL247880,7.77,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.77,pKd
C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N,CHEMBL3286830,7.77,pIC50
C(CN1CCCC1)Oc2ccc(cc2)c3oc4ncnc(NC[C@@H]5CCCO5)c4c3c6ccccc6,CHEMBL247480,7.8,pIC50
C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)[C@](C)(O)CO)c3cc(F)ccc3n4nccn4,CHEMBL3128069,7.82,pIC50
CS(=O)(=O)O.Oc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1,CHEMBL3218297,7.85,pIC50
CCN1CCN(CC1)C(=O)c2ccc(cc2)c3oc4ncnc(NC[C@@H]5CCCO5)c4c3c6ccccc6,CHEMBL247878,7.89,pIC50
CN(C)CCOc1ccc(cc1)c2oc3ncnc(NCC4OCCO4)c3c2c5ccccc5,CHEMBL2087877,7.89,pKi
CNC(=O)c1ccc(cc1)c2oc3ncnc(NC[C@@H]4CCCO4)c3c2c5ccccc5,CHEMBL2087663,7.89,pKi
COC(C)(C)CCn1nc(Nc2c(C)cc(C)cc2C)c3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc13,CHEMBL459220,7.92,pKi
COC(C)(C)CCn1nc(Nc2c(Cl)cccc2Cl)c3cnc(Nc4ccc(cc4)N5CCNCC5)nc13,CHEMBL487896,7.92,pKi
CN(C)CCOc1ccc(cc1)c2oc3ncnc(NC[C@@H]4CCCO4)c3c2c5ccccc5,CHEMBL247479,7.96,pIC50
