SMILES,ChEMBL,target,metric
Nc1ncnc2c1ncn2CC#CCO,CHEMBL46348,6.0,pIC50
Clc1ccc(Oc2ccc(Cl)cc2N(CC(=O)NCCN3CCCC3)CC(=O)N4CCC(CC4)c5ccccc5)cc1,CHEMBL3322535,6.01,pIC50
Nc1ncc(F)c2c1ncn2[C@H]3[C@H](O)[C@H](O)C=C3F,CHEMBL3290667,6.01,pIC50
Nc1ncnc2c1ncn2C\C=C\C(O)CO,CHEMBL296107,6.02,pIC50
CC(=CCn1cnc2c(N)ncnc12)C,CHEMBL298115,6.03,pIC50
Nc1ncnc2c1ncn2[C@@H]3C=C(CCl)[C@@H](O)[C@H]3O,CHEMBL419393,6.03,pIC50
Nc1ncnc2c1ncn2[C@H]3[C@H](O)[C@H](O)C(=C3F)CCO,CHEMBL3580900,6.04,pIC50
COC(=O)N1CCC(CC1)N(C)C(=O)CN(CC(=O)NCCN2CCCC2)c3cc(Cl)ccc3Oc4ccc(Cl)cc4,CHEMBL3322546,6.05,pIC50
Nc1ncnc2c1ncn2[C@@H]3C=C(CO)[C@@H](O)[C@H]3O,CHEMBL8771,6.05,pIC50
Nc1ncc(F)c2c1ncn2[C@@H]3C[C@@H](O)[C@@H](O)[C@H]3O,CHEMBL3290649,6.06,pIC50
Nc1ncnc2c1ncn2[C@@H]3C=C[C@@H](O)[C@H]3O,CHEMBL299961,6.06,pIC50
Nc1ncnc2c1ncn2[C@@H]3C=C(CO)C(=O)[C@H]3O,CHEMBL2368540,6.1,pKi
CC(C)OC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL608915,6.11,pKi
CCCCOC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL610384,6.15,pKi
Nc1ncc(F)c2c1ncn2[C@@H]3C[C@@H](F)[C@@H](O)[C@H]3O,CHEMBL3290661,6.17,pIC50
Nc1ncnc2c1ncn2C3O[C@H](C#C)[C@@H](O)[C@H]3O,CHEMBL604208,6.17,pKi
Nc1ncnc2c1ncn2[C@@H]3O[C@H](C=NO)[C@@H](O)[C@H]3O,CHEMBL1288616,6.17,pKi
Nc1ncnc2c1ncn2[C@H]3O[C@@H](\C=N\O)[C@H](O)[C@@H]3O,CHEMBL2364569,6.17,pKi
CCN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NCCN3CCCC3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5,CHEMBL3597813,6.19,pIC50
CN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NC[C@H]3CCCN3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5,CHEMBL3322560,6.22,pIC50
CN(C1Cc2ccccc2C1)C(=O)CN(CC(=O)NC[C@H]3CCCN3C(=O)OC(C)(C)C)c4cc(Cl)ccc4Oc5ccc(Cl)cc5,CHEMBL3597822,6.22,pIC50
CC[C@H]1C[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL296392,6.23,pKi
CC(C)COC(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL610383,6.24,pKi
CCN(CC)C(=O)[C@H]1OC([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,CHEMBL608072,6.24,pKi
Nc1ncnc2c1ncn2C3O[C@H](\C=C\C#C)[C@@H](O)[C@H]3O,CHEMBL611098,6.26,pKi
CN(Cc1ccccc1)C(=O)CN(CC(=O)NCCN2CCCC2)c3cc(Cl)ccc3Oc4ccc(Cl)cc4,CHEMBL3322532,6.28,pIC50
CN([C@@H]1CC[C@H](CC1)c2ccccc2)C(=O)CN(CC(=O)NCCN3CCCC3)c4cc(Cl)ccc4Oc5ccc(Cl)cc5,CHEMBL3322542,6.28,pIC50
C\C(=C/Cn1cnc2c(N)ncnc12)\CO,CHEMBL295729,6.3,pKi
