SMILES,ChEMBL,target,metric
CCOc1cc(cc(C(=O)O)c1O)C2NC(=O)NC(C2c3ccsc3)c4cnn(C)c4,CHEMBL3650428,6.24,pIC50
CCOc1cc(cc(C(=O)O)c1O)[C@H]2NC(=O)N=C(C2c3ccsc3)c4cnn(C)c4,CHEMBL3661052,6.24,pIC50
CCOc1cc(cc(C(=O)O)c1O)C2NC(=O)N=C(C2c3ccsc3)c4cccnc4,CHEMBL3661048,6.82,pIC50
CCOc1cc(cc(C(=O)O)c1O)C2NC(=O)NC(C2c3ccsc3)c4cccnc4,CHEMBL3650422,6.82,pIC50
CCOc1cc(cc(C(=O)O)c1O)[C@@H]2NC(=O)N=C(C2c3ccsc3)c4cccnc4,CHEMBL3661047,7.17,pIC50
CCOc1cc(cc(C(=O)O)c1O)[C@@H]2NC(=O)NC(C2c3ccsc3)c4cccnc4,CHEMBL3650423,7.17,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)N=C(C2c3ccccc3)c4cccnc4,CHEMBL3661043,7.37,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)NC(=C2c3ccccc3)c4cccnc4,CHEMBL3650421,7.37,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)N=C(C2c3ccsc3)c4ccn(C)n4,CHEMBL3661045,7.4,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)NC(=C2c3ccsc3)c4ccn(C)n4,CHEMBL3650429,7.4,pIC50
Cn1cc(cn1)C2NC(=O)NC(C2c3ccsc3)c4ccc(C(=O)O)c(O)c4,CHEMBL3650432,7.41,pIC50
Cn1ccc(n1)C2=NC(=O)NC(C2c3ccsc3)c4ccc(C(=O)O)c(O)c4,CHEMBL3661055,7.41,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2=NC(=O)NC(C2c3ccsc3)c4ccn(C)n4,CHEMBL3661053,7.46,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)NC(=C2c3ccsc3)c4ccn(C)n4,CHEMBL3650430,7.46,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)N=C(C2c3ccccc3)c4ccccc4,CHEMBL3661041,7.54,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)NC(=C2c3ccccc3)c4ccccc4,CHEMBL3650419,7.54,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)N=C(C2c3ccccc3)c4cccnc4,CHEMBL3661061,7.55,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)NC(=C2c3ccccc3)c4cccnc4,CHEMBL3650417,7.55,pIC50
CCOc1cc(cc(C(=O)O)c1O)C2NC(=O)N=C(C2c3ccsc3)c4cnn(C)c4,CHEMBL3661049,7.57,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)N=C(C2c3ccsc3)c4cccnc4,CHEMBL3661044,7.62,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)NC(=C2c3ccsc3)c4cccnc4,CHEMBL3650425,7.62,pIC50
Cn1cc(cn1)C2=NC(=O)N[C@H](C2c3ccsc3)c4ccc(C(=O)O)c(O)c4,CHEMBL3661057,7.64,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)N=C(C2c3ccsc3)c4ccccc4,CHEMBL3661042,7.72,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2NC(=O)NC(=C2c3ccsc3)c4ccccc4,CHEMBL3650420,7.72,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)N=C(C2c3ccsc3)c4ccccc4,CHEMBL3661059,7.75,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)NC(=C2c3ccsc3)c4ccccc4,CHEMBL3650415,7.75,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])C2=NC(=O)NC(C2c3ccsc3)c4cccnc4,CHEMBL3661050,7.8,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)NC(=C2c3ccsc3)c4cccnc4,CHEMBL3650426,7.8,pIC50
CCOc1cc(cc(C(=O)O)c1O)[C@@H]2NC(=O)N=C(C2c3ccsc3)c4cnn(C)c4,CHEMBL3661051,7.89,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)N=C(C2c3ccccc3)c4ccccc4,CHEMBL3661058,7.96,pIC50
CCOc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2NC(=O)NC(=C2c3ccccc3)c4ccccc4,CHEMBL3650413,7.96,pIC50
