SMILES,ChEMBL,target,metric
CCCCC(Oc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3)C(=O)O,CHEMBL324628,6.0,pIC50
Cc1cc(Br)c2NC(=O)C(=O)c2c1,CHEMBL3128208,6.0,pKi
Fc1cccc(F)c1C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3,CHEMBL3667544,6.05,pIC50
Oc1ccc(cc1)C2=COc3cc(OCC=C)ccc3C2=O,CHEMBL112165,6.1,pIC50
OCCCCCCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL111989,6.16,pIC50
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4(N)CCCCC4,CHEMBL3660718,6.28,pIC50
Cc1cc(CNC(=O)c2c(Cl)cccc2Cl)ccc1C3=CC(=O)NC=C3,CHEMBL3667542,6.32,pIC50
Fc1ccc(F)c(C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3)c1Cl,CHEMBL3667541,6.33,pIC50
COc1cc(O)c2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL491174,6.35,pKi
Clc1ccc2N(CCc3ccccc3)C(=O)C(=O)c2c1,CHEMBL3128206,6.39,pIC50
Oc1ccc(cc1)C2=COc3cc(OCCC4OCCCO4)ccc3C2=O,CHEMBL134275,6.4,pIC50
CS(=O)(=O)NCc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4(O)CCCC4,CHEMBL3660720,6.41,pIC50
Fc1cccc(Cl)c1C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3,CHEMBL3667545,6.42,pIC50
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#Cc4ccccc4,CHEMBL3660713,6.48,pIC50
CCOC(=O)C(C)Oc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL326236,6.5,pIC50
Fc1cc(ccc1CNC(=O)c2c(Cl)cccc2Cl)C3=CC(=O)NC=C3,CHEMBL3667546,6.52,pIC50
Oc1ccc(cc1)C2=COc3cc(OCCCCCCBr)ccc3C2=O,CHEMBL112437,6.52,pIC50
CCOC(=O)CCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL112070,6.55,pIC50
Oc1ccc(cc1)C2=COc3cc(OCCCCBr)ccc3C2=O,CHEMBL113617,6.57,pIC50
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4CNC4,CHEMBL3660734,6.58,pIC50
Oc1ccc(cc1)C2=COc3cc(OCCCBr)ccc3C2=O,CHEMBL115314,6.59,pIC50
NCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL109868,6.6,pIC50
CCOC(=O)CCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL112865,6.62,pIC50
Fc1cccc(C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3)c1Cl,CHEMBL3667537,6.67,pIC50
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4CCNCC4,CHEMBL3660729,6.76,pIC50
Cc1cccc(C)c1C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3,CHEMBL3667539,6.78,pIC50
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4(O)CCCC4,CHEMBL3660724,6.81,pIC50
CC1=C(C(=O)OC2CC(Cl)CCC12)c3ccccc3,CHEMBL111984,6.82,pIC50
Oc1ccc(cc1)C2=COc3cc(OCCCCC=C)ccc3C2=O,CHEMBL109649,6.82,pIC50
CCOC(=O)COc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL326803,6.89,pIC50
OC(=O)CCCCCCCCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL262662,6.89,pIC50
OCCCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL113058,6.92,pIC50
CC(C)CN1CC(C1)C#Cc2ccc3C(=O)C(=COc3c2)c4ccc(CNS(=O)(=O)C)cc4,CHEMBL3660737,6.96,pIC50
Clc1cccc(Cl)c1C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3,CHEMBL3667536,6.99,pIC50
Clc1ccc2N(C\C=C\c3ccccc3)C(=O)C(=O)c2c1,CHEMBL3128203,7.0,pIC50
NCCCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL109641,7.0,pIC50
OC(=O)CCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3,CHEMBL113586,7.0,pIC50
COCC#Cc1ccc2C(=O)C(=COc2c1)c3ccc(NS(=O)(=O)C4CC4)cc3,CHEMBL3660723,7.02,pIC50
Cn1cnc(c1)C#Cc2ccc3C(=O)C(=COc3c2)c4ccc(NS(=O)(=O)C)cc4,CHEMBL3660733,7.02,pIC50
