SMILES,ChEMBL,target,metric
COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N1CCN(CC1)C(=O)C1CCCO1,terazosin,9.08,pKi
CNC[C@H](O)C1=CC(O)=CC=C1,phenylephrine,6.9,pKi
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,doxazosin,9.1,pKi
NC[C@H](O)c1ccc(O)c(O)c1,norepinephrine,4.69,pKi
CNC[C@H](O)C1=CC=C(O)C(O)=C1,epinephrine,6.5,pKi
COC1=CC(C(O)C(C)N)=C(OC)C=C1,methoxamine,4.0,pKi
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3,phentolamine,7.32,pKi
COC1=C(C=CC=C1)N1CCN(CCCNC2=CC(=O)N(C)C(=O)N2C)CC1,urapidil,7.1,pKi
COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1,alfuzosin,8.55,pKi
COC1=C(C=CC=C1)N1CCN(CC(O)COC2=CC=CC3=CC=CC=C23)CC1,naftopidil,7.69896984,pKi
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4,prazosin,9.68,pKi
C(COc1ccccc1)NCCOc2ccccc2OCc3ccccc3,CHEMBL1255086,7.0,pKi
CC(C)C1=CNC(=O)N(CCCN2CCN(CC2)c3ccc(F)cc3OCC(F)(F)F)C1=O,CHEMBL57740,7.0,pKi
CC(C)Oc1ccccc1N2CCN(CC2)[C@@H]3CC[C@@H](CC3)NS(=O)(=O)c4ccc(Cl)cc4F,CHEMBL233410,7.0,pKi
CC1=CN(CCCN2CCN(CC2)c3ccccc3OCC(F)(F)F)C(=O)NC1=O,CHEMBL292403,7.0,pKi
CCOc1ccccc1OCCN[C@H](C)Cc2ccc(OC)c(c2)S(=O)(=O)N,CHEMBL836,7.0,pKi
CNC(=O)C1=C(C)NC(=O)N(C1c2ccc(cc2)[N+](=O)[O-])C(=O)NCCCN3CCC(CC3)(C(=O)OC)c4ccccc4,CHEMBL145334,7.0,pKi
COC(=O)C1(CCN(CCCNC(=O)N2C(C(=C(C)NC2=O)C(=O)N)c3ccc(cc3)[N+](=O)[O-])CC1)c4ccccc4,CHEMBL145562,7.0,pKi
COC(=O)C1=C(C)N=C(C)N(CCCCCN2CCC(CC2)(c3ccccc3)c4ccccc4)C1c5ccc(F)c(F)c5,CHEMBL145746,7.0,pKi
COCC1=C(C(N(C(=O)NCCCN2CCN(CC2)c3ccccc3C(=O)N)C(=O)N1)c4ccc(F)c(F)c4)C(=O)OC,CHEMBL142236,7.0,pKi
COc1ccccc1N2CCN(CCc3ccc(CN4C(=O)c5ccccc5C4=O)cc3)CC2,CHEMBL3741318,7.0,pIC50
COc1ccccc1OCCNCC2CSC(O2)(c3ccccc3)c4ccccc4,CHEMBL1083182,7.0,pKi
Cc1cccc(C)c1OCCNCCOc2ccccc2OCc3ccccc3,CHEMBL1255003,7.0,pKi
Clc1ccc(CC2=NN(C3CCCN(CCCCc4ccc(OCCCN5CCCCCC5)cc4)CC3)C(=O)c6ccccc26)cc1,CHEMBL1767161,7.0,pKi
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,aripiprazole,7.0,pKi
FC1=CNC(=O)N(CCCN2CCN(CC2)c3ccc(F)cc3OCC(F)(F)F)C1=O,CHEMBL417954,7.0,pKi
Fc1ccc(N2CCN(CCCN3C(=O)NC=CC3=O)CC2)c(OCC(F)(F)F)c1,CHEMBL299452,7.0,pKi
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24,quetiapine,7.0,pKi
Oc1cccc(O)c1OCCNCCOc2ccccc2OCc3ccccc3,CHEMBL1255085,7.0,pKi
C1CC12c3ccccc3[C@H]4C[C@@]24c5c[nH]cn5,CHEMBL1255617,7.01,pKi
CCC1=C(C(C(=C(COCCN=[N+]=[N-])N1)C(=O)NCCCN2CCC(CC2)(c3ccccc3)c4ccccc4)c5ccc(cc5)[N+](=O)[O-])C(=O)N,CHEMBL98063,7.01,pKi
COc1ccccc1N2CCN(CCCCCN3C(=O)CC(CC3=O)c4ccccc4)CC2,CHEMBL1796036,7.01,pKi
Cc1ccc(cc1)C2(CC(=O)N(CCCN3CCC(CC3)(C#N)c4ccccc4Cl)C2=O)c5ccc(C)cc5,CHEMBL62045,7.01,pKi
COc1cccc2[C@@H]3CN(CCN4CNc5cc(OC)c(OC)cc5C4=O)C[C@@H]3CCc12,CHEMBL303988,7.02,pKi
COC(=O)C1=C(C)N=C(C)N(CCCCCN2CCC(CC2)c3ccccc3)C1c4ccc(F)c(F)c4,CHEMBL359421,7.03,pKi
COc1ccccc1N2CCN(CCN3C(=O)CC4(CCCC4)CC3=O)CC2,CHEMBL13647,7.03,pKi
Clc1ccc(cc1)C(=O)C2CCN(CC[C@H]3CCCN3S(=O)(=O)c4ccc5cc[nH]c5c4)CC2,CHEMBL116292,7.03,pKi
O[C@@H]1[C@@H](CC[C@H]1Oc2ccccc2)NC[C@@H]3COc4ccccc4O3,CHEMBL134428,7.03,pKi
COCC1=C([C@@H](N(C(=O)N[C@@H]2CC[C@H](C2)N3CCC(CC3)c4ccccc4C#N)C(=O)N1)c5ccc(F)c(F)c5)C(=O)OC,CHEMBL262002,7.04,pKi
COc1ccc(Cl)cc1N2CCN(CCN3C(=O)Nc4c(sc5ccccc45)C3=O)CC2,CHEMBL223289,7.04,pKi
COc1ccccc1N2CCN(CCCNC3=C(C)C(=O)N(C)C(=O)N3C)CC2,CHEMBL420060,7.04,pKi
FC(F)(F)COc1ccccc1C2CCN(CC2)[C@@H]3CC[C@@H](CC3)NS(=O)(=O)c4ccc5OCCOc5c4,CHEMBL439197,7.04,pKi
FC(F)(F)COc1ccccc1C2CCN(CC2)[C@@H]3CC[C@H](CC3)NS(=O)(=O)c4ccc5OCCOc5c4,CHEMBL228390,7.04,pKi
O=S(=O)(N1CCC[C@@H]1CCN2CCC(CC2)c3cc4ccccc4[nH]3)c5ccc6cc[nH]c6c5,CHEMBL331803,7.05,pKi
CC1=C([C@H](NC(=O)N1)c2ccc(F)c(F)c2)C(=O)NCCCN3CCC(CC3)c4ccc(F)cc4C#N,CHEMBL92328,7.06,pKi
CN1CCc2c(Cl)ccc(OCC=C(C)C)c2CC1,CHEMBL114166,7.06,pKi
COC(=O)C1=C(C)NC(=O)N(C1c2ccc(F)cc2F)C(=O)NCCCN3CCC(CC3)(C(=O)OC)c4ccccc4,CHEMBL141444,7.06,pKi
Clc1ccc(Cl)c(c1)N2CCN(CCN3C(=O)CCC3=O)CC2,CHEMBL294646,7.06,pKi
Clc1ccccc1N2CCN(CCN3C(=O)CC4(CCCC4)CC3=O)CC2,CHEMBL57593,7.06,pKi
CN1[C@H](C(=C(C)N(C)C1=O)C(=O)NCCCN2CCC(CC2)c3ccc(F)cc3)c4ccc(F)c(F)c4,CHEMBL93693,7.07,pKi
COC(=O)C1=C(C)NC(=C(C1c2ccc(cc2)[N+](=O)[O-])C(=O)OCCCN3CCC(CC3)(c4ccccc4)c5ccccc5)C,CHEMBL3392246,7.07,pKi
COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)OCCCN3CCC(CC3)(c4ccccc4)c5ccccc5)C,CHEMBL405355,7.07,pKi
COc1ccc(cc1OC)S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCN(CC3)c4ccccc4OCC(F)(F)F,CHEMBL438673,7.07,pKi
COc1ccc(cc1S(=O)(=O)N[C@@H]2CC[C@@H](CC2)N3CCN(CC3)c4ccccc4OC(C)C)[N+](=O)[O-],CHEMBL429623,7.07,pKi
COc1ccccc1N2CCN(CC3COC4(CCN(CC4)S(=O)(=O)c5ccccc5)O3)CC2,CHEMBL3342866,7.07,pKi
COc1ccccc1N2CCN(CC3COC4(CCN(CC4)S(=O)(=O)c5cccs5)O3)CC2,CHEMBL3342872,7.07,pKi
COc1ccccc1N2CCN(C[C@H]3CO[C@](CN4C(=O)CCC4=O)(O3)c5ccccc5)CC2,CHEMBL1242724,7.07,pKi
Cl.COc1ccc2ccccc2c1OCCNC[C@@H]3COc4ccccc4O3,CHEMBL439346,7.07,pKi
CC1=Nc2c([nH]c3ccccc23)C(=O)N1CCN4CCN(CC4)c5ccc(Cl)c(Cl)c5,CHEMBL220717,7.08,pKi
