SMILES,ChEMBL,target,metric
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12,naphazoline,7.67999983,pKi
CNC[C@H](O)C1=CC=C(O)C(O)=C1,epinephrine,6.55909092,pKi
NC(=N)N\N=C\c1c(Cl)cccc1Cl,guanabenz,7.82390874,pKi
NC[C@H](O)c1ccc(O)c(O)c1,norepinephrine,7.18,pKi
C[C@H](c1c[nH]cn1)c2cccc(C)c2C,dexmedetomidine,8.82,pEC50
ClC1=CC=CC(Cl)=C1NC1=NCCN1,clonidine,8.42,pKi
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,apraclonidine,8.54,pKi
CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1,lofexidine,8.36,pKi
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3,phentolamine,8.77,pKi
C(C1=NCCN1)C1=CC=CC=C1,tolazoline,6.64,pKi
CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1,phenoxybenzamine,6.28,pIC50
NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,guanfacine,7.1642,pEC50
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,brimonidine,8.3872,pEC50
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2,yohimbine,9.38,pKi
C(C1CN=CN1)C2=Cc3ccccc3CC2,CHEMBL407509,7.0,pKi
CCC1=C(C(C(=C(CCCCOC)N1)C(=O)NCCCN2CCC(CC2)(c3ccccc3)c4ccccc4)c5ccc(cc5)[N+](=O)[O-])C(=O)N,CHEMBL99864,7.0,pKi
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,pergolide,7.0,pKi
COc1ccc(CCCN2CCC(CCC(=O)c3cc(Cl)c(N)c4OCCOc34)CC2)cc1OC,CHEMBL69733,7.0,pKi
C[C@@H](Oc1ccccc1CC=C)C2=NCCN2,CHEMBL1276139,7.0,pKi
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,aripiprazole,7.0,pKi
Nc1nc(NCC2CCC(CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc4ccccc14,CHEMBL192266,7.0,pIC50
CCOc1ccccc1OC(C)C2=NCCN2,CHEMBL1956196,7.01,pKi
CCS(=O)(=O)Nc1cccc2C(CCc12)c3c[nH]cn3,CHEMBL111771,7.01,pKi
CN(C)c1nc(N[C@@H]2CC[C@@H](CC2)NC(=O)c3cccc(c3)[N+](=O)[O-])nc4ccccc14,CHEMBL181383,7.01,pIC50
COc1cc2OCC3C(CN4CCN(Cc5cc6ccccc6s5)CC4)ON=C3c2cc1OC,CHEMBL94435,7.01,pKi
C[C@H](Oc1ccccc1c2cccc(O)c2)C3=NCCN3,CHEMBL1278085,7.01,pKi
Nc1nc(NC[C@@H]2CC[C@@H](CNS(=O)(=O)c3cccc4ccccc34)CC2)nc5ccccc15,CHEMBL17645,7.01,pIC50
Brc1ccccc1OCC2=NCCN2,CHEMBL2431279,7.02,pKi
COc1cccc2[C@@H]3CN(CCN4C(=O)Nc5c(sc6cccnc56)C4=O)C[C@@H]3CCc12,CHEMBL40650,7.02,pKi
COc1ccccc1N2CCN(CCCCN3N=CC(=O)N(C)C3=O)CC2,CHEMBL2413154,7.02,pKi
Clc1cccc(Cl)c1Nc2ncc[nH]2,CHEMBL1022,7.02,pKi
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24,CHEMBL481153,7.02,pKi
C1CN=C(N1)C(Oc2ccccc2)c3ccccc3,CHEMBL494885,7.03,pKi
CN1CCc2ccc3[C@@H](N)c4cccc5C[C@@H]1c2c3c45,CHEMBL27251,7.03,pKi
COc1cc2OC[C@H]3[C@H](CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC,CHEMBL92860,7.03,pKi
O=C(NCCN1CCCN(C[C@H]2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5,CHEMBL524153,7.03,pKi
CC(Nc1ccccc1c2ccccc2)C3=NCCN3,CHEMBL130884,7.04,pKi
C[C@H](Oc1ccccc1c2ccccc2)C3=NCCN3,CHEMBL396013,7.04,pKi
[Br-].CCCCCCCCCCCCCCCC[n+]1ccccc1,CHEMBL334255,7.04,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,clozapine,7.05,pIC50
