SMILES,ChEMBL,target,metric
COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC,cabozantinib,7.8446641,pIC50
CCCn1c2ccc(NC(=O)c3occc3)cc2c4c5CNC(=O)c5c6c(CCc7nn(C)cc67)c14,CHEMBL425109,7.54,pIC50
COc1cc2c(Nc3ccc(cc3F)c4nc5ccccc5s4)ncnc2cc1OCCCN6CCN(C)CC6,CHEMBL594228,7.54,pIC50
CC(C)O\N=C(/C)\c1ccc2[nH]c3c4CCc5nn(C)cc5c4c6C(=O)NCc6c3c2c1,CHEMBL258000,7.55,pIC50
COC(=O)Nc1nc2cc(Oc3cccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)c3)ccc2[nH]1,CHEMBL244289,7.55,pIC50
COc1ccc(cc1)c2oc3ncnc(N)c3c2c4ccc(NC(=O)Nc5ccccc5)cc4,CHEMBL194149,7.55,pIC50
Nc1ncnc2snc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12,CHEMBL213504,7.55,pIC50
CCCn1c2ccc(Nc3ncccn3)cc2c4c5CNC(=O)c5c6c(CCc7nn(C)cc67)c14,CHEMBL2010871,7.57,pIC50
CNc1nccc(n1)c2cccnc2Oc3ccc(Nc4nc5ccc(cc5[nH]4)C(F)(F)F)c6ccccc36,CHEMBL463323,7.57,pIC50
Cn1cc2c(CCc3c2c4C(=O)NCc4c5c6cc(ccc6n(CCO)c35)C7CCCCO7)n1,CHEMBL1085293,7.57,pIC50
CCCn1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13)C(=O)c7cccs7,CHEMBL255959,7.59,pIC50
CCO\N=C(/C)\c1ccc2c(c1)c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c3n2C(C)C,CHEMBL401896,7.59,pIC50
COc1cc2c(Oc3ccc(cc3F)C4=CN=C(Nc5ccc(F)cc5)N(C)C4=O)ccnc2cc1OCCCN6CCOCC6,CHEMBL453737,7.59,pIC50
CCO\N=C(/C)\c1ccc2c(c1)c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c3n2CC(C)C,CHEMBL428433,7.6,pIC50
Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C,CHEMBL103667,7.6,pIC50
CC(C)n1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13)C(=O)c7cccs7,CHEMBL402182,7.62,pIC50
CCCn1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6c5cnn6C)c13)C7CCCCO7,CHEMBL1083042,7.62,pIC50
CNc1cc(ncn1)c2cccnc2Nc3c(C)ccc4c(Nc5ccc(Cl)cc5)nccc34,CHEMBL565885,7.62,pIC50
CC(C)CO\N=C(/C)\c1ccc2c(c1)c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c3n2CC(C)C,CHEMBL258222,7.64,pIC50
CCO\N=C(/C)\c1ccc2[nH]c3c4CCc5nn(C)cc5c4c6C(=O)NCc6c3c2c1,CHEMBL404718,7.64,pIC50
CNc1nccc(n1)c2cccnc2Oc3ccc(Nc4nc5ccccc5[nH]4)cc3C,CHEMBL516817,7.64,pIC50
CNc1ncnc(n1)c2cccnc2Oc3cc(NC(=O)c4cccc(c4)n5cccc5)ccc3C,CHEMBL246355,7.64,pIC50
CC(C)Cn1c2ccc(Nc3ncccn3)cc2c4c5CNC(=O)c5c6c(CCc7nn(C)cc67)c14,CHEMBL2010872,7.66,pIC50
CNc1ncnc(n1)c2cccnc2Oc3cc(ccc3C)C(=O)Nc4cc(ccc4OC)C5CCCCC5,CHEMBL220640,7.66,pIC50
COc1ccc(cc1)c2oc3ncnc(N)c3c2c4ccc(NC(=O)Nc5ccc(Cl)cc5)cc4,CHEMBL372617,7.66,pIC50
COc1ccc2NC(=O)[C@@]3(C[C@H]3c4ccc5c(\C=C\c6ccc(CN7C[C@@H](C)O[C@@H](C)C7)cc6)n[nH]c5c4)c2c1,CHEMBL3408947,7.66,pIC50
COc1ccc2cc(ccc2c1)c3nc([nH]c3c4ccncc4)c5ccc(cc5C)[S+](C)[O-],CHEMBL2096892,7.66,pIC50
Nc1ncnc2snc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12,CHEMBL214258,7.66,pIC50
CC(C)CCn1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13)C7CCCCO7,CHEMBL1084338,7.68,pIC50
COc1ccc(cc1C(=O)Nc2cc(ccc2N3CCCCC3)C(F)(F)F)C#Cc4cnc(N)nc4,CHEMBL375617,7.68,pIC50
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1c3ccc4nc(N)ncc4c3,CHEMBL429582,7.68,pIC50
CC(C)Cn1c2ccc(NC(=O)c3occc3)cc2c4c5CNC(=O)c5c6c(CCc7nn(C)cc67)c14,CHEMBL219080,7.7,pIC50
CC(C)Cn1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13)C(=O)c7cccs7,CHEMBL444105,7.7,pIC50
CNc1nccc(n1)c2cccnc2Oc3ccc(Nc4nc5ccccc5[nH]4)c6ccccc36,CHEMBL465793,7.7,pIC50
CNc1ncnc(n1)c2cccnc2Oc3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C,CHEMBL397089,7.7,pIC50
COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cn3)cc2[nH]1,CHEMBL243910,7.7,pIC50
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)c(F)c3)c12,CHEMBL1254007,7.7,pIC50
Fc1ccc(cc1NC(=O)Nc2ccc(Oc3ccc4nc(NC(=O)c5cccnc5)[nH]c4c3)cc2)C(F)(F)F,CHEMBL244486,7.7,pIC50
CCCn1c2ccc(NC(=O)Nc3cccs3)cc2c4c5CNC(=O)c5c6c(CCc7nn(C)cc67)c14,CHEMBL219555,7.72,pIC50
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,CHEMBL574738,7.72,pKd
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3nsc4ncnc(N)c34)c1,CHEMBL262433,7.72,pIC50
