SMILES,ChEMBL,target,metric
CC1(C)CCC(CN2CCN(CC2)C2=CC(OC3=CC4=C(NC=C4)N=C3)=C(C=C2)C(=O)NS(=O)(=O)C2=CC(=C(NCC3CCOCC3)C=C2)[N+]([O-])=O)=C(C1)C1=CC=C(Cl)C=C1,venetoclax,11.0,pKi
CN1CCN(CCCNC(=O)c2c(C)n(C)c(c3ccc(Cl)cc3)c2c4cccc(c4)N5CCN(CC5)c6ccc(NS(=O)(=O)c7cccc(F)c7)cc6)CC1,CHEMBL2171003,6.01,pIC50
COc1ccc(Sc2ccc3C4=C(C#N)C(=O)N=C4c5cccc2c35)cc1,CHEMBL1672077,6.02,pKd
OC(=O)c1[nH]c2cc(Cl)ccc2c1CCCOc3cccc4ccccc34,CHEMBL2314210,6.02,pKi
OC(=O)c1sc2cc(Cl)ccc2c1CCCOc3cccc4ccccc34,CHEMBL2314177,6.02,pKi
Oc1cc2C(=O)N(Cc3ccccc3)C(=Nc2c(O)c1O)c4ccccc4,CHEMBL2436890,6.02,pKi
CC(C)(C)OC(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](Cc2ccc(Br)cc2)C(=O)NS(=O)(=O)c3ccc(Cl)c(c3)[N+](=O)[O-])Oc4ccc(cc4)c5ccccc5,CHEMBL3735206,6.03,pKi
CC(C)Oc1ccc(cc1)c2cc(nn2c3ccc(Oc4ccccc4)cc3)C(=O)O,CHEMBL3799627,6.03,pKi
Oc1c(Cc2ccccc2)cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4)c(O)c1O,CHEMBL217223,6.03,pKi
[O-][N+](=O)c1cc(ccc1NCCSc2ccccc2)S(=O)(=O)NC(=O)c3ccc(NC(=O)c4ccc(F)cc4)cc3,CHEMBL1940671,6.03,pKi
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(NS(=O)(=O)c3cc(Cl)cc(Cl)c3O)cc2C(=O)N4CCc5ccccc5C4,CHEMBL2031011,6.04,pIC50
COc1ccccc1Oc2ccc3C4=C(C#N)C(=O)N=C4c5cccc2c35,CHEMBL1824188,6.05,pKi
Cc1cccc(C)c1N2C(=S)S\C(=C/c3ccc(OCc4ccc(cc4)C(=O)O)cc3)\C2=O,CHEMBL3628069,6.05,pKi
Cc1cc(OCCCc2c([nH]c3cc(Cl)ccc23)C(=O)O)cc(C)c1Cl,CHEMBL2314209,6.06,pKi
CCOc1ccc(cc1)c2c(NC(=O)c3ccccc3)c(nn2c4ccc(Oc5ccccc5)cc4)C(=O)O,CHEMBL3799456,6.07,pKi
CN1CCN(CCCNC(=O)c2c(C)n(C)c(c3ccc(Cl)cc3)c2c4cccc(c4)N5CCN(CC5)c6ccc(NS(=O)(=O)c7cccc(c7)S(=O)(=O)C8CC8)cc6)CC1,CHEMBL2170845,6.07,pIC50
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(NCCSc5ccccc5)c(c4)[N+](=O)[O-],CHEMBL1940666,6.08,pKi
CC(C)(C)OC(=O)N1C[C@H](C[C@H]1C(=O)N[C@@H](Cc2ccc(Br)cc2)C(=O)NS(=O)(=O)c3ccc(Cl)c(c3)[N+](=O)[O-])Oc4ccc(cc4)c5ccc(Cl)cc5,CHEMBL3736460,6.08,pKi
CCCC[C@@H]1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC1=O,CHEMBL436605,6.08,pKi
CCS(=O)(=O)c1cccc(c1)S(=O)(=O)Nc2ccc(cc2)N3CCN(CC3)c4cccc(c4)c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5c7ccc(Cl)cc7,CHEMBL2170844,6.08,pIC50
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(NC(=O)c3ccccc3)cc2C(=O)N4CCc5ccccc5C4,CHEMBL446802,6.09,pIC50
COc1ccc(cc1)C(=O)Nc2ccc(cc2)C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c(c3)[N+](=O)[O-],CHEMBL1940679,6.1,pKi
COc1cccc(c1)S(=O)(=O)Nc2ccc(cc2)N3CCN(CC3)c4cccc(c4)c5c(C(=O)NCCCN6CCN(C)CC6)c(C)n(C)c5c7ccc(Cl)cc7,CHEMBL2169898,6.1,pIC50
Cc1cc(OCCCc2c(sc3cc(Cl)ccc23)C(=O)O)cc(C)c1Cl,CHEMBL2314176,6.1,pKi
Cc1cc(nn1c2ccccc2C(=O)N3CCc4ccccc4C3)C(=O)N(c5ccccc5)c6ccccc6,CHEMBL517577,6.1,pIC50
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccccc2C(=O)N3Cc4ccccc4C[C@H]3CO,CHEMBL467229,6.11,pIC50
Cc1cc(OCCCc2c(C(=O)O)n3CCCc4c(Cl)ccc2c34)cc(C)c1Cl,CHEMBL3426333,6.11,pKi
CC(C)c1ccc(Oc2ccc3C4=C(C#N)C(=O)N=C4c5cccc2c35)cc1,CHEMBL1672071,6.12,pKd
CN1CCN(CCCNC(=O)c2c(C)n(C)c(c3ccc(Cl)cc3)c2c4cccc(c4)N5CCN(CC5)c6ccc(NS(=O)(=O)c7cccc(OC(F)(F)F)c7)cc6)CC1,CHEMBL2171010,6.12,pIC50
[O-][N+](=O)c1cc(ccc1NCCSc2ccccc2)S(=O)(=O)NC(=O)c3ccc(NC(=O)c4ccc(Br)cc4)cc3,CHEMBL1940678,6.12,pKi
FC(F)(F)S(=O)(=O)c1cc(ccc1N[C@H](CCN2CCOCC2)CSc3ccccc3)S(=O)(=O)Nc4ncnc5CN(Cc45)C6CCN(Cc7ccccc7c8ccc(Cl)cc8)CC6,CHEMBL2322029,6.13,pIC50
CC(=O)NC[C@@H]1Cc2ccccc2CN1C(=O)c3ccccc3n4nc(cc4C)C(=O)N(c5ccccc5)c6ccccc6,CHEMBL510332,6.14,pIC50
CC(C)Cc1c(O)c(O)c(O)c2C(=O)C=C(C)Oc12,CHEMBL226678,6.14,pKi
CC1(C)CCN(CC1)c2ccc(cc2)C(=O)NS(=O)(=O)c3ccc(N[C@@H](CCN4CCOCC4)CSc5ccccc5)c(c3)[N+](=O)[O-],CHEMBL378820,6.14,pKi
COc1cc(CCCO)ccc1c2ccc(cc2)C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c(c3)[N+](=O)[O-],CHEMBL434952,6.14,pKi
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3CCc4ccccc4C3C)C(=O)NS(=O)(=O)c5ccc6ccccc6c5,CHEMBL2031023,6.15,pIC50
Cc1cc2c(C(=O)NCC3CCCCC3)c(O)c(O)cc2c(O)c1c4c(C)cc5c(C(=O)NCC6CCCCC6)c(O)c(O)cc5c4O,CHEMBL541004,6.15,pIC50
O=C1N=C2C(=C1C#N)c3ccc(N4CCSCC4)c5cccc2c35,CHEMBL595134,6.15,pIC50
CC(C)c1ccccc1Cc2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)c4ccccc4C(C)(C)C)c(O)c(O)c2O,CHEMBL217354,6.16,pIC50
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(N)cc2C(=O)N3CCc4ccccc4C3,CHEMBL481775,6.16,pIC50
CCCCN(CCCC)c1nccc(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccccc6c5,CHEMBL2030865,6.16,pIC50
CCOc1ccc(cc1)c2cc(nn2c3ccc(Oc4ccccc4)cc3)C(=O)O,CHEMBL3798160,6.16,pKi
CN1CCN(CCCNC(=O)c2c(C)n(C)c(c3ccc(Cl)cc3)c2c4cccc(c4)N5CCN(CC5)c6ccc(NS(=O)(=O)c7cccc(C)c7)cc6)CC1,CHEMBL2171007,6.16,pIC50
Cc1cc(C)c(CNC(=O)c2c(O)c(O)cc3c(O)c(c(C)cc23)c4c(C)cc5c(C(=O)NCc6c(C)cc(C)cc6C)c(O)c(O)cc5c4O)c(C)c1,CHEMBL554545,6.16,pIC50
