SMILES,ChEMBL,target,metric
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,meclofenamic acid,4.33,pIC50
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2,zileuton,6.52,pIC50
CC(C1CCc2c(C)cc(OCCN(C)C)c(C)c2C1)C(=O)Nc3nccs3,CHEMBL227354,6.0,pIC50
CCC(O)(c1cccc(OCC#Cc2ccccc2)c1)c3nccs3,CHEMBL71775,6.0,pIC50
CCC(OC)(c1cccc(OCC#Cc2ccccc2)c1)c3nccs3,CHEMBL327926,6.0,pIC50
CCCCCCC(Sc1nc(Cl)cc(NCc2ccc(cc2)c3ccccc3)n1)C(=O)O,CHEMBL462523,6.0,pIC50
CCCCCCC1=C(OC)C(=CC(=O)C1=O)OC,CHEMBL3416355,6.0,pIC50
CCCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,CHEMBL3416175,6.0,pIC50
CCCOc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)Nc3nccs3,CHEMBL390982,6.0,pIC50
CN(O)C(=O)Cc1ccc(OCc2ccc3ccccc3n2)cc1,CHEMBL52896,6.0,pIC50
CN(O)C(=O)Cc1cccc(OCc2ccc3ccccc3n2)c1,CHEMBL52085,6.0,pIC50
COC1(CCOCC1)c2cccc(COc3ccc4ccccc4c3)c2,CHEMBL149839,6.0,pIC50
COc1ccc2c(c1)c(cn2C(=O)\C=C\c3ccccc3)C(=O)C(=O)N4CCCC4,CHEMBL2336204,6.0,pIC50
COc1ccc2c(c1)c(cn2OS(=O)(=O)c3ccc(C)cc3)C(=O)C(=O)N4CCOCC4,CHEMBL2336205,6.0,pIC50
CSc1cccc(NC(=O)Nc2nc3C(C)C4C5OC(=O)C(C)C5CCC4(C)Cc3s2)c1,CHEMBL227190,6.0,pIC50
C\C=C\c1cc(ccc1O)c2cc(CC=C)ccc2O,CHEMBL569136,6.0,pIC50
Cc1cc(\C=C\c2ccncc2)cc(C)c1O,CHEMBL293821,6.0,pIC50
O=C(N1CCCC1)C(=O)c2cn(C(=O)c3ccccc3)c4ccccc24,CHEMBL2336207,6.0,pIC50
O=C1CCCN(N1)c2ccccc2,CHEMBL30110,6.0,pIC50
[K+].CCCCC\C=C/C\C=C/[C@@H]1CC(=C(C)C[C@H]1\C=C/C\C=C/CCCC(=O)[O-])C,CHEMBL82171,6.0,pIC50
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Oc2cccc3ccccc23,CHEMBL2163347,6.0,pIC50
CC(C)CC(C1=C(O)C(C)(C)C(=O)C(C)(C)C1=O)c2c(O)c(C(CC(C)C)C3=C(O)C(C)(C)C(=O)C(C)(C)C3=O)c(O)c(C(=O)C(C)C)c2O,CHEMBL3608360,6.01,pIC50
CC(C)[C@H](C1=C(O)C(C)(C)C(=O)C(C)(C)C1=O)c2c(O)c3[C@@H](C(C)C)C4=C(Oc3c(C(=O)C(C)C)c2O)C(C)(C)C(=O)C(C)(C)C4=O,CHEMBL3608367,6.01,pIC50
COc1ccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)c(OC)c1,CHEMBL1765891,6.01,pIC50
Cc1ccc(cc1)C2=NC(=O)\C(=C\c3cccs3)\S2,CHEMBL3353701,6.01,pIC50
OC1=CC(=O)C(=CC1=O)Cc2ccc3ccccc3c2,CHEMBL1668217,6.01,pIC50
CCCCCCCCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(OC)c2C1=O)c3ccc(O)c(O)c3,CHEMBL71970,6.02,pIC50
COc1ccc(\C=C\2/SC(=NC2=O)c3cccnc3)cc1,CHEMBL3353704,6.02,pIC50
CCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O,CHEMBL2296071,6.03,pIC50
CCOC(=O)c1c(CSc2ccc(Cl)c(Cl)c2)[nH]c3c4ccccc4c(O)cc13,CHEMBL3758897,6.03,pIC50
COc1ccc(\C=C\2/SC(N(C)C2=O)c3ccc(C)cc3)cc1,CHEMBL3353716,6.03,pIC50
CC(=O)Oc1ccc(\C=C\C(=O)OCCCCC#C)cc1OC(=O)C,CHEMBL3613024,6.04,pIC50
CC(C)(C)c1ccc(\C=C\2/SC(=NC2=O)c3ccccc3)cc1,CHEMBL1765897,6.04,pIC50
CCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,CHEMBL2269075,6.04,pIC50
CC(N(CCc1c2SC(C)Cc3c(OCc4ccc(cn4)c5ccccc5)ccc(c23)n1Cc6ccc(Cl)cc6)C(=O)C)C(=O)O,CHEMBL16591,6.05,pIC50
CCCCC(Cc1cc(OCCc2ccccc2)ccc1OCCc3ccccc3)C(=O)O,CHEMBL1819396,6.05,pIC50
CCCCC(Sc1ccc(OCCCOc2ccc(cc2)c3ccccc3)cc1)C(=O)O,CHEMBL563351,6.05,pIC50
CCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)cc3)n1)C(=O)O,CHEMBL3094432,6.05,pIC50
CCCCC(Sc1nc(OCCCc2ccccc2)cc(OCCCc3ccccc3)n1)C(=O)O,CHEMBL1172019,6.05,pIC50
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)cc3)n1)C(=O)O,CHEMBL3094431,6.05,pIC50
CCCCCC[C@H](Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc4ccccc4c3)n1)C(=O)O,CHEMBL3094414,6.05,pIC50
CCCC\C(=C/c1cc(OCCc2ccccc2)ccc1OCCc3ccccc3)\C(=O)O,CHEMBL1819397,6.05,pIC50
CCCC\C(=C/c1cc(OCc2ccc(OCCN3CCOCC3)cc2)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O,CHEMBL3397724,6.05,pIC50
CCCC\C(=C/c1cc(OCc2csc(n2)c3ccc(cc3)C(F)(F)F)ccc1OCc4ccc(cc4)C(F)(F)F)\C(=O)O,CHEMBL3397720,6.05,pIC50
CCOC(=O)c1c(CSc2c(Cl)cccc2Cl)n(C)c3ccc(O)cc13,CHEMBL3260681,6.05,pIC50
CCOC(=O)c1c(CSc2ccc(OC(F)(F)F)cc2)n(C)c3ccc(O)cc13,CHEMBL3260687,6.05,pIC50
COC(=O)CC[C@@H](NC(=O)C(=O)c1cn(c2ccccc12)S(=O)(=O)c3ccc(C)cc3)C(=O)OC,CHEMBL3113615,6.05,pIC50
COc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)NCc3occc3,CHEMBL376759,6.05,pIC50
COc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OC)c4ccccc34)\S2,CHEMBL2029353,6.05,pIC50
Cc1c(CC(=O)O)c2cc(ccc2n1Cc3ccc(Cl)cc3)C#Cc4ccccc4,CHEMBL2172770,6.05,pIC50
Cc1ccc(cc1)c2csc(Nc3ccc(O)cc3)n2,CHEMBL1081479,6.05,pIC50
Cc1ccc(cc1)c2nc3cc(C)ccn3c2NC4CCCC4,CHEMBL1955887,6.05,pIC50
Clc1ccc(cc1)c2csc(Nc3cc(Cl)cc(Cl)c3)n2,CHEMBL3318376,6.05,pIC50
Nc1cc(ccc1Cn2cc(nn2)c3ccc(cc3)c4ccccc4COc5cc(ccc5Cl)C(F)(F)F)C(=O)O,CHEMBL2042365,6.05,pIC50
Oc1ccc(Nc2nc(cs2)c3ccc(Cl)c(Cl)c3)cc1,CHEMBL1081482,6.05,pIC50
Oc1ccc(cc1)c2ccc(cc2)c3cn(CSc4ccccc4)nn3,CHEMBL1688764,6.05,pIC50
Oc1ccc(cc1)c2nc3ccc(Br)cn3c2NC4CCCCC4,CHEMBL1957966,6.05,pIC50
Oc1ccccc1Nc2nc(cs2)c3ccc(Cl)cc3,CHEMBL3318371,6.05,pIC50
CCCC1Oc2ccc(Oc3ccccc3)cc2C=C1CN(O)C(=O)N,CHEMBL118430,6.06,pIC50
CCCCCCCCCCCCCCC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)c(O)c3,CHEMBL420917,6.06,pIC50
CCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,CHEMBL3416174,6.07,pIC50
CCCCCCCCCCCCCCCC1=C(OC)C(=O)C=C(OC)C1=O,CHEMBL3416350,6.07,pIC50
CCOc1cc(\C=N/Nc2nc3ccccc3s2)cc(c1O)[N+](=O)[O-],CHEMBL2163384,6.07,pIC50
COC(=O)COc1ccc(cc1)C2=NC(=O)\C(=C\c3ccc(OC)cc3)\S2,CHEMBL1765902,6.07,pIC50
COc1ccc(Sc2cccc(CN(C)c3cc(nc4cc(Cl)cc(Cl)c34)C(=O)O)c2)cc1,CHEMBL1774309,6.07,pIC50
CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c3c4ccccc4c(O)cc13,CHEMBL490461,6.08,pIC50
CN(O)C(=O)C1=Cc2ccccc2OC1,CHEMBL324959,6.08,pIC50
COc1cc(ccc1OCCCNC(=O)Nc2ccc(Cl)cc2)c3nc4ccc(C)cn4c3NC5CCCCC5,CHEMBL2336303,6.08,pIC50
CCCCCCCCC1=C(OC)C(=CC(=O)C1=O)OC,CHEMBL3416356,6.09,pIC50
CCOC(=O)c1c(CSc2ccccc2Cl)[nH]c3c4ccccc4c(O)cc13,CHEMBL3759086,6.09,pIC50
CN(C)C(=O)C1(CCOCC1)c2cc(F)cc(OCc3ccc(cc3)n4ccnc4C)c2,CHEMBL348981,6.09,pIC50
Cl.Cc1cc(OCCN2CCN(CC2)C(c3ccccc3)c4ccccc4)c(C)c(C)c1O,CHEMBL542889,6.09,pIC50
OC1CC(O)(CCO1)c2cccc(COc3ccc4c(c5COC(=O)c5cc4c3)c6ccccc6)c2,CHEMBL420145,6.09,pIC50
CCC(O)(c1cccc(OC\C=C\c2ccccc2)c1)c3nccs3,CHEMBL70054,6.1,pIC50
CCCCC(Sc1cc(OCCc2ccccc2)cc(OCCc3ccccc3)c1)C(=O)O,CHEMBL1819392,6.1,pIC50
CCCCC(Sc1ccc(OCCCOc2ccc3ncccc3c2)cc1)C(=O)OCC,CHEMBL1780187,6.1,pIC50
CCCCC(Sc1nc(OCCC2CCCCC2)cc(OCCC3CCCCC3)n1)C(=O)O,CHEMBL1171834,6.1,pIC50
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(Cl)cc3Cl)n1)C(=O)O,CHEMBL3094421,6.1,pIC50
CCCCCCC(Sc1nc(Cl)cc(Nc2nc(cs2)c3ccc(OC)cc3)n1)C(=O)O,CHEMBL3094423,6.1,pIC50
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,CHEMBL221137,6.1,pIC50
CCCCCC[C@@H](Sc1nc(Cl)cc(Nc2ccc(cc2)c3ccc(cc3)C#N)n1)C(=O)O,CHEMBL457204,6.1,pIC50
CCCC\C(=C/c1cc(OCCC2CCCCC2)ccc1OCCC3CCCCC3)\C(=O)O,CHEMBL1819398,6.1,pIC50
CCCC\C(=C/c1cccc(OCCc2ccccc2)c1OCCc3ccccc3)\C(=O)O,CHEMBL2170363,6.1,pIC50
CCCOc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)Nc3ncc(C)s3,CHEMBL389181,6.1,pIC50
CCOC(=O)c1c(CSc2c(C)cccc2C)n(C)c3ccc(O)cc13,CHEMBL3260680,6.1,pIC50
CCOC(=O)c1c(CSc2ccccc2C(F)(F)F)n(C)c3ccc(O)cc13,CHEMBL3260686,6.1,pIC50
COc1cc(C)c2CCC(Cc2c1C)C(C)C(=O)Nc3ccccn3,CHEMBL227244,6.1,pIC50
COc1cc(OC)c2C(=O)C(=C(Oc2c1OC)c3ccc(O)c(O)c3)C,CHEMBL68832,6.1,pIC50
COc1cc(\C=C\C(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O,CHEMBL128729,6.1,pIC50
COc1cc(\C=C\c2cc(\C=C\c3cc(CC=C(C)C)c(O)c(OC)c3)[nH]n2)cc(CC=C(C)C)c1O,CHEMBL3290441,6.1,pIC50
COc1cccc(\C=C\2/SC(=NC2=O)c3ccc(C)cc3)c1O,CHEMBL1765892,6.1,pIC50
C[C@H](C(=O)O)c1ccc2ccc(OCc3ccc4ccccc4n3)cc2c1.NC(CO)(CO)CO,CHEMBL314449,6.1,pIC50
Cc1ccc(cc1)c2nc(O)c(C=C3CCCCC3)s2,CHEMBL3353720,6.1,pIC50
O=C1N=C(S/C/1=C\c2ccc3[nH]ccc3c2)c4ccc5ccccc5c4,CHEMBL2029859,6.1,pIC50
OC(=O)C(Sc1nc(Cl)cc(Nc2ccc(Cl)cc2)n1)c3cccc4ccccc34,CHEMBL1090493,6.1,pIC50
OC(=O)C(Sc1nc(OCCc2ccccc2)cc(OCCc3ccccc3)n1)c4ccccc4,CHEMBL1171851,6.1,pIC50
OC(=O)c1ccc(cc1)N2C(=O)\C(=C/c3oc(cc3)c4ccc(Br)cc4)\C=C2c5ccccc5,CHEMBL565883,6.1,pIC50
OC(=O)c1ccc(cc1)S(=O)(=O)n2cc(nn2)c3ccc(cc3)c4ccccc4COc5cccc6ccccc56,CHEMBL1688772,6.1,pIC50
OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3,quercetin,6.1,pIC50
OC1=CC(=O)C(=CC1=O)c2cccc3c2oc4ccccc34,CHEMBL3109717,6.1,pIC50
OCC(Cn1cc(COC(=O)\C=C\c2ccc(O)c(O)c2)nn1)(Cn3cc(COC(=O)\C=C\c4ccc(O)c(O)c4)nn3)Cn5cc(COC(=O)\C=C\c6ccc(O)c(O)c6)nn5,CHEMBL455788,6.1,pIC50
