SMILES,ChEMBL,target,metric
CCOc1ccc(cc1NC(=O)c2cc(COC3CCCCO3)cc(c2)C(=O)O)C(=O)C,CHEMBL3770322,6.0,pIC50
CCOc1ccc(cc1NC(=O)c2cc(cc(c2)c3cocc3)C(=O)O)C(=O)C,CHEMBL3770598,6.0,pIC50
CCc1c2C(N(C3=CN(C)C(=O)C(=C3)C)C(=O)c2nn1C4CC4)c5ccc(Cl)cc5,CHEMBL3650917,6.02,pIC50
CN1C=C(C=C(Cl)C1=O)N2C(c3ccc(Cl)cc3)c4cn(nc4C2=O)C5CC5,CHEMBL3650889,6.02,pIC50
CN1C=C(C=C(C)C1=O)N2C(c3ccc(Cl)cc3)c4c(C)n(nc4C2=O)c5cccnc5C,CHEMBL3650929,6.04,pIC50
C[C@@H](NC(=O)c1cccc2NC(=O)C[C@@H](C)Nc12)c3ccccc3,CHEMBL3813713,6.05,pIC50
CCOc1ccc(cc1NC(=O)c2cc(COC)cc(c2)C(=O)O)C(=O)C,CHEMBL3771341,6.1,pKd
COc1ccc(cc1)S(=O)(=O)Nc2cc(ccc2N3CCN(C)CC3)c4nn5c(C)nnc5c6ccccc46,CHEMBL3110353,6.1,pIC50
CCOc1ccc(cc1NC(=O)c2cccc(c2)C(=O)O)C(=O)C,CHEMBL3770150,6.11,pKd
Cc1onc(C)c1c2cc(O)cc(c2)[C@@H](O)c3ccccc3,CHEMBL2335154,6.11,pIC50
CN1C=C(C=C(Cl)C1=O)N2C(c3ccc(Cl)cc3)c4c(nn(C5CC5)c4C(F)(F)F)C2=O,CHEMBL3650891,6.13,pIC50
COc1cc2c(cc1c3c(C)onc3C)[nH]c4ccnc(c5c(C)[nH]nc5C6CC6)c24,CHEMBL3581661,6.17,pKd
C[C@@H]1CC(=O)Nc2cccc(C(=O)NC3CCOc4ccccc34)c2N1,CHEMBL3814881,6.17,pIC50
CN1C=C(C=C(C)C1=O)N2C(c3ccc(Cl)cc3)c4c(nn(C5CC5)c4C(F)(F)F)C2=O,CHEMBL3650894,6.18,pIC50
CN1C=C(C=C(C)C1=O)N2C(c3ccc(Cl)cc3)c4c(C)nn(C5CCC5)c4C2=O,CHEMBL3650940,6.19,pIC50
CCn1nc(C)c2C(N(C3=CN(C)C(=O)C(=C3)C)C(=O)c12)c4ccc(Cl)cc4F,CHEMBL3654293,6.2,pIC50
Cc1nnc2c3ccccc3c(nn12)c4ccc(N5CCOCC5)c(NS(=O)(=O)C)c4,CHEMBL3108800,6.2,pIC50
Cc1nnc2c3ccccc3c(nn12)c4ccc(N5CCOCC5)c(NS(=O)(=O)c6ccc(Cl)cc6)c4,CHEMBL3108803,6.2,pIC50
CC[C@@H](NC(=O)c1cccc2NC(=O)C[C@@H](C)Nc12)c3ocnc3,CHEMBL3813915,6.21,pIC50
COc1ncc(c(OC)n1)n2nc3C(=O)N(C(c4ccc(Cl)cc4)c3c2C)C5=CN(C)C(=O)C(=C5)Cl,CHEMBL3650905,6.22,pIC50
C[C@@H]1CC(=O)Nc2cccc(C(=O)NCc3ccccc3)c2N1,CHEMBL3814891,6.28,pIC50
CCOc1ccc(cc1NC(=O)c2cccc(c2)C(=O)OC)C(=O)C,CHEMBL3769500,6.31,pKd
CC(C)n1cc2C(N(C3=CN(C)C(=O)C(=C3)Cl)C(=O)c2n1)c4ccc(Cl)cc4,CHEMBL3650893,6.35,pIC50
Cc1cc(C)c2C(=O)N(CC(=O)Nc3ccc(Cl)cc3)Sc2n1,CHEMBL1370704,6.36,pIC50
CC(C)n1nc2C(=O)N(C(c3ccc(Cl)cc3)c2c1C)C4=CN(C)C(=O)C(=C4)Cl,CHEMBL3650914,6.38,pIC50
CC(C)n1nc2C(=O)N(C(c3ccc(Cl)cc3)c2c1C)C4=CN(C)C(=O)C(=C4)C,CHEMBL3650913,6.4,pIC50
COc1ccc2CCCN(CCCNC(=O)c3cccc4NC(=O)[C@@H](C)Nc34)c2c1,CHEMBL3752296,6.41,pKd
CC(C)n1cc2C(N(C3=CN(C)C(=O)C(=C3)C)C(=O)c2n1)c4ccc(Cl)cc4,CHEMBL3650892,6.42,pIC50
C[C@@H]1CC(=O)Nc2cccc(c2N1)c3ccc4c(c3)c(nn4C)c5cnn(C)c5,CHEMBL3814752,6.52,pEC50
C[C@@H]1CC(=O)Nc2cccc(c2N1)c3ccc4c(c3)c(nn4C)C#N,CHEMBL3814602,6.6,pIC50
C[C@@H]1CC(=O)Nc2cccc(c2N1)c3ccc4c(cnn4C)c3,CHEMBL3814197,6.62,pIC50
Cc1nnc2c3ccccc3c(nn12)c4ccc(N5CCOCC5)c(NS(=O)(=O)c6ccccc6Cl)c4,CHEMBL3108801,6.7,pIC50
CCC(=O)N1CCOc2c(C1)cc(cc2OC[C@H]3CCCN(C)C3)c4ccc(OC)c(OC)c4,CHEMBL3774655,6.77,pIC50
CC(c1ccccc1)n2cc(cn2)c3cccc4NC(=O)C[C@@H](C)Nc34,CHEMBL3815023,6.8,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,6.89,pKd
COc1ccc(cc1OC)c2cccc3NC(=O)C[C@@H](C)Nc23,CHEMBL3814246,6.89,pIC50
C[C@@H]1CC(=O)Nc2cccc(c2N1)c3cccc(OCc4ccccc4)c3,CHEMBL3813846,6.96,pIC50
C[C@@H]1CC(=O)Nc2cccc(c2N1)c3ccc4c(c3)c(nn4C)C(=O)N,CHEMBL3813929,7.11,pIC50
COc1ccc(CCc2nc3cc(ccc3n2C[C@H](C)N4CCOCC4)c5c(C)onc5C)cc1Cl,CHEMBL3622373,7.16,pIC50
C[C@@H]1CC(=O)Nc2cccc(C(=O)Nc3cccc(c3)c4ocnc4)c2N1,CHEMBL3814896,7.41,pIC50
C[C@@H]1CC(=O)Nc2cccc(c2N1)c3ccc4c(c3)c(nn4C)C5CC5,CHEMBL3814550,7.48,pIC50
COc1ccc(CCc2nc3cc(ccc3n2CCN4CCOCC4)c5c(C)onc5C)cc1F,CHEMBL3753048,7.66,pKd
COc1ccc(CCc2cc3cc(ccc3n2CCN4CCOCC4)c5c(C)onc5C)cc1F,CHEMBL3752200,7.68,pKd
C[C@@H](Cn1c(CCc2ccccc2)nc3cc(ccc13)c4c(C)onc4C)N5CCOCC5,CHEMBL3775371,7.68,pKd
