SMILES,ChEMBL,target,metric
CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1,raltegravir,8.3,pKi
CC(C)[C@@H](NC(=O)c1cccc(C)c1C)C(=O)N2CCC(CC2)c3ccc(Cl)cc3,CHEMBL2180511,7.0,pIC50
Cc1cc(ccc1Cl)N2CCN(CC2)C(=O)Cn3nc(c(Cl)c3C)C(F)(F)F,CHEMBL2322874,7.0,pIC50
OC1(CCN(CCCCCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccc(Cl)cc4,CHEMBL142620,7.0,pKi
CNC1=C(Nc2cc(Cl)ccc2OCC(=O)N3CCN(Cc4ccc(F)c(F)c4)C[C@H]3C)C(=O)C1=O,CHEMBL232043,7.01,pIC50
COc1cc(ccc1Cl)N2CCN(CC2)C(=O)Cn3nc(CO)c(Cl)c3C,CHEMBL2322849,7.01,pIC50
Cc1c(Cl)c(nn1CC(=O)N2CCN(CC2)c3ccc(Cl)cc3)C(F)(F)F,CHEMBL2322890,7.01,pIC50
OC1(CCN(CCCC(C#N)c2ccccc2C#N)CC1)c3ccc(Cl)cc3,CHEMBL344989,7.01,pKi
CC(C)[C@@H](NC(=O)CCCc1ccccc1)C(=O)N2CCC(CC2)c3ccc(Cl)cc3,CHEMBL2180516,7.02,pIC50
CCC(CCCN1CCC(O)(CC1)c2ccc(Cl)cc2)(C#N)c3ccccc3,CHEMBL343028,7.03,pKi
Cc1c(Cl)c(nn1CC(=O)N2CCN(CC2)c3ccc(F)cc3)C(F)(F)F,CHEMBL2322888,7.03,pIC50
COc1cc(ccc1Cl)N2CCN(C[C@H]2C)C(=O)Cn3nc(c(Cl)c3C)C(F)(F)F,CHEMBL2322855,7.04,pIC50
OC1(CCN(CCCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccc(cc4)C#N,CHEMBL143499,7.04,pKi
CC(=O)N[C@H]1CCN(C1)C(=O)c2ccc(O)cc2OC[C@@H](O)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,CHEMBL2391807,7.05,pIC50
CNC1=C(Nc2cc(C)ccc2OCC(=O)N3CCN(Cc4ccc(F)cc4)C[C@H]3C)C(=O)C1=O,CHEMBL430356,7.05,pIC50
Cc1cccc(Cl)c1S(=O)(=O)NCCCN2CCC(O)(CC2)c3ccc(Cl)cc3,CHEMBL429419,7.05,pIC50
OC1(CCN(CC1)C2CCN(CC2)S(=O)(=O)c3ccccc3Br)c4ccc(Cl)cc4,CHEMBL403728,7.05,pIC50
CC(C)CC(NC(=O)c1ccccc1C)C(=O)N2CCC(CC2)c3ccc(Cl)cc3,CHEMBL2180543,7.06,pIC50
CC[C@@H](NC(=O)CCc1ccccc1)C(=O)N2CCC(CC2)c3ccc(Cl)cc3,CHEMBL2180498,7.07,pIC50
CC(C)C(NC(=O)c1ccc2ccccc2c1)C(=O)N3CCC(CC3)c4ccc(Cl)cc4,CHEMBL2180513,7.1,pIC50
N[C@H](COc1cccc2OCC(=O)Nc12)CN3CCC4(CC3)Cc5cc(F)ccc5O4,CHEMBL3099958,7.1,pIC50
OC1(CCN(CCCNS(=O)(=O)c2c(Cl)cccc2Cl)CC1)c3ccc(Cl)cc3,CHEMBL255629,7.1,pIC50
CC(C)Oc1cc(ccc1Cl)N2CCN(CC2)C(=O)Cn3nc(c(Cl)c3C)C(F)(F)F,CHEMBL2322877,7.11,pIC50
CC(C)[C@@H](NC(=O)c1ccccc1)C(=O)N2CCC(CC2)c3ccc(Cl)cc3,CHEMBL2180528,7.11,pIC50
CNC1=C(Nc2cc(Cl)ccc2OCC(=O)N3CCN(Cc4ccc(Cl)cc4)C[C@H]3C)C(=O)C1=O,CHEMBL390706,7.11,pIC50
OC1(CCN(CCCCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccc(Cl)cc4,CHEMBL142199,7.11,pKi
CNC1=C(Nc2cc(Cl)ccc2\C=C\C(=O)N3CCN(Cc4ccc(F)cc4)C[C@H]3C)C(=O)C1=O,CHEMBL232655,7.12,pIC50
CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c2cnc3ccccc3n2)C(=O)N,CHEMBL1628706,7.13,pKi
CCNC(=O)C(CCC(C)(C)F)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2,CHEMBL69123,7.13,pIC50
COc1ccc(cc1Br)C(CCCN2CCC(O)(CC2)c3ccc(Cl)cc3)C#N,CHEMBL142468,7.13,pKi
CCNC1=C(Nc2cc(Cl)ccc2OCC(=O)N3CCN(Cc4ccc(F)cc4)C[C@H]3C)C(=O)C1=O,CHEMBL234073,7.14,pIC50
CC(=O)NCCNC(=O)c1ccc(O)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(Cl)ccc4O3,CHEMBL2391935,7.15,pIC50
CC(C)(C)NC(=O)NCC(CCCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,CHEMBL435812,7.15,pIC50
OC1(CCN(CCCC2(C#N)c3ccccc3C[S+]([O-])c4ccccc24)CC1)c5ccc(Cl)cc5,CHEMBL143173,7.15,pKi
CC(C)[C@@H](NC(=O)C1CCCC1)C(=O)N2CCC(CC2)c3ccc(Cl)cc3,CHEMBL2180501,7.16,pIC50
CC(C)[C@@H](NC(=O)CCc1ccc(F)cc1)C(=O)N2CCC(CC2)c3ccc(Cl)cc3,CHEMBL2180193,7.16,pIC50
Cc1nnc([C@H]2CCCN2C(=O)Nc3ccc(cc3)C(F)(F)F)n1Cc4ccc(Cl)cc4,CHEMBL1224189,7.16,pIC50
CC(=O)Nc1ccc(O)cc1OC[C@@H](N)CN2CCC3(CC2)Cc4ccccc4O3,CHEMBL2332942,7.17,pIC50
