SMILES,ChEMBL,target,metric
CC(C)[C@@]1(CC[C@H](C1)NCc2ccccc2)C(=O)NCc3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL2426342,6.36,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc(Br)ccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426340,6.54,pKi
CC(C)[C@@]1(CC[C@H](C1)NCCCc2ccccc2)C(=O)NCc3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL2426344,6.87,pKi
COc1ccc2C(CCc2c1OC)N[C@@H]3CC[C@](C3)(C(C)C)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426333,6.89,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCCCC2)C(=O)NCc3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL493780,6.96,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3c(O)cccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426347,7.07,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3c(cccc23)C#N)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426348,7.16,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccc(C)cc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426356,7.26,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccc(cc23)C#N)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426357,7.27,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3ccccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL494019,7.3,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3c(N)cccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426346,7.37,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCCc3c(O)cccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426337,7.46,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCCc3ccccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426345,7.48,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCSCC2)C(=O)NCc3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL521697,7.51,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc(O)ccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426352,7.54,pKi
COc1cccc2C(CCCc12)N[C@@H]3CC[C@](C3)(C(C)C)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426336,7.57,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc(Cl)ccc23)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426354,7.75,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCOCC2)C(=O)NCc3cc(cc(c3)C(F)(F)F)C(F)(F)F,CHEMBL495368,8.17,pKi
CC(C)[C@@]1(CC[C@H](C1)NC2CCc3cc4OCOc4cc23)C(=O)NCc5cc(cc(c5)C(F)(F)F)C(F)(F)F,CHEMBL2426335,8.2,pKi
COc1ccc2C(CCc2c1)N[C@@H]3CC[C@](C3)(C(C)C)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F,CHEMBL2426351,8.22,pKi
COc1cc2CCC(N[C@@H]3CC[C@](C3)(C(C)C)C(=O)NCc4cc(cc(c4)C(F)(F)F)C(F)(F)F)c2cc1OC,CHEMBL2426334,8.41,pKi
CCO[C@H]1CN(C[C@@H]1NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)C3CCC(O)(CC3)c4ccc5OCOc5c4,CHEMBL2426341,8.92,pKd
