SMILES,ChEMBL,target,metric
C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1,plerixafor,6.05,pKi
C\C\1=C(\C)/[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@@H]1Cc4ccc(O)cc4,CHEMBL2029611,7.0,pIC50
CN1[C@H](CCCNC(=O)C[C@H](NC(=O)CCCCCNC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)C(=O)NCCC[C@H]3N(C)C(=O)[C@@H](Cc4ccc(O)cc4)NC(=O)CNC(=O)[C@H](Cc5ccc6ccccc6c5)NC(=O)[C@H](CCCNC(=N)N)NC3=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc7ccc8ccccc8c7)C(=O)NCC(=O)N[C@H](Cc9ccc(O)cc9)C1=O,CHEMBL1949887,7.01,pIC50
Cc1cccc(CN(CCCCN)[C@H]2CCCc3cccnc23)n1,CHEMBL1682994,7.02,pIC50
N=C(NCCCNCCCCN(CCCNC(=N)Nc1ccc2ccccc2c1)C(=N)Nc3ccc4ccccc4c3)Nc5ccc6ccccc6c5,CHEMBL2347633,7.03,pIC50
Oc1cccc(CN(CCN2CCCCC2)CC3CCCN(C3)C4CCCC4)c1,CHEMBL3781301,7.04,pIC50
NCc1cscc1N(Cc2nc3ccccc3[nH]2)[C@H]4CCCc5cccnc45,CHEMBL1644081,7.05,pIC50
NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CSCC(=O)NCCCC[C@H](NC(=O)CCCNC(=O)CCCCCN=[N+]=[N-])C(=O)N3CCC[C@H]3C(=O)N4CCC[C@H]4C(=O)N5CCC[C@H]5C(=O)N6CCC[C@H]6C(=O)N7CCC[C@H]7C(=O)N8CCC[C@H]8C(=O)N9CCC[C@H]9C(=O)N%10CCC[C@H]%10C(=O)N%11CCC[C@H]%11C(=O)N%12CCC[C@H]%12C(=O)N%13CCC[C@H]%13C(=O)N%14CCC[C@H]%14C(=O)N%15CCC[C@H]%15C(=O)N%16CCC[C@H]%16C(=O)N%17CCC[C@H]%17C(=O)N%18CCC[C@H]%18C(=O)N%19CCC[C@H]%19C(=O)N%20CCC[C@H]%20C(=O)N[C@@H](CCCCNC(=O)CS[C@@H]%21NC(=O)[C@H](Cc%22ccc%23ccccc%23c%22)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc%24ccc(O)cc%24)NC%21=O)C(=O)N)NC(=O)[C@H](Cc%25ccc%26ccccc%26c%25)NC1=O,CHEMBL3628613,7.07,pIC50
C(S\C(=N/C1CCCCC1)\NC2C3CC4CC(CC2C4)C3)C5=CSC6=NCCN56,CHEMBL461359,7.09,pIC50
NCCCCN(C[C@H]1Cc2ccccc2CN1CC(=O)N3CCOCC3)[C@H]4CCCc5cccnc45,CHEMBL3091692,7.1,pIC50
