SMILES,ChEMBL,target,metric
Oc1c(Br)cc(nc1C(=O)NCC(=O)NC23CC4CC(CC(C4)C2)C3)N5CCCCS5(=O)=O,CHEMBL1910952,6.08,pKi
Cc1cc(C[C@@H](NC(=O)N2CCC(CC2)c3ccccc3)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3769822,6.34,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCC(CC2)c3cccc4ccccc34)C(=O)N5CCC(CC5)N6CCCCC6)cc7cn[nH]c17,CHEMBL3770433,6.37,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCN(CC2)c3cccc(Cl)c3Cl)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3769530,6.46,pIC50
Cc1ccc(cc1)C2CCN(CC2)C(=O)N[C@H](Cc3cc(C)c4[nH]ncc4c3)C(=O)N5CCC(CC5)N6CCCCC6,CHEMBL3769424,6.62,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCN(CC2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3770204,6.72,pIC50
O=C1Nc2ncccc2C13Cc4cc5ccc(CN6CCc7c(C6)[nH]c8ccccc78)nc5cc4C3,CHEMBL3656905,6.75,pKi
Cc1cc(C[C@@H](NC(=O)N2CCC(CC2)c3ccccc3F)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3769595,6.77,pIC50
Cc1ccccc1C2CCN(CC2)C(=O)N[C@H](Cc3cc(C)c4[nH]ncc4c3)C(=O)N5CCC(CC5)N6CCCCC6,CHEMBL3770696,6.77,pIC50
CN1CC2CN(Cc3ccc4cc5CC6(Cc5cc4n3)C(=O)Nc7ncccc67)CC2C1,CHEMBL3656897,6.82,pKi
Cc1cc(C[C@@H](NC(=O)N2CCC(CC2)c3cccc(Cl)c3)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3770331,6.82,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCN(CC2)c3ccc(F)cc3F)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3770666,6.85,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCC(CC2)c3cccc(Br)c3)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3769931,6.89,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCN(CC2)c3ccc(F)cc3)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3769598,6.89,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCN(CC2)c3ccccc3F)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3770044,6.89,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCN(CC2)c3ccccc3c4ccccc4)C(=O)N5CCC(CC5)N6CCCCC6)cc7cn[nH]c17,CHEMBL3771361,6.92,pIC50
Cc1cccc(C2CCN(CC2)C(=O)N[C@H](Cc3cc(C)c4[nH]ncc4c3)C(=O)N5CCC(CC5)N6CCCCC6)c1F,CHEMBL3770167,6.92,pIC50
COC(=O)c1ccccc1N2CCN(CC2)C(=O)N[C@H](Cc3cc(C)c4[nH]ncc4c3)C(=O)N5CCC(CC5)N6CCCCC6,CHEMBL3769447,6.96,pIC50
Cc1cc(C[C@@H](NC(=O)N2CCN(CC2)c3ccc(cc3)C#N)C(=O)N4CCC(CC4)N5CCCCC5)cc6cn[nH]c16,CHEMBL3771287,7.0,pIC50
