SMILES,ChEMBL,target,metric
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5c6ccncc6,CHEMBL3114481,7.0,pIC50
CN1C(=O)NC(=O)[C@]12Cc3ccc(NC(=O)CN4C(=O)Nc5cc(C)ccc45)cc3C2,CHEMBL471705,7.0,pKi
Fc1cccc([C@@H]2CC[C@@H](NC(=O)N3CCC(CC3)C4=CC=CNC4=O)C(=O)N(CC(F)(F)F)C2)c1F,CHEMBL583547,7.0,pKi
NCCCC[C@H](NC(=O)[C@@H](Cc1cc2ccccc2s1)NC(=O)N3CCC(CC3)N4C(=O)Nc5ccccc5C4=O)C(=O)N6CCN(CC6)c7ccncc7,CHEMBL3288290,7.0,pEC50
CN1CCN(CC1)c2ccccc2[C@H]3S[C@H](CC(=O)N4CCC(CC4)N5Cc6ccccc6NC5=O)C(=O)N3CCC(C)(C)C,CHEMBL3114485,7.01,pIC50
Cc1cc(CC(NC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)c5ncc[nH]5)cc6cn[nH]c16,CHEMBL2430183,7.01,pIC50
Clc1cc(N[C@@H](CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C(=O)N5CCC(CC5)N6CCCCC6)ncn1,CHEMBL2018492,7.01,pIC50
Clc1cccc(NC(=O)N[C@@H](CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C(=O)N5CCC(CC5)N6CCCCC6)c1Cl,CHEMBL2018488,7.01,pIC50
FC(F)(F)CN1C=C(C=C(NC(=O)N2CCC(CC2)N3C(=O)Nc4ncccc34)C1=O)c5ccccc5,CHEMBL255966,7.02,pKi
NCCCC[C@H](NC(=O)[C@@H](Cc1cc2ccccc2s1)NC(=O)N3CCC(CC3)N4Cc5ccccc5NC4=O)C(=O)N6CCN(CC6)c7ccncc7,CHEMBL3288289,7.02,pEC50
O=C(CN1C(=O)N(c2ccccn2)c3ccccc13)Nc4ccc5CC6(CC(=O)NC6=O)Cc5c4,CHEMBL464263,7.02,pKi
Oc1ccc(cc1)C2=CN(CC(F)(F)F)C(=O)C(=C2)NC(=O)N3CCC(CC3)N4C(=O)Nc5ncccc45,CHEMBL255136,7.02,pKi
Fc1cccc(c1)C2CC[C@@H](NC(=O)N3CCC(CC3)N4C(=O)Nc5ncccc45)C(=O)NC2,CHEMBL400020,7.03,pKi
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5c6cccnc6,CHEMBL3114480,7.06,pIC50
O=C(CC(Cc1ccc2[nH]ncc2c1)C(=O)N3CCC4(CC3)OCCO4)N5CCC(CC5)N6Cc7ccccc7NC6=O,CHEMBL2018515,7.06,pIC50
O=C(CC1SC(N(C2CCCCC2)C1=O)c3ccccc3)N4CCC(CC4)N5Cc6ccccc6NC5=O,CHEMBL3114463,7.06,pKi
O=C(CN1C(=O)N(c2ccccc2)c3ccccc13)Nc4ccc5CC6(Cc5c4)NC(=O)NC6=O,CHEMBL219721,7.06,pKi
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5n6ccnc6,CHEMBL3114478,7.07,pIC50
CN1CCN(CC1)c2cc(F)ccc2C3SC(CC(=O)N4CCC(CC4)N5CCc6ccccc6NC5=O)C(=O)N3CCC(C)(C)C,CHEMBL3114491,7.08,pIC50
O=C(N[C@@H]1CC[C@H](CNC1=O)c2ccccc2)N3CCC(CC3)N4C(=O)Nc5ncccc45,CHEMBL429803,7.08,pKi
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)N3CCC(CC3)N4CCCCC4)N5CCC(CC5)N6C(=O)Nc7ccccc67,CHEMBL2059801,7.08,pKi
Cc1nc(N[C@@H](CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C(=O)N5CCC(CC5)N6CCCCC6)nc(N)c1[N+](=O)[O-],CHEMBL2018496,7.1,pIC50
O=C(NC1=CC(=CN(CC2CC2)C1=O)c3ccccc3)N4CCC(CC4)N5C=C(NC5=O)c6ccccc6,CHEMBL256203,7.1,pKi
CN1C(=O)N(CC(=O)Nc2ccc3CC4(Cc3c2)NC(=O)NC4=O)c5ccccc15,CHEMBL385322,7.11,pKi
CN1C=C(C=C(NC(=O)N2CCC(CC2)N3C(=O)Nc4ncccc34)C1=O)c5ccsc5,CHEMBL257731,7.13,pKi
COCCN1C=C(C=C(NC(=O)N2CCC(CC2)N3C(=O)Nc4ncccc34)C1=O)c5ccc(O)cc5,CHEMBL270796,7.13,pKi
CN1CCN(CC1)c2ccc(F)cc2C3SC(CC(=O)N4CCC(CC4)N5CCc6ccccc6NC5=O)C(=O)N3CCC(C)(C)C,CHEMBL3114492,7.14,pIC50
Cc1nc(N[C@@H](CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C(=O)N5CCC(CC5)N6CCCCC6)nc7nn[nH]c17,CHEMBL2018497,7.14,pIC50
CN1C=C(C=C(NC(=O)N2CCC(CC2)N3C(=O)Nc4ncccc34)C1=O)C5C=CN=N5,CHEMBL257902,7.15,pKi
O=C(CC1SC(N(CC2CCCO2)C1=O)c3ccccc3)N4CCC(CC4)N5Cc6ccccc6NC5=O,CHEMBL3114464,7.17,pKi
O=C(NC(Cc1ccc2[nH]ncc2c1)C(=O)N3CCC(CC3)N4CCCCC4)N5CCC(CC5)N6C(=O)Nc7ccccc67,CHEMBL2059804,7.17,pKi
[O-][n+]1cccc2N(C3CCN(CC3)C(=O)N[C@@H]4CC[C@H](CN(CC(F)(F)F)C4=O)c5cccc(F)c5F)C(=O)Nc12,CHEMBL570860,7.18,pKi
CCCCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5,CHEMBL3114456,7.19,pKi
CN1CCN(CC1)c2cccc(F)c2C3SC(CC(=O)N4CCC(CC4)N5CCc6ccccc6NC5=O)C(=O)N3CCC(C)(C)C,CHEMBL3114493,7.19,pIC50
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5n6cccn6,CHEMBL3114479,7.21,pIC50
COc1ccc2N(CC(=O)Nc3ccc4C[C@]5(Cc4c3)N(C)C(=O)NC5=O)C(=O)Nc2c1,CHEMBL519242,7.21,pKi
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5N6CCNCC6,CHEMBL3114474,7.22,pIC50
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5c(F)cccc5F,CHEMBL3114473,7.23,pKi
Fc1ccc(cc1)C2N(Cc3cnc4cc5C[C@]6(Cc5cc4c3)C(=O)Nc7ncccc67)CCNC2=O,CHEMBL3645146,7.24,pKi
C[C@H](N(CC(=O)Nc1ccc2C[C@@]3(Cc2c1)N(C)C(=O)NC3=O)C(=O)C(C)(C)C)c4ccccc4,CHEMBL568880,7.25,pKi
Fc1ccc(CN2C(SC(CC(=O)N3CCC(CC3)N4Cc5ccccc5NC4=O)C2=O)c6ccccc6)cc1,CHEMBL3114467,7.25,pKi
CN1C(=O)NC(=O)[C@]12Cc3ccc(NC(=O)CN4C(=O)N(c5ccccn5)c6ccccc46)c(F)c3C2,CHEMBL1093189,7.26,pKi
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5F,CHEMBL3114470,7.27,pKi
Fc1ccccc1C2=CN(CC(F)(F)F)C(=O)C(=C2)NC(=O)N3CCC(CC3)N4C(=O)Nc5ncccc45,CHEMBL428247,7.27,pKi
CC(C)(C)CCN1C(SC(CC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C1=O)c5ccccc5N6CCOCC6,CHEMBL3114475,7.28,pKi
