SMILES,ChEMBL,target,metric
ClC1=CC2=C(OC(=O)N2)C=C1,chlorzoxazone,4.52287865,pEC50
Cc1ccc(O)c(NC(=O)c2ccccc2)c1,CHEMBL443975,5.03,pIC50
NC(=O)c1nn[nH]c1n2nnc3cc(ccc23)c4ccccc4,CHEMBL480414,5.06,pIC50
N#Cc1c([nH]c2cccnc12)N3CCCC3,CHEMBL64276,5.09,pEC50
Oc1ccc(cc1NC(=O)c2ccccc2O)[N+](=O)[O-],CHEMBL481781,5.09,pIC50
Oc1ccc(Cl)cc1Cn2cc(Cc3ccccc3)nn2,CHEMBL482378,5.11,pIC50
CCN(CC)c1[nH]c2cccnc2c1C#N,CHEMBL64640,5.16,pEC50
Oc1ccccc1C(=O)Nc2ccc(Cl)cc2[N+](=O)[O-],CHEMBL482377,5.16,pIC50
CN(C)CCN(C)c1[nH]c2cccnc2c1C#N,CHEMBL303736,5.17,pEC50
N#Cc1c([nH]c2cccnc12)n3ccnc3,CHEMBL294334,5.23,pEC50
Oc1ccc(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)C(F)(F)F,CHEMBL384903,5.23,pIC50
Oc1ccccc1C(=O)Nc2ccc(cc2[N+](=O)[O-])c3ccccc3,CHEMBL482376,5.23,pIC50
Oc1ccc(NC(=O)c2cc(Cl)ccc2O)c(c1)[N+](=O)[O-],CHEMBL297914,5.28,pIC50
CN(C)c1[nH]c2cccnc2c1C#N,CHEMBL303056,5.29,pEC50
O[C@H]1CCCN(C1)c2[nH]c3cccnc3c2C#N,CHEMBL59388,5.3,pEC50
N#Cc1c([nH]c2cccnc12)N3CC4CCC(CC4)C3,CHEMBL303805,5.35,pEC50
Cc1ccc(NC(=O)c2cc(Cl)ccc2O)c(c1)[N+](=O)[O-],CHEMBL480795,5.39,pIC50
N#Cc1c([nH]c2cccnc12)N3CCOCC3,CHEMBL60343,5.41,pEC50
Oc1ccccc1C(=O)Nc2ccc(cc2[N+](=O)[O-])C(F)(F)F,CHEMBL519785,5.46,pIC50
N#Cc1c([nH]c2cccnc12)N3CCCCCC3,CHEMBL61989,5.48,pEC50
Oc1ccccc1C(=O)n2nnc3cc(ccc23)c4ccccc4,CHEMBL481578,5.48,pIC50
CCOc1ccccc1C(=O)Nc2cc(Cl)ccc2O,CHEMBL481577,5.51,pIC50
Oc1ccccc1C(=O)Nc2ccccc2[N+](=O)[O-],CHEMBL481576,5.51,pIC50
Oc1ccccc1C(=O)n2nnc3cc(F)ccc23,CHEMBL526140,5.52,pIC50
Oc1ccc(cc1n2nncc2c3ccccc3)[N+](=O)[O-],CHEMBL465456,5.58,pIC50
Cc1ccc(NC(=O)c2ccccc2O)c(c1)[N+](=O)[O-],CHEMBL499800,5.6,pIC50
Oc1ccccc1C(=O)n2nnc3cc(Cl)ccc23,CHEMBL465455,5.61,pIC50
Oc1ccccc1C(=O)n2nnc3cc(ccc23)C(F)(F)F,CHEMBL512408,5.67,pIC50
Oc1ccccc1C(=O)n2nnc3ccccc23,CHEMBL465454,5.81,pIC50
Oc1ccccc1C(=O)Nc2ccc(cc2O)[N+](=O)[O-],CHEMBL465109,5.84,pIC50
COc1cc(ccc1NC(=O)c2cc(Cl)ccc2O)[N+](=O)[O-],CHEMBL464249,6.16,pIC50
Oc1ccc(Cl)cc1n2cc(nn2)C(=O)c3ccccc3,CHEMBL465950,6.19,pIC50
COc1ccc(cc1NC(=O)c2ccccc2O)[N+](=O)[O-],CHEMBL453712,6.35,pIC50
Oc1ccc(Cl)cc1NC(=O)c2cc(Cl)ccc2O,CHEMBL455306,6.43,pIC50
COc1ccc(Cl)cc1[C@]2(F)C(=O)Nc3cc(ccc23)C(F)(F)F,CHEMBL266510,6.45,pEC50
CCOC(=O)c1nnn(c2ccc(Cl)cc2[N+](=O)[O-])c1c3ccc(cc3)[N+](=O)[O-],CHEMBL517012,6.55,pIC50
Cc1cccc(c1NC(=O)c2ccccc2O)[N+](=O)[O-],CHEMBL464057,6.6,pIC50
COc1cc(ccc1NC(=O)c2ccccc2O)[N+](=O)[O-],CHEMBL506373,6.72,pIC50
Oc1ccc(Cl)cc1n2cc(Cc3ccccc3)nn2,CHEMBL511200,6.75,pIC50
Cc1ccc2c(c1)nnn2C(=O)c3ccccc3O,CHEMBL504160,6.84,pIC50
Oc1ccc(Cl)cc1NC(=O)c2ccccc2O,CHEMBL524902,6.87,pIC50
COc1ccc(Cl)cc1C(=O)Nc2cc(C)ccc2O,CHEMBL448335,7.56,pIC50
Oc1ccccc1Cn2cc(Cc3ccccc3)nn2,CHEMBL465922,7.56,pIC50
COc1ccc(Cl)cc1C(=O)Nc2cc(Cl)ccc2O,CHEMBL445346,8.49,pIC50
