SMILES,ChEMBL,target,metric
CCNC(=O)C(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)c1cccnc1,CHEMBL130722,6.08,pKi
CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)C(=O)N,CHEMBL116746,6.12,pKi
CC(C)CC(NC(=O)C(c1ccccc1)c2ccccc2)C(=O)NC(Cc3ccccc3)C(=O)C(=O)NCC(O)c4ccccc4,CHEMBL339869,6.14,pKi
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(OCCCC[C@@H](CO)NC1=O)cc2)NC(=O)OCc3ccccc3,CHEMBL1921831,6.16,pIC50
CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)C(=O)NCC(O)c3ccc(OCc4ccccc4)c(OCc5ccccc5)c3,CHEMBL133806,6.17,pKi
CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc2ccc3ccccc3n2,CHEMBL133970,6.22,pKi
CCCCCCCCCCNC(=O)C(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,CHEMBL116036,6.22,pKi
CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCC(O)c2cccc(Oc3ccccc3)c2,CHEMBL341219,6.23,pKi
CCNC(=O)C(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)c1occc1,CHEMBL131257,6.24,pKi
CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)OC,CHEMBL117508,6.3,pKi
CCNC(=O)C(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)c1cnccn1,CHEMBL337462,6.32,pKi
CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCCc2ccccn2,CHEMBL132839,6.33,pKi
CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)OCc2ccccc2,CHEMBL115630,6.33,pKi
CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc2ccccc2)C(=O)C(=O)NCC(O)c3cccc(Oc4cccc(c4)C(F)(F)F)c3,CHEMBL413308,6.35,pKi
CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCC(O)c2ccc(cc2)N(C)C,CHEMBL130122,6.39,pKi
CCCCOC(=O)C(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,CHEMBL333388,6.4,pKi
CCOC(=O)C(=O)C(CC)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,CHEMBL117905,6.4,pKi
