SMILES,ChEMBL,target,metric
[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=CC(CCCCC)=CC(O)=C21,dronabinol,8.54,pKi
[H]C12CC(=O)CCC1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,nabilone,8.4,pKi
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4,rimonabant,9.72,pKi
CC(C)[C@H](N\C(=N/S(=O)(=O)c1ccc(Cl)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4)C(=O)N[C@@H](C)C(=O)N,CHEMBL2153771,7.0,pIC50
CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCC(=O)NCC2CC2)c1,CHEMBL484887,7.0,pKi
CCOC(=O)c1ccc(cc1)S(=O)(=O)\N=C(/NC)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4,CHEMBL2153648,7.0,pIC50
CN(C1CCCCC1)C(=O)c2nn(c3ccc(Cl)cc3Cl)c(c2C)c4ccc(Cl)cc4,CHEMBL15478,7.0,pKi
CN\C(=N/S(=O)(=O)c1ccc(OC)cc1)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4,CHEMBL158138,7.0,pIC50
COc1ccc(CCNC(=O)c2nn(c3ccc(F)cc3F)c(c2C)n4c(C)ccc4C)cc1Cl,CHEMBL576977,7.0,pKi
COc1ccc(cc1)S(=O)(=O)\N=C(/NCC(=O)N)\N2CC(C(=N2)c3ccc(Cl)cc3)c4ccccc4,CHEMBL2153759,7.0,pIC50
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(C#N)c4CCCCc34,CHEMBL481888,7.0,pKi
CSC(=S)N1CC2(CCCCC2)CS/C/1=N\c3cccc(c3)C(C)C,CHEMBL231719,7.0,pKi
C\C=C\C=C\C=C\CC\C=C\C=C\C(=O)NCC(C)C,CHEMBL3086844,7.0,pIC50
Cc1c(nn(c2ccc(Cl)c(Cl)c2)c1n3c(C)ccc3C)C(=O)NCc4ccc(Cl)cc4,CHEMBL577361,7.0,pKi
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(C#CC4CCCC4)s3)C(=O)NN5CC6CCCC6C5,CHEMBL493303,7.0,pEC50
