SMILES,ChEMBL,target,metric
NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O,dichlorphenamide,8.301,pIC50
CC(=O)Nc1nnc(s1)S(=O)(=O)N,acetazolamide,7.92,pKi
CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N,methazolamide,7.85,pKi
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,ethoxzolamide,7.85,pKd
COC1=C(OCC(O)COC(N)=O)C=CC=C1,methocarbamol,7.59999991,pKi
CC1=CC(=O)Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,CHEMBL1441570,6.0,pKi
CCCC(CCC)C(=O)Nc1ccc(cc1F)S(=O)(=O)N,CHEMBL108389,6.0,pKi
CCCc1cnc(SCC(=O)c2ccc(Cl)c(c2)S(=O)(=O)N)nc1,CHEMBL2011152,6.0,pKd
CCc1cc(cc(CC)[n+]1CCc2ccc(cc2)S(=O)(=O)N)c3ccccc3.[O-]Cl(=O)(=O)=O,CHEMBL171589,6.0,pKi
CN(CC(=O)NS(=O)(=O)c1ccc(CCO)cc1)C(=N)N,CHEMBL333954,6.0,pKi
CN1N=C(S/C/1=N/S(=O)(=O)c2ccc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)S(=O)(=O)N,CHEMBL141130,6.0,pKi
CN1N=C(S/C/1=N/S(=O)(=O)c2ccc(NS(=O)(=O)C(F)(F)F)cc2)S(=O)(=O)N,CHEMBL262561,6.0,pKi
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(cc3)C#N,CHEMBL1923677,6.0,pKi
CSc1nc(Cl)c(C=O)c(Nc2ccc(cc2)S(=O)(=O)N)n1,CHEMBL1233721,6.0,pKd
C[C@H](CCC(=O)OCc1ccc(cc1)S(=O)(=O)N)[C@H]2CC[C@H]3[C@@H]4CC[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]23C,CHEMBL3137781,6.0,pKi
Cc1cc(C)nc(SCC(=O)c2ccc(Cl)c(c2)S(=O)(=O)N)n1,CHEMBL2010997,6.0,pKd
Cc1cc(cc(C)[n+]1CCc2ccc(cc2)S(=O)(=O)N)c3ccccc3.[O-]Cl(=O)(=O)=O,CHEMBL352483,6.0,pKi
NS(=O)(=O)c1cc(ccc1Cl)C(=O)CSc2nc3ccccc3[nH]2,CHEMBL1271585,6.0,pKd
NS(=O)(=O)c1cc(ccc1Cl)C(=O)CSc2ncccn2,CHEMBL2011155,6.0,pKd
NS(=O)(=O)c1ccc(CCOC(=O)CNCCNCC(=O)O)cc1,CHEMBL286999,6.0,pKi
NS(=O)(=O)c1ccc(CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CHEMBL344056,6.0,pKi
NS(=O)(=O)c1ccc(CNC(=O)Nc2c(F)c(F)c(F)c(F)c2F)cc1,CHEMBL98120,6.0,pKi
NS(=O)(=O)c1ccc(CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CHEMBL141965,6.0,pKi
NS(=O)(=O)c1ccc(NC(=O)CN(CC(=O)O)CC(=O)O)c(F)c1,CHEMBL34371,6.0,pKi
NS(=O)(=O)c1ccc(NNS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,CHEMBL141562,6.0,pKi
NS(=O)(=O)c1ccc(N[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)cc1,CHEMBL2114130,6.0,pKi
NS(=O)(=O)c1ccc(N[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1,CHEMBL1090523,6.0,pKi
NS(=O)(=O)c1ccc(cc1)\N=C/c2ncc[nH]2,CHEMBL24121,6.0,pKi
NS(=O)(=O)c1ccc(cc1)c2ccc3ccccc3c2,CHEMBL3763914,6.0,pKi
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NS(=O)(=O)C(F)(F)F)cc2)s1,CHEMBL139668,6.0,pKi
CC(=O)O[C@@H]1O[C@H](COS(=O)(=O)N)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@@H]1OC(=O)C,CHEMBL1688310,6.01,pKi
CC(C)OC(=O)c1cc(O)ccc1O,CHEMBL2333585,6.01,pKi
CCCC(CCC)C(=O)Nc1c(Cl)c(Cl)c(cc1S(=O)(=O)N)S(=O)(=O)N,CHEMBL324906,6.01,pKi
C[C@H](CCC(=O)Nc1ccc(cc1Cl)S(=O)(=O)N)[C@H]2CC[C@H]3[C@@H]4[C@H](O)C[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@]23C,CHEMBL3138165,6.01,pKi
Cc1cc(c(SCc2ccc(cc2)C(F)(F)F)cc1Cl)S(=O)(=O)NC(=N)Nc3nnc(s3)S(=O)(=O)N,CHEMBL3104060,6.01,pKi
NC(=N)NCCCC(=O)NCc1ccc(cc1)S(=O)(=O)N,CHEMBL3314173,6.01,pKi
NS(=O)(=O)c1ccc(CNC(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,CHEMBL344941,6.01,pKi
NS(=O)(=O)c1ccc(CNC(=O)c2c(F)c(F)cc(F)c2F)cc1,CHEMBL308631,6.01,pKi
NS(=O)(=O)c1ccc(NC(=O)CNCC(=O)O)c(Cl)c1,CHEMBL33967,6.01,pKi
NS(=O)(=O)c1ccc(NC(=O)c2c(F)c(F)cc(F)c2F)cc1,CHEMBL76563,6.01,pKi
NS(=O)(=O)c1ccc(\N=C(/S)\N=C/2\C=CC(=C3c4ccc(O)cc4Oc5cc(O)ccc35)C(=C2)C(=O)O)c(F)c1,CHEMBL187974,6.01,pKi
OP(=O)(O)C(=O)NCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1,CHEMBL2170077,6.01,pIC50
CCCC(CCC)C(=O)Nc1ccc(cc1Cl)S(=O)(=O)N,CHEMBL107989,6.02,pKi
CCN(C)C(=S)SNCc1ccc(cc1)S(=O)(=O)N,CHEMBL266387,6.02,pKi
CN(CC(=O)NCc1ccc(cc1)S(=O)(=O)N)C(=N)N,CHEMBL122730,6.02,pKi
CNCC(=O)NCc1ccc(cc1)S(=O)(=O)N,CHEMBL123652,6.02,pKi
COc1ccc2C(N(CCc2c1)S(=O)(=O)N)c3ccc(C)cc3,CHEMBL1923679,6.02,pKi
C[C@H](CCC(=O)Nc1ccc(cc1Cl)S(=O)(=O)N)[C@H]2CC[C@H]3[C@@H]4[C@H](O)C[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]23C,CHEMBL3138167,6.02,pKi
Cc1ccc(cc1)C(F)(F)S(=O)(=O)N,CHEMBL199464,6.02,pKi
