SMILES,ChEMBL,target,metric
ON(CC(Cc1ccccc1)C(=O)O)C=O,CHEMBL161705,6.01,pKi
OC(=O)C(Cc1ccccc1)C[N+](=O)[O-],CHEMBL261331,6.1,pKi
ON(C[C@@H](Cc1ccccc1)C(=O)O)C=O,CHEMBL161819,6.25,pKi
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CHEMBL400526,6.28,pKi
OC(=O)C[C@@H](Cc1ccccc1)C(=O)O,CHEMBL259621,6.35,pKi
OC(=O)C(CC(=O)C[N+](=O)[O-])Cc1ccccc1,CHEMBL571291,6.37,pKi
OC(=O)CC(Cc1ccccc1)C(=O)O,CHEMBL151284,6.4,pIC50
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,CHEMBL253224,6.46,pKi
ON(CC(Cc1ccccc1)C(=O)O)C(=O)Cc2ccccc2,CHEMBL161702,6.5,pKi
OC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)[C@H](S)Cc3ccccc3,CHEMBL163454,6.51,pKi
OC(=O)C(CC(=O)C(F)(F)F)Cc1ccccc1,CHEMBL565957,6.7,pKi
OC(=O)[C@@H](CC(=O)C[N+](=O)[O-])Cc1ccccc1,CHEMBL571509,6.8,pKi
OC(=O)[C@H](Cc1ccccc1)C[N+](=O)[O-],CHEMBL407567,6.82,pKi
