SMILES,ChEMBL,target,metric
COc1cccc2CN(CCc12)C(=O)[C@H]3CCCCN3C(=O)COc4ccccc4,CHEMBL3431731,6.01,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CCc3ccc(cc23)C(=O)Nc4ccc(C(=O)O)c(Cl)c4,CHEMBL3431549,6.02,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2COc3c(OC)cc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431894,6.11,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CCc3ccc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL2216779,6.13,pIC50
O=C(COc1ccccc1)N2CCCC[C@@H]2C(=O)N3Cc4ccc(OCC5CC5)cc4C3,CHEMBL3431738,6.15,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CC(C)c3ccc(cc23)C(=O)Nc4ccc(C(=O)O)c(Cl)c4,CHEMBL3431899,6.16,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2C[C@H](C)c3ccc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431498,6.16,pIC50
O=C(COc1ccccc1)N2CCCC[C@@H]2c3nc(cs3)c4ccc5NC(=O)Cc5c4,CHEMBL3431850,6.16,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CC(C)c3ccc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431900,6.17,pIC50
O=C(COc1ccccc1)N2CCCC[C@@H]2C(=O)N3Cc4ccc(cc4C3)C5CCOCC5,CHEMBL3431737,6.19,pIC50
Clc1cccc2CN(CCc12)C(=O)[C@H]3CCCCN3C(=O)COc4ccccc4,CHEMBL3431730,6.2,pIC50
Clc1ccc2CN(Cc2c1)C(=O)[C@H]3CCCCN3C(=O)COc4ccccc4,CHEMBL3431462,6.21,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CC(C)c3ccc(cc23)C(=O)Nc4ccc(C(=O)O)c(F)c4,CHEMBL3431898,6.23,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CCc3c(C)cc(cc23)C(=O)Nc4ccc(C(=O)O)c(Cl)c4,CHEMBL3431606,6.23,pIC50
Cc1ccnc(c1)N2CCN(CC2)C(=O)[C@H]3CCCCN3C(=O)COc4ccccc4,CHEMBL3431778,6.23,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CCOc3c(Cl)cc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431914,6.24,pIC50
COc1ccc(Cl)cc1S(=O)(=O)c2cn(C)c3ccc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431909,6.24,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CCOc3c(C)cc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431915,6.26,pIC50
Clc1cccc(c1)N2CCN(CC2)C(=O)[C@H]3CCCCN3C(=O)COc4ccccc4,CHEMBL3431777,6.26,pIC50
O=C(COc1ccccc1)N2CCCC[C@@H]2C(=O)N3Cc4ccc(O[C@H]5CCOC5)cc4C3,CHEMBL3431803,6.26,pIC50
CCn1cc(c2cc(ccc12)C(=O)Nc3ccc(cc3)C(=O)O)S(=O)(=O)c4cc(Cl)ccc4OC,CHEMBL3431478,6.27,pIC50
Fc1cc2CN(Cc2cc1N3CCOCC3)C(=O)[C@H]4CCCCN4C(=O)COc5ccccc5,CHEMBL3431800,6.27,pIC50
Fc1cc2CN(Cc2cc1OC3CCOCC3)C(=O)[C@H]4CCCCN4C(=O)COc5ccccc5,CHEMBL3431799,6.3,pIC50
O=C(COc1ccccc1)N2CCCC[C@@H]2C(=O)N3Cc4ccc(O[C@@H]5CCOC5)cc4C3,CHEMBL3431802,6.31,pIC50
CCOc1ccc2CN(Cc2c1)C(=O)[C@H]3CCCCN3C(=O)COc4ccccc4,CHEMBL3431736,6.33,pIC50
O=C(COc1ccccc1)N2CCCC[C@@H]2C(=O)N3Cc4ccc(cc4C3)C5CCOC5,CHEMBL3431739,6.33,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2C[C@@H](C)c3ccc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431499,6.34,pIC50
Clc1cc2CN(Cc2cc1N3CCOCC3)C(=O)[C@H]4CCCCN4C(=O)COc5ccccc5,CHEMBL3431735,6.41,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CCc3c(C)cc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431605,6.49,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2COc3c(C)cc(cc23)C(=O)Nc4ccc(cc4)C(=O)O,CHEMBL3431916,6.51,pIC50
COc1ccc(Cl)cc1S(=O)(=O)N2CCc3c(C)cc(cc23)C(=O)Nc4ccc(C(=O)O)c(F)c4,CHEMBL3431602,6.54,pIC50
O=C(COc1ccccc1)N2CCCC[C@@H]2C(=O)N3Cc4ccc(OC5CCOCC5)cc4C3,CHEMBL3431801,6.71,pIC50
CCCCCCCCCCCCCCC[C@@]1(O)C[N+](C)(C)C[C@@H](CC(=O)[O-])O1,CHEMBL48257,6.8,pKi
CCCCCCCCCCCCCCNC(=O)N[C@H](CC(=O)[O-])C[N+](C)(C)C,CHEMBL1231506,6.8,pIC50
CCCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)[O-])C[N+](C)(C)C,CHEMBL1231507,6.85,pIC50
