SMILES,ChEMBL,target,metric
COCCNC1CCN(CC1)c2cc(cc(Nc3nc(NC4CC4)c5ncc(C#N)n5n3)c2Cl)C#N,CHEMBL3699249,7.6,pIC50
Cn1c(SCC(=O)O)nc2c(Br)c(Br)c(Br)c(Br)c12,CHEMBL1928905,7.62,pKi
CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2n1CC(=O)O,CHEMBL1233807,7.68,pKi
FC(F)(F)CNC1CCN(CC1)c2cc(cc(Nc3nc(NC4CC4)c5ncc(C#N)n5n3)c2Cl)C#N,CHEMBL3699246,7.68,pIC50
Ic1c(I)c(I)c2[nH]cnc2c1I,CHEMBL595730,7.68,pKi
CN1C(C)(C)CC(CC1(C)C)Oc2cc(F)c(Nc3nc(NC4CC4)c5ncc(C#N)n5n3)cc2C#N,CHEMBL3699298,7.71,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccc(Cl)cc4)C(=O)O,CHEMBL3759193,7.72,pIC50
CC1(C)CC(CC(C)(C)N1)Oc2cc(F)c(Nc3nc(NC4CC4)c5ncc(C#N)n5n3)cc2C#N,CHEMBL3699299,7.8,pIC50
CC(C)NC1CCN(CC1)c2cc(cc(Nc3nc(NC4CC4)c5ncc(C#N)n5n3)c2Cl)C#N,CHEMBL3699243,7.81,pIC50
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC,CHEMBL475251,7.85,pKd
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccccc4Br)C(=O)O,CHEMBL3758777,7.85,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccccc4OC)C(=O)O,CHEMBL3758895,7.89,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3COc4ccccc4)C(=O)O,CHEMBL3760064,7.92,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccccc4)C(=O)O,CHEMBL3758270,7.92,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3)C(=O)O,CHEMBL2087023,7.96,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCCc4ccccc4)C(=O)O,CHEMBL3760009,7.96,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccccc4C#N)C(=O)O,CHEMBL3759349,7.96,pIC50
OC(=O)c1ccc2c(c1)nc(Nc3cccc(Cl)c3)c4ccncc24,CHEMBL1230165,7.96,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3Oc4ccccc4)C(=O)O,CHEMBL3758519,8.0,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cn3)C(=O)O,CHEMBL3759755,8.0,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccccc4Cl)C(=O)O,CHEMBL3759512,8.01,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccccn4)C(=O)O,CHEMBL3758606,8.02,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(nn3)C(=O)O,CHEMBL3758317,8.02,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(cc3OCc4ccccc4F)C(=O)O,CHEMBL3759871,8.06,pIC50
CC(C)(C)[Si](C)(C)O[C@@H]1CC(CC[C@H]1N)N2CCC(CC2)c3cc(cc(Nc4nc(NC5CC5)c6ncc(C#N)n6n4)c3Cl)C#N,CHEMBL3699263,8.09,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,8.19,pKd
COC1CN(C1)C2CN(C2)c3cc(cc(Nc4nc(NC5CC5)c6ncc(C#N)n6n4)c3Cl)C(F)F,CHEMBL3699270,8.23,pIC50
Clc1cnc(nc1Nc2nc(NC3CC3)c4ncc([N+]#[C-])n4n2)C#N,CHEMBL3699304,8.29,pIC50
CN1CC(CN2CCN(CC2)c3cc(cc(Nc4nc(NC5CC5)c6ncc(C#N)n6n4)c3Cl)C(F)F)C1,CHEMBL3699271,8.33,pIC50
CCNc1nc(Nc2cc(cc(N3CCN(CC3)C4COC4)c2Cl)C(F)F)nn5c(cnc15)[N+]#[C-],CHEMBL3699288,8.34,pIC50
COc1ccc(cc1)C(=O)Nc2ncc(s2)c3ccc(nc3)C(=O)O,CHEMBL3760043,8.34,pIC50
CCN1CCCC1CNC(=O)[C@@H]2CC[C@H](CC2)NC(=O)c3cc(c4ccnc(OC)c4)n5ncnc(N)c35,CHEMBL3681207,8.41,pIC50
COc1cc(ccn1)c2cc(C(=O)N[C@@H]3CC[C@H](CC3)NC(=O)C(C)(C)CN4CCCC4)c5c(N)ncnn25,CHEMBL3681208,8.43,pIC50
COc1cc(ccn1)c2cc(C(=O)N[C@@H]3CC[C@H](CC3)C(=O)O)c4c(N)ncnn24,CHEMBL3681205,8.44,pIC50
COc1cc(ccn1)c2cc(C(=O)N[C@@H]3CC[C@H](CC3)NC(=O)C4(CN)CC4)c5c(N)ncnn25,CHEMBL3681200,8.44,pIC50
COc1cc(ccn1)c2cc(C(=O)N[C@@H]3CC[C@H](CO)CC3)c4c(N)ncnn24,CHEMBL3681203,8.47,pIC50
FC(F)c1cc(Nc2nc(NC3CC3)c4ncc(C#N)n4n2)c(Cl)c(c1)N5CCN(CC5)C6(COC6)C#N,CHEMBL3699272,8.49,pIC50
COc1cc(ccn1)c2cc(C(=O)NC[C@@H]3CC[C@@H](O)CC3)c4c(N)ncnn24,CHEMBL3681204,8.5,pIC50
