SMILES,ChEMBL,target,metric
CC(C)[C@H](NC(=O)[C@H](Cc1ccccn1)NC(=O)[C@H](CC(=O)O)NC(=O)OCc2ccccc2)C(=O)N[C@@H](CC(=O)O)\C=C\S(=O)(=O)c3ccccc3,CHEMBL3678068,6.0,pIC50
Cc1cc(CNS(=O)(=O)c2ccc(O)c(c2)C(=O)O)sc1C(=O)N[C@@H](CC(=O)O)C(=O)CSCc3ccccc3Cl,CHEMBL148162,6.03,pKi
CCC(N1C=C(N=C(NCCc2cccs2)C1=O)C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)CCCc3ccccc3,CHEMBL392245,6.04,pIC50
CCCCN1C(=O)C(=O)c2cc(cc(I)c12)S(=O)(=O)N3CCC[C@H]3COC,CHEMBL3359186,6.04,pIC50
O=C(Nc1ccc(cc1)N2CCOCC2)N3Sc4ccccc4C3=O,CHEMBL3233630,6.04,pIC50
O=C1N(Cc2ccccc2)c3ccc(cc3C1=C(C#N)C#N)S(=O)(=O)N4CCCCC4,CHEMBL519148,6.06,pIC50
CC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)OCc1ccccc1)c2ccccc2)C(=O)N[C@@H](CC(=O)O)\C=C\S(=O)(=O)C,CHEMBL3673262,6.1,pIC50
CCC(N1C=C(N=C(NCc2cc(OC)cc(OC)c2)C1=O)C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)CCCc3ccccc3,CHEMBL246887,6.1,pIC50
CN1C(=O)C(=C(C#N)C#N)c2cc(ccc12)S(=O)(=O)N3CCC[C@H]3COc4ccccc4,CHEMBL390932,6.11,pIC50
CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)OCc2ccccc2)C(=O)N[C@@H](CC(=O)O)\C=C\S(=O)(=O)C,CHEMBL3678066,6.16,pIC50
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc2ccccc2)C(=O)N[C@H]3CC(=O)OC3O,CHEMBL101835,6.17,pIC50
CN1CCN(CC1)c2ccccc2NC(=O)N3Sc4ccccc4C3=O,CHEMBL3233631,6.2,pIC50
Clc1cccc(CC(=O)N2Sc3ccccc3C2=O)c1,CHEMBL3360039,6.22,pIC50
Fc1ccc(CC(=O)N2Sc3ccccc3C2=O)cc1,CHEMBL3360037,6.22,pIC50
CC(C)CC(NC(=O)[C@@H](CCC(=O)O)Oc1cccc2ccccc12)C(=O)N[C@H]3CC(=O)OC3O,CHEMBL100643,6.23,pIC50
Clc1ccc(CC(=O)N2Sc3ccccc3C2=O)cc1,CHEMBL3360040,6.23,pIC50
