SMILES,ChEMBL,target,metric
CCc1cn2CCS(=O)(=O)N(C)c3cc(cc1c23)C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC(C)(C)CCCC(C)C,CHEMBL541757,6.0,pIC50
CCc1cn2CCS(=O)(=O)N(C)c3cc(cc1c23)C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC5CCCCC5.OC=O,CHEMBL504197,6.0,pIC50
CCc1cn2CS(=O)(=O)N(C)c3cc(cc1c23)C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc5cccc(OC)c5,CHEMBL556747,6.0,pIC50
CN1C(=N[C@@]2(CC(C)(C)Cc3ccc(cc23)c4cccnc4F)C1=O)N,CHEMBL2349469,6.0,pIC50
COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O,CHEMBL567893,6.0,pIC50
COc1ccc(CN[C@H]([C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc3ccccc3)C(C)(C)C)C(=O)N[C@@H](C(C)C)C(=O)NCc4nc5ccccc5[nH]4)cc1,CHEMBL64958,6.0,pIC50
NC1=N[C@@]2(CO1)c3cc(ccc3Oc4cnc(cc24)c5cccnc5)c6cccnc6F,CHEMBL3394054,6.0,pIC50
CC#Cc1cncc(c1)c2ccc3OC(C)(C)CC4(N=C(N)N(C)C4=O)c3c2,CHEMBL2349506,6.01,pIC50
CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(CCC(F)(F)F)c3)[C@@H]2O)c1,CHEMBL2047911,6.01,pIC50
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CCc1ccccc1)NC(=O)[C@@H](NC(=O)c2ccccn2)C(C)C)C(=O)N,CHEMBL115660,6.01,pKi
CCNc1cc(cc(N2CCCCS2(=O)=O)c1C)C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc4cccc(c4)C(F)(F)F,CHEMBL508753,6.01,pIC50
CCNc1cc(cc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCCCCC(C)C)N3CCCC3=O,CHEMBL428587,6.01,pIC50
Cc1ccc(cc1C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc3cccc(c3)C(F)(F)F)N(c4ccccc4)S(=O)(=O)C,CHEMBL1210356,6.01,pIC50
CN1C(=N[C@@]2([C@H]3COCC[C@@H]3Oc4ccc(cc24)c5cccc(c5)C#N)C1=O)N,CHEMBL3127104,6.02,pIC50
CC(C)c1ccc2CS(=O)(=O)C[C@H](NC[C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(=O)C)c2c1,CHEMBL2408740,6.03,pIC50
CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](COCc2cc(F)cc(F)c2)[C@@H](O)CC(=O)N[C@@H](C(C)C)C(=O)Nc3cc(cc(c3)C(=O)O)C(=O)O,CHEMBL506251,6.03,pKi
CCNc1cc(cc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c3cccc(c3)C(F)(F)F)N4CCCC4=O,CHEMBL403207,6.03,pIC50
CN1C(=N[C@@]2([C@H]3COCC[C@@H]3Oc4cc(F)c(cc24)c5cccnc5F)C1=O)N,CHEMBL3127084,6.03,pIC50
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC2(CCc3nc(C)ncc3C2)c4cccc(c4)C(C)(C)C,CHEMBL1163020,6.04,pIC50
