SMILES,ChEMBL,target,metric
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,bortezomib,6.2,pKi
CC[C@@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CSCc3cc4CSC[C@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CO)NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@@H](NC(=O)[C@@H]6CCCN6C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CSCc(c3)c4)NC(=O)[C@H](Cc7ccccc7)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC1=O)[C@H](C)CC)C(=O)NCC(=O)N)NC(=O)[C@H](C)N,CHEMBL1240613,6.0,pIC50
CN(Cc1ccccc1)C(=O)c2cc3ccccc3cc2C(=O)C(c4cccc5ccccc45)P(=O)(O)O,CHEMBL351456,6.0,pIC50
OC(=O)c1cccc(c1)S(=O)(=O)N2C(=O)CN(C2=O)c3ccccc3,CHEMBL66504,6.0,pIC50
CN(CCCNC(=O)c1ccccc1)C(=O)c2cc3ccccc3cc2C(=O)C(c4cccc5ccccc45)P(=O)(O)O,CHEMBL167990,6.1,pIC50
O=C1CN(C(=O)N1S(=O)(=O)c2cccc(c2)C#N)c3ccccc3,CHEMBL431187,6.11,pIC50
CCN1C(=O)N(CC)C1=O,CHEMBL298276,6.13,pIC50
COC(=O)c1ccc2oc(nc2c1)C(=O)C(Cc3ccccc3)NC(=O)CN4C(=O)C(=CN=C4c5ccc(F)cc5)N,CHEMBL281124,6.14,pKi
Clc1ccc(cc1)S(=O)(=O)N2C(=O)CN(C2=O)c3ccccc3,CHEMBL69991,6.16,pIC50
COC(=O)c1cccc(c1)S(=O)(=O)N2C(=O)CN(C2=O)c3ccccc3,CHEMBL304838,6.19,pIC50
Brc1ccc(cc1)S(=O)(=O)N2C(=O)CN(C2=O)c3ccccc3,CHEMBL305066,6.22,pIC50
CCCC(=O)NC(CCc1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCc2ccccc2)NC(=O)CCC,CHEMBL436591,6.28,pIC50
CN(C1CCN(CC1)C(=O)c2ccccc2)C(=O)c3cc4ccccc4cc3C(=O)C(c5cccc6ccccc56)P(=O)(O)O,CHEMBL164694,6.28,pIC50
CN(CC(=O)NCC(c1ccccc1)c2ccccc2)C(=O)c3cc4ccccc4cc3C(=O)C(c5cccc6ccccc56)P(=O)(O)O,CHEMBL163736,6.3,pIC50
CN(CC(=O)NC1CCN(CC1)C(=O)c2ccc3ccccc3c2)C(=O)c4cc5ccccc5cc4C(=O)C(c6cccc7ccccc67)P(=O)(O)O,CHEMBL164005,6.42,pIC50
COC(=O)c1ccc2oc(nc2c1)C(=O)C(Cc3ccccc3)NC(=O)CN4C(=O)C(=CN=C4c5cccc(OC)c5)N,CHEMBL26285,6.42,pKi
COC(=O)c1ccc(cc1)S(=O)(=O)N2C(=O)CN(C2=O)c3ccccc3,CHEMBL69677,6.47,pIC50
O=C1CN(C(=O)N1S(=O)(=O)c2ccc(cc2)C#N)c3ccccc3,CHEMBL68946,6.48,pIC50
CCOc1ccccc1C(=O)N[C@@]2(OC)[C@H]3OCC(=C(N3C2=O)C(=O)OCc4ccc(cc4)C(=O)O)CSc5nnnn5C,CHEMBL295221,6.55,pIC50
CC(C)(C(CCc1ccccc1)NC(=O)c2ccccc2)C(=O)OC(=O)C(C)(C)C(CCc3ccccc3)NC(=O)c4ccccc4,CHEMBL134821,6.6,pIC50
COc1ccc(cc1)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C(C)C)C(=O)C(F)(F)F,CHEMBL55210,6.6,pKi
COc1ccccc1C(=O)N[C@@]2(OC)[C@H]3OCC(=C(N3C2=O)C(=O)OCc4cccc(C)c4)CSc5nncn5CC(=O)O,CHEMBL76522,6.64,pIC50
Clc1ccc(cc1Cl)S(=O)(=O)N2C(=O)CN(C2=O)c3ccccc3,CHEMBL304729,6.64,pIC50
Cc1ccc(cc1C)S(=O)(=O)N2C(=O)CN(C2=O)c3ccccc3,CHEMBL308215,6.66,pIC50
CC(C)C[C@@H]1NC(=O)[C@H](CSCc2cc3CSC[C@H](NC(=O)[C@H](Cc4ccccc4)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc5ccc(O)cc5)NC(=O)[C@H](NC(=O)[C@H](CSCc(c3)c2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC1=O)C(C)C)C(=O)NCC(=O)N)NC(=O)[C@H](C)N,CHEMBL2304338,6.7,pIC50
CCCCCCC(NC(=O)c1ccc(cc1)C#N)C(C)(C)C(=O)N[C@@H](Cc2ccccc2)C(=O)OCCC,CHEMBL320132,6.7,pIC50
COC(=O)CCC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)C(F)(F)F,CHEMBL130190,6.7,pKi
COC(=O)CCC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)OC,CHEMBL130006,6.7,pKi
