SMILES,ChEMBL,target,metric
CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,boceprevir,7.12,pIC50
COc1cc(O)c2C(=O)c3cccc(O)c3N(C)c2c1OC,CHEMBL451705,6.0,pKi
Cc1ccc(cc1)C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N,CHEMBL560785,6.0,pIC50
Cc1ccc2cc(C)cc(C(=O)N[C@@H](Cc3cccc(Cl)c3)C(=O)NCC#N)c2c1,CHEMBL549365,6.0,pIC50
OC(=O)c1cc2ccccc2cc1Nc3ccc(OCc4ccccc4)c(c3)[N+](=O)[O-],CHEMBL2042454,6.0,pIC50
CC(C)CO[C@H]1CCN2C[C@H]1OC2=O,CHEMBL230478,6.05,pIC50
Clc1cccc(Nc2nc(NC3CCCC3)nc(n2)C#N)c1,CHEMBL567785,6.08,pIC50
CCCCc1ccc(cc1)C2=CC(=O)c3ccccc3N2,CHEMBL2042446,6.1,pKi
Cc1cccc(c1)C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N,CHEMBL561927,6.1,pIC50
Clc1cccc(C[C@H](NC(=O)c2ccccc2)C(=O)NCC#N)c1,CHEMBL550246,6.1,pIC50
CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)NC3(CC3)C#N,CHEMBL481611,6.12,pIC50
F[C@H]1CN([C@H]2[C@@H]1OCC2=O)C(=O)[C@@H](NC(=O)c3ccccc3)C4CCCCC4,CHEMBL3648397,6.16,pKi
CC(C)c1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,CHEMBL562462,6.3,pIC50
CCc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,CHEMBL563886,6.3,pIC50
COc1c(O)c(CC=C(C)C)c(O)c2C(=O)c3c(CC=C(C)C)ccc(O)c3N(C)c12,CHEMBL1668597,6.3,pKi
Cc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)c(C)s1,CHEMBL561586,6.3,pIC50
CC[C@H](C)[C@H](N(C)C)C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1[C@@H](C)C(=CC1=O)OC,CHEMBL541700,6.34,pIC50
CCCC[C@H](NC(=O)O[C@H](Cn1cc(cn1)c2ccc(cc2)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc3ccn[nH]3,CHEMBL190053,6.37,pIC50
Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,CHEMBL565079,6.4,pIC50
Clc1cccc(C[C@H](NC(=O)C2=CCCCC2)C(=O)NCC#N)c1,CHEMBL561725,6.4,pIC50
[O-][N+](=O)c1ccc2Nc3ccc(OCc4ccccc4)cc3C(=O)c2c1,CHEMBL2042470,6.4,pKi
CCCC[C@H](NC(=O)OC1C2CC3CC(CC1C3)C2)C(=O)C(=O)N[C@H](C)c4ccccc4,CHEMBL197509,6.41,pIC50
CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc12)C(=O)C(=O)N[C@H](C)c3ccccc3,CHEMBL195963,6.47,pIC50
CCCC[C@H](NC(=O)O[C@H]1CCc2ccccc12)C(=O)C(=O)N[C@H](C)c3ccccc3,CHEMBL196240,6.54,pIC50
