SMILES,ChEMBL,target,metric
CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,boceprevir,6.92,pIC50
[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=CN=CC=N1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1,telaprevir,6.52,pIC50
[H][C@@]12C[C@]1(NC(=O)[C@]1([H])C[C@]([H])(C[C@@]1([H])C(=O)N(C)CCCC\C=C/2)OC1=CC(=NC2=C1C=CC(OC)=C2C)C1=NC(=CS1)C(C)C)C(=O)NS(=O)(=O)C1CC1,simeprevir,6.1,pIC50
CC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCN(CC3)C(c4ccc(F)cc4)c5ccc(F)cc5)c6ccc(Cl)cc6,CHEMBL180232,6.0,pIC50
CC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCN(CC3)c4ccccc4Cl)c5ccc(Cl)cc5,CHEMBL189763,6.0,pIC50
CC(NCc1ccc(cc1)C#Cc2cc(ccc2Cl)c3nn(CCCN4CCOCC4)c5CCN(Cc35)S(=O)(=O)C)c6ccccc6,CHEMBL573501,6.0,pIC50
COc1ccc(cc1C(=O)C(C)(C)c2cc(Cl)cc(Cl)c2)C(=O)NCc3ccnc(n3)C#N,CHEMBL3354494,6.0,pIC50
C[C@H]1C[C@H](CN1C#N)NS(=O)(=O)c2cc(Br)ccc2Br,CHEMBL1672434,6.0,pIC50
Cc1ccc2cc(C)cc(C(=O)N[C@@H](Cc3cccc(Cl)c3)C(=O)NCC#N)c2c1,CHEMBL549365,6.0,pIC50
Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc4ccc(F)c(c4)C(=O)O)C#N)c1,CHEMBL131688,6.0,pIC50
Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc4cccc(c4)n5cnnn5)C#N)c1,CHEMBL335426,6.0,pIC50
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)C(C)(C)C,CHEMBL564131,6.0,pIC50
Fc1cc(ccc1NC(=O)N2CCCCC2)C(=O)NC3(CCCCC3)C(=O)NCC#N,CHEMBL3605414,6.0,pKi
OC(=O)Cn1cc(COCC[C@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc3ccccc3)C#N)nn1,CHEMBL3805078,6.0,pKi
CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC#N,CHEMBL371893,6.01,pKi
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](COCc2ccccc2)C#N,CHEMBL206006,6.01,pIC50
C[C@@H](CN1CC(C)(C)c2cc(F)ccc12)NC(=O)O[C@@H](CC3CCCCC3)C(=O)N4CCN(CC4)C(=O)C,CHEMBL386488,6.01,pKi
N#Cc1ncc2cc(Cc3ccc(cc3)N4CCOCC4)n(C5CCCCC5)c2n1,CHEMBL249564,6.01,pIC50
CC(=O)O[C@@H]1NC(=O)[C@H]1NC(=O)C2(CCCCC2)NC(=O)OCc3ccccc3,CHEMBL62655,6.02,pKi
CCC[C@H](NC(=O)C1(CCCCC1)NC(=O)OC(C)(C)C)C(=O)c2oc(nn2)c3occc3,CHEMBL209216,6.02,pKi
CCCc1cc(nc(n1)C#N)c2cccc(C)c2,CHEMBL1082859,6.02,pIC50
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCC(CC6)c7ccccc7)c5)C(F)(F)F,CHEMBL1093955,6.02,pIC50
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(Cl)c(SCCO)c4,CHEMBL1089714,6.02,pIC50
C[C@@H]1COCCN1CCCn2nc(c3CN(CCc23)C(=O)C(=O)N)c4ccc(Cl)c(c4)C#Cc5ccc(CNCc6ccc(Cl)cc6)cc5,CHEMBL2312668,6.02,pIC50
CC(C)(C)Cn1c(CN2C(=O)C3(CCNCC3)c4cc(F)ccc24)cc5cnc(nc15)C#N,CHEMBL400395,6.03,pIC50
CC(C)C[C@H](NC(=O)c1oc2ccc(OCCN3CCOCC3)cc2c1)C(=O)N[C@H]4CCCN(CC4=O)C(=O)Cc5cccc(c5)c6ccccn6,CHEMBL284939,6.03,pIC50
Cc1ccc(Cc2cc3cnc(nc3n2CC(C)(C)C)C#N)cc1,CHEMBL250181,6.03,pIC50
Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@@H](COCc3cccc(c3)C(=O)O)C#N)c1,CHEMBL134083,6.03,pIC50
CC(C)(C)CNc1nc(nc(N2CCOCC2)c1N)C#N,CHEMBL471757,6.04,pIC50
CC(C)(C)CNc1nc(ncc1C#CCN2Cc3ccccc3C2)C#N,CHEMBL261513,6.04,pIC50
CC(C)CC(C(=O)NCC#N)c1cccc(c1)c2ccc3[nH]ccc3c2,CHEMBL122324,6.04,pIC50
CC(C)C[C@H](C(=O)NCC(=O)CNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c3cccc(c3)c4ccccc4,CHEMBL113805,6.04,pKi
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4C(=O)COc5ccccc45)c6ccc(c(SCC(=O)N7CCOCC7)c6)C(F)(F)F,CHEMBL1090997,6.04,pIC50
CC(C)(C)OC(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4C(=O)COc5ccccc45)c6ccc(cc6)C(F)(F)F,CHEMBL206594,6.05,pIC50
CC(C)CC(NC(c1ccc(cc1)c2ccc(cc2)N3CCNCC3)C(F)(F)F)C(=O)NCC#N,CHEMBL195505,6.05,pIC50
CC(C)CNc1nc(nc(N2CCNCC2)c1N)C#N,CHEMBL474484,6.05,pIC50
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2,CHEMBL281540,6.05,pKi
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](COC(C)(C)C)C#N,CHEMBL205948,6.05,pIC50
CC(C)C[C@H](Nc1cscc1Br)C(=O)NCC#N,CHEMBL365007,6.05,pIC50
CCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N,CHEMBL383816,6.05,pKi
COc1ccccc1C2CCN(CC(O)Cn3nc(c4CN(CCc34)C(=O)C)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F)CC2,CHEMBL1091338,6.05,pIC50
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCOCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,CHEMBL1089283,6.05,pIC50
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(Cl)c(c4)C#Cc5ccccc5C(F)(F)F,CHEMBL573191,6.06,pIC50
NC(=O)N1CCc2c(C1)c(nn2CCCN3CCSCC3)c4ccc(Cl)c(c4)C#Cc5ccc(CNCc6ccc(Cl)cc6)cc5,CHEMBL2312665,6.06,pIC50
CC(C)(C)OC(=O)N[C@@H](Cc1cccc(F)c1)C(=O)NCC#N,CHEMBL372154,6.07,pKi
CCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N,CHEMBL200531,6.07,pKi
CCOc1ccc(cc1C(F)(F)F)c2cc3c(ncn3CCN(C)C)c(n2)C#N,CHEMBL1208849,6.07,pIC50
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4c[nH]c5ncccc45)c6ccc(cc6)C(F)(F)F,CHEMBL397816,6.07,pIC50
Cn1cnc2c(nc(cc12)c3ccc(OCc4ccccn4)c(c3)C(F)(F)F)C#N,CHEMBL1208975,6.07,pIC50
CC(C)(C)CNc1nc(ncc1C#CCN2CCc3ccccc3C2)C#N,CHEMBL261511,6.08,pIC50
CC(C)(C)OC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4C(=O)COc5ccccc45)c6ccc(cc6)C(F)(F)F,CHEMBL382419,6.08,pIC50
FC1(F)C[C@H]([C@@H](C1)C(=O)N2CCOCC2)C(=O)NCC#N,CHEMBL3093938,6.08,pIC50
CC1CCN(CCSc2cc(ccc2C(F)(F)F)c3nn(CCCN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C)CC1,CHEMBL1093958,6.09,pIC50
CCC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCc2ccccc2)C(=O)CO,CHEMBL99561,6.09,pKi
CCCC[C@H](NC(=O)OC(Cc1oc(nn1)c2ccc(F)cc2)C(C)(C)C)C(=O)C(=O)N[C@H]3CCCNC3=O,CHEMBL426617,6.09,pIC50
COc1ccc(CNCc2ccc(cc2)C#Cc3cc(ccc3Cl)c4nn(CCCN5CCOCC5)c6CCN(Cc46)S(=O)(=O)C)cc1,CHEMBL573657,6.09,pIC50
COc1ccc(Cc2cc3cnc(nc3n2CC(C)(C)C)C#N)cc1,CHEMBL250590,6.09,pIC50
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,CHEMBL1093960,6.09,pIC50
CS(=O)(=O)N1CCc2c(C1)c(nn2C[C@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,CHEMBL1089296,6.09,pIC50
C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)noc5c4,CHEMBL2169908,6.09,pIC50
NCC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,CHEMBL1089620,6.09,pIC50
