SMILES,ChEMBL,target,metric
CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC=C2OCCOC2=C1,eliglustat,6.8268137,pIC50
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,miglustat,5.13000011,pKi
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OCCCCCN5C[C@H](O)[C@@H](O)[C@H](O)[C@@H]5CO,CHEMBL3354031,6.0,pIC50
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OCCCCCN5C[C@H](O)[C@@H](O)[C@H](O)[C@H]5CO,CHEMBL3354018,6.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCC(=O)NC23CC4CC(CC(C4)C2)C3,CHEMBL2170199,6.0,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cc2)c3ccc(F)nc3,CHEMBL3354061,6.13,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccccc2,CHEMBL3354021,6.13,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC2CCCCC2,CHEMBL3354014,6.3,pIC50
OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL1088158,6.3,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCC(=O)NC23CC4CC(CC(C4)C2)C3,CHEMBL3354027,6.4,pIC50
CN1CCN(CC1)C(=O)[C@@H](COCc2ccccc2)NC(=O)c3cccnc3Oc4c(Cl)cccc4Cl,CHEMBL1911686,6.47,pIC50
CN1CCN(CC1)C(=O)[C@H](COCc2ccccc2)NC(=O)C3(CC3)c4ccc(Cl)cc4Cl,CHEMBL2163830,6.48,pIC50
CN1CCN(CC1)C(=O)[C@@H](COCc2ccccc2)NC(=O)c3cccnc3Oc4ccc(F)cc4,CHEMBL1911684,6.52,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL3354016,6.52,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC2C3CC4CC(CC2C4)C3,CHEMBL3354019,6.52,pIC50
CN1CCN(CC1)C(=O)[C@@H](COCc2ccncc2)NC(=O)c3cccnc3Oc4ccc(cc4Cl)C(F)(F)F,CHEMBL1911821,6.56,pIC50
OC1CCN(CC1)C(=O)[C@H](Cc2ccc(Br)cc2)NC(=O)C3(CC3)c4ccc(Cl)cc4Cl,CHEMBL2163822,6.59,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL3354029,6.6,pIC50
CN1CCN(CC1)C(=O)[C@@H](COCc2ccccc2)NC(=O)c3cccnc3Oc4ccc(F)cc4F,CHEMBL1911685,6.64,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,CHEMBL574645,6.7,pIC50
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccc(cn2)c3ccccc3,CHEMBL3354064,6.7,pIC50
OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc2ccccc2,CHEMBL3354034,6.7,pIC50
C[C@H]1CN(CCN1)C(=O)[C@H](Cc2ccc(Cl)cc2Cl)NC(=O)C3(CC3)c4ccc(Cl)cc4Cl,CHEMBL2163837,6.72,pIC50
CN1CCN(CC1)C(=O)[C@@H](COCc2ccccc2)NC(=O)c3cc(F)cnc3Oc4ccc(Cl)cc4,CHEMBL1911813,6.75,pIC50
CN1CCN(CC1)C(=O)[C@H](Cc2ccccc2)NC(=O)C3(CC3)c4ccc(Cl)cc4Cl,CHEMBL2163831,6.8,pIC50
