SMILES,ChEMBL,target,metric
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,bortezomib,6.49,pKi
CN(C)Cc1ccccc1c2ccc(cc2)N3C(=Nc4c(C)nn(c5ccc6onc(N)c6c5)c4C3=O)C,CHEMBL213865,6.02,pKi
CCCCCC(NC(=O)CCC)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCCCC)NC(=O)CCC,CHEMBL131794,6.09,pIC50
CC(C)C[C@@H](CSC1CC(=O)N1C(=O)NCc2ccccc2)NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C,CHEMBL35762,6.1,pIC50
FB(F)C(Cc1ccccc1)NC(=O)c2ccccc2,CHEMBL57262,6.19,pKi
OB(O)C(Cc1ccccc1)NC(=O)c2ccccc2,CHEMBL292664,6.19,pKi
CC1=Nc2c(C)nn(c3ccc4onc(N)c4c3)c2C(=O)N1c5ccc(cc5)c6ccccc6CN7CC[C@@H](O)C7,CHEMBL386463,6.24,pKi
CCCC(=O)NC(CCc1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCc2ccccc2)NC(=O)CCC,CHEMBL436591,6.28,pIC50
COc1ccc(cc1)n2nc(C(=O)N)c3N=CN(C(=O)c23)c4ccc(cc4F)c5ccccc5CN6CCCC6,CHEMBL213352,6.28,pKi
CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c3ccc(NC(=O)C4CC4)cc13,CHEMBL2409575,6.43,pIC50
OB(O)[C@H](Cc1ccccc1)NC(=O)c2ccccc2,CHEMBL293513,6.44,pKi
CC(N)C(=O)N[C@@H](Cc1ccccc1)B(O)O,CHEMBL56732,6.5,pKi
CC(N)C(=O)N[C@@H](Cc1ccccc1)B(F)F,CHEMBL58683,6.54,pKi
FB(F)[C@H](Cc1ccccc1)NC(=O)c2ccccc2,CHEMBL60695,6.57,pKi
CC(C)(C(NC(=O)c1ccc(cc1)C#N)c2ccccc2Cl)C(=O)OC(=O)C(C)(C)C(NC(=O)c3ccc(cc3)C#N)c4ccccc4Cl,CHEMBL338962,6.6,pIC50
CC(C)(C(NC(=O)c1ccc(cc1)C#N)C2CCC=CC2)C(=O)OC(=O)C(C)(C)C(NC(=O)c3ccc(cc3)C#N)C4CCC=CC4,CHEMBL134024,6.66,pIC50
Cc1ccccc1C(NC(=O)c2ccc(cc2)C#N)C(C)(C)C(=O)OC(=O)C(C)(C)C(NC(=O)c3ccc(cc3)C#N)c4ccccc4C,CHEMBL336964,6.72,pIC50
C[C@H](NC1=Nc2cccc(C)c2C(=O)O1)c3ccccc3,CHEMBL67023,6.75,pIC50
CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c3ccc(NC(=O)C)cc13,CHEMBL2409570,6.77,pIC50
CC(C)(CNC(=O)c1ccccc1)C(=O)OC(=O)C(C)(C)CNC(=O)c2ccccc2,CHEMBL134268,6.85,pIC50
CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c3ccc(NC(=O)CC)cc13,CHEMBL2409571,6.85,pIC50
C[C@@H](NC1=Nc2cccc(C)c2C(=O)O1)c3ccc(Br)cc3,CHEMBL65589,6.85,pIC50
CC(C)(C(CCc1ccccc1)NC(=O)c2ccccc2)C(=O)OC(=O)C(C)(C)C(CCc3ccccc3)NC(=O)c4ccccc4,CHEMBL134821,7.06,pIC50
C[C@@H](NC1=Nc2cccc(C)c2C(=O)O1)c3ccccc3,CHEMBL65148,7.06,pIC50
COC(=O)CCC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)OC,CHEMBL130006,7.1,pKi
CCC(NC(=O)c1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CC)NC(=O)c2ccccc2,CHEMBL134068,7.14,pIC50
Cc1cccc(c1)C(=O)n2nc(C#N)c3ccccc23,CHEMBL2409450,7.18,pIC50
C[C@@H](NC1=Nc2ccc(N(C)C)c(C)c2C(=O)O1)c3ccccc3,CHEMBL294771,7.19,pIC50
CCCC(NC(=O)c1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCC)NC(=O)c2ccccc2,CHEMBL131704,7.31,pIC50
CCOC(=O)c1nn(C(=O)c2ccsc2)c3ccc(cc13)[N+](=O)[O-],CHEMBL2409458,7.34,pIC50
CCCCCCC(NC(=O)c1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCCCCC)NC(=O)c2ccccc2,CHEMBL135080,7.36,pIC50
CCOC(=O)c1nn(C(=O)c2cccc(C)c2)c3ccc(cc13)[N+](=O)[O-],CHEMBL2409456,7.4,pIC50
COC(=O)c1nn(C(=O)c2cccc(C)c2)c3cc(ccc13)[N+](=O)[O-],CHEMBL2409445,7.42,pIC50
CCCCCC(NC(=O)c1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCCCC)NC(=O)c2ccccc2,CHEMBL424453,7.51,pIC50
COC(=O)c1nn(C(=O)c2ccccc2)c3ccc(cc13)[N+](=O)[O-],CHEMBL2409451,7.51,pIC50
CCOC(=O)c1nn(C(=O)c2cccc(OC)c2)c3ccc(cc13)[N+](=O)[O-],CHEMBL2409457,7.68,pIC50
COC(=O)CCC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)C(F)(F)F,CHEMBL132171,7.77,pKi
CC(C)(C(NC(=O)c1ccc(cc1)C#N)c2ccccc2)C(=O)OC(=O)C(C)(C)C(NC(=O)c3ccc(cc3)C#N)c4ccccc4,CHEMBL134816,7.82,pIC50
COC(=O)c1nn(C(=O)c2cccc(C)c2)c3ccc(cc13)[N+](=O)[O-],CHEMBL2409452,7.82,pIC50
CCCCC(NC(=O)c1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCCC)NC(=O)c2ccccc2,CHEMBL335675,8.28,pIC50
I\C=C\1/CC(CC(=O)O1)c2ccccc2,CHEMBL307448,8.28,pKi
CC(C)(C(CCc1ccccc1)NC(=O)c2ccc(cc2)C#N)C(=O)OC(=O)C(C)(C)C(CCc3ccccc3)NC(=O)c4ccc(cc4)C#N,CHEMBL108540,8.68,pIC50
