SMILES,ChEMBL,target,metric
NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC=C2C=C(C=CC2=C1)C(N)=N,nafamostat,6.85,pIC50
CSc1sc(cc1c2nc(cs2)c3ccc(cc3)[N+](=O)[O-])C(=N)N,CHEMBL29006,6.0,pKi
CSc1sc(cc1c2nc(cs2)c3cccc(C)c3)C(=N)N,CHEMBL286498,6.02,pKi
COc1ccc(cc1)c2csc(n2)c3cc(sc3SC)C(=N)N,CHEMBL28618,6.05,pKi
CSc1sc(cc1c2nc(cs2)c3cnccc3Cl)C(=N)N,CHEMBL28723,6.06,pKi
COc1ccccc1c2csc(n2)c3cc(sc3SC)C(=N)N,CHEMBL283080,6.07,pKi
CSc1sc(cc1c2nc(cs2)c3ccc(Cl)c(c3)[N+](=O)[O-])C(=N)N,CHEMBL413764,6.07,pKi
CSc1sc(cc1c2nc(cs2)c3ccccc3C)C(=N)N,CHEMBL28949,6.07,pKi
CSc1sc(cc1S(=O)(=O)c2ccccc2)C(=N)N,CHEMBL205489,6.13,pKi
CSc1sc(cc1c2nc(cs2)c3cccs3)C(=N)N,CHEMBL31549,6.16,pKi
COc1ccc(c(OC)c1)c2csc(n2)c3cc(sc3SC)C(=N)N,CHEMBL286267,6.19,pKi
COc1ccccc1c2cccc(c2)S(=O)(=O)c3cc(sc3SC)C(=N)N,CHEMBL401087,6.22,pKi
CSc1sc(cc1S(=O)(=O)c2ccc3c(c2)ncn3Cc4ccccn4)C(=N)N,CHEMBL382447,6.24,pKi
CSc1sc(cc1c2nc(cs2)c3ccccc3)C(=N)N,CHEMBL281899,6.25,pKi
CSc1sc(cc1c2nc(COc3ccccc3)cs2)C(=N)N,CHEMBL287292,6.28,pKi
CSc1sc(cc1c2nc(cs2)c3cnn(c3OCC4CCC4)c5ccccc5)C(=N)N,CHEMBL102835,6.28,pKi
COc1cccc(c1)c2cccc(c2)S(=O)(=O)c3cc(sc3SC)C(=N)N,CHEMBL399262,6.31,pKi
CSc1sc(cc1c2nc(cs2)c3ccc4ccccc4c3)C(=N)N,CHEMBL29290,6.31,pKi
COc1cccc(c1)c2csc(n2)c3cc(sc3SC)C(=N)N,CHEMBL29205,6.33,pKi
CSc1sc(cc1S(=O)(=O)c2cccc(c2)c3ccccc3O)C(=N)N,CHEMBL252592,6.34,pKi
CSc1sc(cc1c2nc(cs2)c3cnn(C)c3)C(=N)N,CHEMBL102417,6.34,pKi
CSc1sc(cc1c2nc(cs2)c3csc4ccccc34)C(=N)N,CHEMBL28875,6.35,pKi
CSc1sc(cc1c2nc(cs2)c3ccc(Cl)cc3)C(=N)N,CHEMBL286243,6.36,pKi
CSc1sc(cc1S(=O)(=O)c2ccc3ncn(Cc4ccccc4)c3c2)C(=N)N,CHEMBL204936,6.38,pKi
CSc1sc(cc1c2nc(cs2)c3ccc(C)cc3)C(=N)N,CHEMBL29304,6.38,pKi
CSc1sc(cc1S(=O)(=O)c2ccc3ccccc3c2)C(=N)N,CHEMBL380318,6.39,pKi
CSc1sc(cc1S(=O)(=O)c2cc(Br)c3[nH]cnc3c2)C(=N)N,CHEMBL205698,6.4,pKi
CSc1sc(cc1S(=O)(=O)c2cc(Br)c3c(c2)ncn3C)C(=N)N,CHEMBL380325,6.4,pKi
CSc1sc(cc1S(=O)(=O)c2cc(Br)c3ncn(Cc4ccccc4)c3c2)C(=N)N,CHEMBL379523,6.4,pKi
CSc1sc(cc1S(=O)(=O)c2ccc3c(c2)ncn3Cc4ccccc4)C(=N)N,CHEMBL204889,6.4,pKi
CSc1sc(cc1S(=O)(=O)c2cc(Br)c3c(c2)ncn3[C@H](C)c4ccccc4)C(=N)N,CHEMBL205354,6.42,pKi
CSc1sc(cc1S(=O)(=O)c2cccc(Br)c2)C(=N)N,CHEMBL398527,6.44,pKi
COc1ccc(cc1)c2cccc(c2)S(=O)(=O)c3cc(sc3SC)C(=N)N,CHEMBL415092,6.46,pKi
CCCc1c(cnn1C)c2csc(n2)c3cc(sc3SC)C(=N)N,CHEMBL318576,6.48,pKi
