SMILES,ChEMBL,target,metric
NC(=O)n1cc(NC(=O)N2[C@@H](CO)CC[C@H]2C(=O)Nc3cccc(OC(F)(F)F)c3)c4ccccc14,CHEMBL3673791,6.0,pIC50
NC[C@@H]1C[C@H](N(C1)C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)Nc4cccc(OC(F)(F)F)c4,CHEMBL3673833,6.0,pIC50
NC[C@H]1C[C@H](N(C1)C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)Nc4cccc(OC(F)(F)F)c4,CHEMBL3673832,6.0,pIC50
NC(=O)n1cc(NC(=O)N2CSC[C@H]2C(=O)Nc3cccc(OC(F)(F)F)c3)c4ccccc14,CHEMBL3668668,6.01,pIC50
NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc3ccnc(c3F)C(F)(F)F)c4ccccc14,CHEMBL3668738,6.01,pIC50
CN(C)[C@@H]1CN([C@@H]([C@H]1F)C(=O)NCc2cccc(Cl)c2F)C(=O)Nc3cn(C(=O)N)c4ccccc34,CHEMBL3668696,6.03,pIC50
COCCNC(=O)c1cc(Cl)c(F)c(CNC(=O)[C@@H]2C[C@@H](F)CN2C(=O)Nc3cn(C(=O)N)c4ccccc34)c1,CHEMBL3673865,6.03,pIC50
CC(=O)c1cn(CC(=O)N2C[C@H]3C[C@H]3[C@H]2C(=O)NCc4cccc(Cl)c4F)c5ncccc15,CHEMBL3678756,6.04,pIC50
CC(=O)N[C@@H]1CCN([C@@H]1C(=O)NCc2cccc(Cl)c2)C(=O)Nc3cn(C(=O)N)c4ccccc34,CHEMBL3673851,6.05,pIC50
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]2C[C@H](N)CN2C(=O)Nc3cn(C(=O)N)c4ccccc34,CHEMBL3668610,6.05,pIC50
C[C@@H](NC(=O)[C@@H]1[C@H](O)CCN1C(=O)Nc2cn(C(=O)N)c3ccccc23)c4cccc(Cl)c4F,CHEMBL3673795,6.05,pIC50
NC(=O)n1cc(NC(=O)N2CC[C@@H](O)[C@H]2C(=O)NCc3cnc(Cl)s3)c4ccccc14,CHEMBL3673715,6.05,pIC50
NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc3ccncc3F)c4ccccc14,CHEMBL3673755,6.05,pIC50
N[C@H]1C[C@H](N(C1)C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)NCc4ccccc4F,CHEMBL3664015,6.05,pIC50
OCC(=O)c1cn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)N[C@H](CF)c3cccc(Br)c3)c4ccccc14,CHEMBL3678769,6.05,pIC50
CO[C@@H]1[C@@H](F)CN([C@@H]1C(=O)NC2(CC2)c3ccc(Cl)cc3)C(=O)Cn4cc(C(=O)C)c5ccccc45,CHEMBL3678791,6.06,pIC50
CC(=O)c1cn(CC(=O)N2C[C@H](F)[C@@H](N)[C@H]2C(=O)NCc3cccc(Cl)c3F)c4ccccc14,CHEMBL3678793,6.07,pIC50
C[C@@H]1C[C@H](N(C1)C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)Nc4cccc(OC(F)(F)F)c4,CHEMBL3668664,6.07,pIC50
NC(=O)n1cc(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc3cccc(OC(F)(F)F)c3F)c4ccccc14,CHEMBL3673868,6.07,pIC50
NC(=O)n1cc(NC(=O)N2CCC[C@H]2C(=O)Nc3cccc(OC(F)(F)F)c3)c4ccc(O)cc14,CHEMBL3673800,6.07,pIC50
NC(=O)n1cc(NC(=O)N2CCC[C@H]2C(=O)Nc3cccc(c3)S(=O)(=O)N)c4ccccc14,CHEMBL3668739,6.07,pIC50
NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc3cc(CN4CCOCC4)cc(Cl)c3F)c5ccccc15,CHEMBL3663985,6.09,pIC50
CC(=O)c1cn(CC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)Nc4cccc(OC(F)(F)F)c4F)c5ncccc15,CHEMBL3678780,6.1,pIC50
CC(C)(C)n1nnnc1c2cc(Br)cc(NC(=O)[C@@H]3C[C@H]4C[C@H]4N3C(=O)Nc5cn(C(=O)N)c6ccccc56)c2,CHEMBL3673776,6.1,pIC50
C[C@H]1CCN([C@@H]1C(=O)Nc2cccc(OC(F)(F)F)c2)C(=O)Nc3cn(C(=O)N)c4ccccc34,CHEMBL3668733,6.1,pIC50
NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNS(=O)(=O)c3ccccc3)c4ccccc14,CHEMBL3639674,6.1,pIC50
N[C@H]1C[C@H](N(C1)C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)NCc4cc(Cl)cc(Cl)c4,CHEMBL3668574,6.1,pIC50
COCCN[C@@H]1CCN([C@@H]1C(=O)NCc2cccc(Cl)c2)C(=O)Nc3cn(C(=O)N)c4ccccc34,CHEMBL3673852,6.11,pIC50
NC(=O)n1cc(CC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)Nc4cccc(OC(F)(F)F)c4)c5cc(OCCO)ccc15,CHEMBL3673881,6.12,pIC50
C[C@@H]1CC[C@H](N1C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)Nc4cccc(OC(F)(F)F)c4,CHEMBL3673767,6.13,pIC50
C[C@@]1(F)C[C@H](N(C1)C(=O)Cc2cn(C(=O)N)c3ccccc23)C(=O)N[C@H](CCO)c4cccc(Cl)c4F,CHEMBL3673873,6.13,pIC50
CNC(=O)c1cn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc3cccc(Cl)c3F)c4ccccc14,CHEMBL3678737,6.14,pIC50
CC(=O)c1cn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc3cc(cc(Cl)c3F)C#N)c4ccccc14,CHEMBL3673923,6.16,pIC50
NC(=O)n1cc(NC(=O)N2C[C@@H](F)C[C@H]2C(=O)Nc3cccc(OC(F)(F)F)c3)c4ccccc14,CHEMBL3668730,6.16,pIC50
NC(=O)n1cc(NC(=O)N2C[C@@](O)(CO)C[C@H]2C(=O)NCc3cccc(Cl)c3F)c4ccccc14,CHEMBL3668703,6.16,pIC50
NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNS(=O)(=O)c3cccc(F)c3)c4ccccc14,CHEMBL3668618,6.16,pIC50
CC(C)(C)n1nnnc1c2cc(Cl)c(F)c(CNC(=O)[C@@H]3C[C@@H](F)CN3C(=O)Nc4cn(C(=O)N)c5ccccc45)c2,CHEMBL3673778,6.17,pIC50
CN(C)[C@H]1C[C@H](N(C1)C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)NCc4cccc(Cl)c4F,CHEMBL3673856,6.18,pIC50
N[C@H]1C[C@H](N(C1)C(=O)Nc2cn(C(=O)N)c3ccccc23)C(=O)Nc4cccc(OC(F)(F)F)c4,CHEMBL3673825,6.18,pIC50
