SMILES,ChEMBL,target,metric
[H]N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(N)=O,corticorelin,8.48148632,pKd
CCCC(CCC)n1cc2CCN(c3ccc(cc3C(F)(F)F)C(F)(F)F)c4nc(C)cc1c24,CHEMBL250982,7.0,pIC50
CCCCN(C1CCOCC1)c2c(OC)nn3c(csc23)c4c(OC)cc(C=O)cc4OC,CHEMBL3669429,7.0,pIC50
CCCCN(CC)c1nc(C)nc2c1nnn2c3ccc(cc3Br)S(=O)(=O)C,CHEMBL170844,7.0,pKi
CCCN(CC1C2COCC12)c3c(OC)nn4c(csc34)c5c(OC)cc(cc5OC)C#N,CHEMBL3669428,7.0,pIC50
CCCN(CC1CC1)Cc2sc(nc2C(F)(F)F)N(C)c3c(C)cc(C)cc3Cl,CHEMBL130264,7.0,pKi
CCCN(CC=C)Cc1sc(Nc2c(Cl)cc(Cl)cc2Cl)nc1C(F)(F)F,CHEMBL361323,7.0,pKi
CCCN(CCC)C(=O)c1c(CC)nc2N(CCn12)c3c(C)cc(C)cc3C,CHEMBL368041,7.0,pKi
CCCN(CCC)c1cc(C)nc2c(c(C)nn12)c3ncc(cc3C)N=O,CHEMBL181684,7.0,pKi
CCCN(CCC)c1cc(CC)nc2c(c(C)nn12)c3ccc(Cl)cc3,CHEMBL121116,7.0,pKi
CCCN(CCC)c1cccc2N=C(Nc3c(C)cc(C)cc3C)C(=O)Nc12,CHEMBL2049190,7.0,pIC50
CCCN(Cc1ccncc1)Cc2sc(Nc3c(Cl)cc(Cl)cc3Cl)nc2C(F)(F)F,CHEMBL369531,7.0,pKi
CCN(CC)c1ccc(OC)c2nc(c(C)cc12)c3c(OC)cc(C)cc3OC,CHEMBL2160159,7.0,pIC50
COCc1cc(OC)c(c(OC)c1)c2csc3c(N(CC4CC4)C5CCOCC5)c(OC)nn23,CHEMBL2179184,7.0,pIC50
COc1cc(OC)c(c(OC)c1)c2ccnc(n2)N(CC=C)C(C3CC3)C4CC4,CHEMBL291828,7.0,pKi
Cc1cc(ccc1N2CCc3c2nccc3n4ccc(n4)c5nccs5)C#N,CHEMBL513967,7.0,pIC50
CCC(CC)Nc1c2CCCc2nc3c(c(CC)nn13)c4ccc(OC)cc4C,CHEMBL1819067,7.01,pIC50
CCCN(C1CCOCC1)c2c(OC)nn3c(csc23)c4c(OC)cc(COC)cc4OC,CHEMBL2179186,7.01,pIC50
CCCN(CCC)c1cccc2nc(Nc3c(C)cc(C)cc3C)n(C(C)C)c12,CHEMBL3793781,7.01,pIC50
CCCc1cc(NC[C@@H]2CC[C@H](CC2)NC(=O)c3cc(Cl)cnc3C)n[nH]1,CHEMBL3652101,7.01,pIC50
COCc1cc(OC)c(c(OC)c1)c2cccc3c(N(CC4CCOCC4)CC5(O)CC5)c(SC)nn23,CHEMBL2087797,7.01,pIC50
