SMILES,ChEMBL,target,metric
CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1,metyrapone,7.84,pIC50
CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,ketoconazole,6.89619637,pIC50
CCn1ccc2c1ccc3nc(cc(Cn4ccnc4)c23)c5ccccc5,CHEMBL2442760,6.0,pIC50
COc1ccc(cn1)c2ccc(Cn3ccnc3)cn2,CHEMBL2011259,6.0,pIC50
Clc1ccc(Cn2ccnc2)cc1,CHEMBL441367,6.0,pIC50
N#Cc1cccc(Cn2ccnc2)c1,CHEMBL163922,6.0,pIC50
C(c1ccc(nc1)c2cncnc2)n3ccnc3,CHEMBL2011258,6.01,pIC50
N#Cc1ncccc1Cn2ccnc2,CHEMBL2011240,6.01,pIC50
C(c1ccccc1)c2cc3ccccc3cc2c4cccnc4,CHEMBL493485,6.02,pIC50
COc1ccc(cc1)c2cc(Cn3ccnc3)c4ccc5[nH]ccc5c4n2,CHEMBL2442757,6.02,pIC50
COc1cccc2CC\C(=C/c3cccnc3)\c12,CHEMBL175791,6.02,pIC50
C1Cc2ccccc2/C/1=C\c3ccncc3,CHEMBL179149,6.03,pIC50
CC(C)CC1n2cncc2CN(C3CC3)S1(=O)=O,CHEMBL1209557,6.03,pIC50
FC(F)(F)Oc1ccc(cc1)S(=O)(=O)N2CCCc3cc(ccc23)c4cccnc4,CHEMBL3337682,6.03,pIC50
Fc1ccc(Oc2ccc3C(=CC(=O)Oc3c2)Cn4ccnc4)cc1F,CHEMBL1688911,6.03,pIC50
Fc1cccc(c1)c2ccc(Cc3ccncc3)cc2,CHEMBL1215732,6.03,pIC50
O=C1Oc2cc(Oc3ccccc3)ccc2C(=C1)Cn4ccnc4,CHEMBL437731,6.03,pIC50
COc1ccc2\C(=C\c3cccnc3)\CCCc2c1,CHEMBL362441,6.04,pIC50
C1Cc2ccccc2/C/1=C/c3cccnc3,CHEMBL364080,6.05,pIC50
C[C@](O)(c1cncc(c1)c2ccc3c(CCc4nnc(n34)C(F)(F)F)c2)C(F)(F)F,CHEMBL3622447,6.05,pIC50
Nc1ccc(cc1N)c2ccc(Cc3ccncc3)cc2,CHEMBL1173327,6.05,pIC50
COc1ccc2cc(c(C)cc2c1)c3cncc(OC)c3,CHEMBL502818,6.06,pIC50
COc1ccc2cc(c(C)cc2c1)c3cncc4ccccc34,CHEMBL525785,6.07,pIC50
COc1ccc2cc(ccc2c1)n3ccnc3,CHEMBL195629,6.07,pIC50
Oc1ccc(cc1F)c2ccc(Cc3ccncc3)cc2,CHEMBL1173260,6.07,pIC50
C(c1cccnc1)n2ccnc2,CHEMBL1440486,6.09,pIC50
COc1ccc(cc1)C(c2ccncc2)c3cc4CCN5C(=O)CCc(c3)c45,CHEMBL2312957,6.09,pIC50
FC(F)(F)c1ccc(c(OCCc2ccccc2)c1)c3cccnc3,CHEMBL3421777,6.09,pIC50
O=C1CCc2cc(ccc12)c3cccnc3,CHEMBL448743,6.09,pIC50
o1cncc1c2ccc3ccccc3c2,CHEMBL193653,6.09,pIC50
CCOc1cc2N(C)C(=O)CCc2cc1c3cccnc3,CHEMBL2165317,6.1,pIC50
CN1CC(=O)Nc2ccc(cc12)c3cccnc3,CHEMBL3397602,6.1,pIC50
COc1ccc2\C(=C/c3cccnc3)\CCc2c1,CHEMBL176101,6.1,pIC50
COc1cncc(c1)c2ccc3N(CCc3c2)C(=O)C,CHEMBL3287185,6.1,pIC50
Fc1cc2nc(c3cnccc3C(F)(F)F)n(C4CC4)c2cc1F,CHEMBL3582480,6.1,pIC50
CN1C(=O)COc2cc(ccc12)c3cccnc3,CHEMBL3397599,6.11,pIC50
COc1ccc(Cc2cc3ccccc3cc2c4cncc5ccccc45)cc1,CHEMBL522860,6.11,pIC50
COc1ccc(cc1)c2ccc(Cn3ccnc3)cn2,CHEMBL258097,6.11,pIC50
Cc1ccccc1Cn2cnc3ccccc23,CHEMBL1328035,6.11,pIC50
Clc1cc(cc2CCC(=S)Nc12)c3cccnc3,CHEMBL508155,6.11,pIC50
Fc1cccc2\C(=C\c3cccnc3)\CCc12,CHEMBL366490,6.11,pIC50
N#Cc1ccc(cc1)c2ccc(Cn3ccnc3)cn2,CHEMBL2011251,6.11,pIC50
Nc1ccc(Cn2ccnc2)c3C(=O)c4ccccc4Oc13,CHEMBL2333337,6.11,pIC50
COc1ccc2C=C(CCc2c1)n3ccnc3,CHEMBL207751,6.12,pIC50
Cc1cccc2\C(=C\c3cccnc3)\CCc12,CHEMBL368305,6.12,pIC50
CCC(=O)n1ccc2cc(ccc12)c3cccnc3,CHEMBL3287191,6.13,pIC50
CN1C(=O)CCc2cc(ccc12)c3cccnc3,CHEMBL446083,6.13,pIC50
COc1ccc(Cc2cc3cc(OC)ccc3cc2c4cncc5ccccc45)cc1,CHEMBL494315,6.13,pIC50
N#CC1CCc2cc(ccc2C1)c3cccnc3,CHEMBL459970,6.13,pIC50
OC(c1ccccc1)(c2ccncc2)c3cc4CCN5C(=O)CCc(c3)c45,CHEMBL2312953,6.13,pIC50
OC(c1cccnc1)c2cc3CCN4C(=O)CCc(c2)c34,CHEMBL2312964,6.13,pIC50
Cc1ccncc1c2nc3cc(F)c(F)cc3n2C4CC4,CHEMBL3582479,6.14,pIC50
C(c1ccccc1)n2ccnc2,CHEMBL14192,6.15,pIC50
C1C\C(=C/c2cccnc2)\c3ccccc3C1,CHEMBL193606,6.15,pIC50
O=C1CCc2cc(cc3CCN1c23)c4cccnc4,CHEMBL1765205,6.15,pIC50
CCS(=O)(=O)N1CCc2cc(ccc12)c3cccnc3,CHEMBL3337667,6.16,pIC50
COc1ccc(cc1F)c2ccc3c(CCCC3(O)c4ccncc4)c2,CHEMBL496263,6.16,pIC50
N#Cc1ccc2cc(ccc2c1)c3cccnc3,CHEMBL196796,6.16,pIC50
OCc1ccc(Cn2ccnc2)cc1,CHEMBL590987,6.16,pIC50
Cn1c(nc2ccc(F)cc12)c3cccnc3,CHEMBL3582447,6.17,pIC50
C(c1ccncc1)n2ccnc2,CHEMBL1556445,6.18,pIC50
Clc1cccc2\C(=C/c3cccnc3)\CCc12,CHEMBL369623,6.18,pIC50
O=S(=O)(N1CCCc2cc(ccc12)c3cccnc3)c4ccc5ccccc5c4,CHEMBL3337692,6.18,pIC50
C1Cc2ccccc2C=C1n3ccnc3,CHEMBL208471,6.19,pIC50
COc1ccc2cc(c(Cc3ccccc3)cc2c1)c4cccnc4,CHEMBL523196,6.19,pIC50
Clc1cccc(c1)C(c2ccncc2)c3cc4CCN5C(=O)CCc(c3)c45,CHEMBL2312960,6.19,pIC50
Clc1ccc(Cn2cnc3ccccc23)cc1,CHEMBL1444873,6.2,pIC50
Oc1ccc2cc(ccc2c1)c3ccc(Cc4ccncc4)cc3,CHEMBL1214739,6.2,pIC50
C(c1ccc(nc1)c2ccc(cc2)N(c3ccccc3)c4ccccc4)n5ccnc5,CHEMBL2010808,6.21,pIC50
COc1ccc2C(=O)C(=COc2c1)Cc3ccncc3,CHEMBL3794391,6.21,pIC50
COc1ccc2cc(ccc2c1)c3cncc(CO)c3,CHEMBL448064,6.21,pIC50
C(c1cnc(cn1)c2ccccc2)n3ccnc3,CHEMBL2417630,6.22,pIC50
CN(C)C(=O)c1ccc(c(OCCc2ccccc2)c1)c3cccnc3,CHEMBL3421781,6.23,pIC50
COc1cccc(c1)S(=O)(=O)N2CCc3cc(cnc23)c4cccnc4,CHEMBL3337671,6.23,pIC50
COc1ccc2C=C(CCc2c1)c3cccnc3,CHEMBL206351,6.24,pIC50
S=C1CCc2cc(ccc2N1)c3cccnc3,CHEMBL511329,6.24,pIC50
CC(C)CC1n2cncc2CN(Cc3ccc(cc3)C(F)(F)F)S1(=O)=O,CHEMBL1209556,6.25,pIC50
CC(C)CC1n2cncc2CN(Cc3ccc(OC(F)(F)F)cc3)S1(=O)=O,CHEMBL1209555,6.26,pIC50
COc1cncc(c1)c2cc3CCCN4C(=O)CCc(c2)c34,CHEMBL1765208,6.26,pIC50
Cc1ccc(cc1N)c2ccc(Cn3ccnc3)cn2,CHEMBL2011249,6.27,pIC50
Fc1cccc(c1)C(c2ccncc2)c3cc4CCN5C(=O)CCc(c3)c45,CHEMBL2312958,6.27,pIC50
