SMILES,ChEMBL,target,metric
COc1ccc(\C=C\c2ccc(OC)c(OC)c2)c(OC)c1,CHEMBL3132926,6.29,pIC50
COc1ccc(OC)c(\C=C\c2ccc(OC)c(OC)c2)c1,CHEMBL3132927,6.3,pIC50
Cc1oc2cc(O)c3C(=O)C=C(Oc3c2c1)c4ccccc4,CHEMBL3601434,6.33,pKi
COc1ccc(\C=C\c2cccc(OC)c2OC)cc1OC,CHEMBL3132925,6.35,pIC50
COc1ccc(\C=C\c2ccccc2)cc1OC,CHEMBL327223,6.36,pIC50
Cc1oc2ccc3C(=O)C=C(Oc3c2c1)c4ccccc4,CHEMBL3601433,6.37,pKi
COc1ccc(\C=C\c2ccccc2OC)cc1OC,CHEMBL3132924,6.44,pIC50
COc1cc(OC)c(\C=C\c2ccc(OC)c(OC)c2)c(OC)c1,CHEMBL3132931,6.57,pIC50
O=C1C=C(Oc2c3C=CCOc3ccc12)c4ccccc4,CHEMBL2347756,6.57,pKi
COc1ccc(\C=C\c2c(OC)cccc2OC)cc1OC,CHEMBL3132928,6.64,pIC50
Oc1cc2OCC=Cc2c3OC(=CC(=O)c13)c4ccccc4,CHEMBL2347912,6.96,pKi
O=C1C=C(Oc2c1ccc3ccccc23)c4ccccc4,CHEMBL283196,7.35,pKi
O=C1C=C(Oc2c1ccc3ncccc23)c4ccccc4,CHEMBL3601435,7.4,pKi
