SMILES,ChEMBL,target,metric
CCCCCCCCCCOc1ccc(OCC(=O)C[S+]([O-])CCC(=O)O)cc1,CHEMBL27534,6.0,pIC50
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F,CHEMBL281211,6.1,pIC50
CCCCCCCCCCOc1ccc(CCC(=O)COc2cccc(c2)C(=O)O)cc1,CHEMBL27531,6.16,pIC50
CCCCCCCCCCOc1cccc(OCC(=O)CSCCC(=O)O)c1,CHEMBL282634,6.16,pIC50
CCCCCCCCCCOc1ccc(COCC(=O)COc2cccc(CC(=O)O)c2)cc1,CHEMBL281320,6.18,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)CS(=O)(=O)CCC(=O)O)cc1,CHEMBL29807,6.3,pIC50
OC(=O)c1ccc(OCC(=O)COc2ccc(OCCCCCc3ccccc3)cc2)cc1,CHEMBL30130,6.34,pIC50
CCCCCCCCOc1ccc(OCC(=O)COc2ccc(cc2)C(=O)O)cc1,CHEMBL282164,6.39,pIC50
CCCCCCCCCCCCCCOc1ccc(OCC(=O)CSCCC(=O)O)cc1,CHEMBL283294,6.4,pIC50
CCCCCCOc1ccc(OCC(=O)COc2ccc(cc2)C(=O)O)cc1,CHEMBL413539,6.55,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)CSCCC(=O)O)cc1,CHEMBL25853,6.57,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COCCCC(=O)O)cc1,CHEMBL27245,6.62,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COc2cccc(OCC(=O)O)c2)cc1,CHEMBL29246,6.7,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COCc2cccc(c2)C(=O)O)cc1,CHEMBL286068,6.82,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COc2ccc(CC(=O)O)cc2)cc1,CHEMBL26200,6.82,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)CSCCCC(=O)O)cc1,CHEMBL27479,6.82,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COc2ccc(cc2[N+](=O)[O-])C(=O)O)cc1,CHEMBL286067,6.92,pIC50
OC(=O)c1ccc(OCC(=O)COc2ccc(SCCCCCc3ccccc3)cc2)cc1,CHEMBL29838,7.1,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COc2ccc(cc2OC)C(=O)O)cc1,CHEMBL25900,7.13,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)CSCCCCC(=O)O)cc1,CHEMBL285344,7.16,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COc2cccc(CC(=O)O)c2)cc1,CHEMBL29247,7.22,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COc2cccc(c2)C(=O)O)cc1,CHEMBL30107,7.3,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COCc2ccc(cc2)C(=O)O)cc1,CHEMBL29353,7.4,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COCCCCC(=O)O)cc1,CHEMBL29515,7.52,pIC50
CCCCCCCCCCOc1ccc(OCC(=O)COc2ccc(cc2)C(=O)O)cc1,CHEMBL30108,7.52,pIC50
CCCCCCCCCCCCOc1ccc(OCC(=O)COc2ccc(cc2)C(=O)O)cc1,CHEMBL418207,7.59,pIC50
