SMILES,ChEMBL,target,metric
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34,pergolide,6.46999979,pKi
OCCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,flupentixol,7.77499962,pKi
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,methylergometrine,6.26841124,pKi
OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12,fenoldopam,7.55,pKd
CN1CCN(CC1)C2=Nc3ccccc3N(NC(=O)c4cccc(c4)C#N)c5ccc(Cl)cc25,CHEMBL213238,7.0,pKi
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,olanzapine,7.0,pKi
NCCc1ccc(O)c(O)c1,dopamine,7.0,pEC50
[O-][N+](=O)c1ccc(Nc2ccc(CCN3CN(c4ccccc4)C5(CCN(CCCC(=O)c6ccc(F)cc6)CC5)C3=O)cc2)c7nonc17,CHEMBL92649,7.0,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)C(C)(C)C)c4ccccc24,CHEMBL379757,7.01,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cc(F)c(F)c(F)c4F)c5ccc(Cl)cc25,CHEMBL213466,7.01,pKi
COc1cc2C[C@@H]3N(CCc4cc(OC)c(O)c(OC)c34)Cc2c(OC)c1,CHEMBL2057454,7.01,pIC50
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,thioridazine,7.01,pKi
Cc1cc(Oc2nccc3[nH]ccc23)ccc1c4cncc5nccn45,CHEMBL3671283,7.01,pKi
Oc1cc2OCC3NCc4ccccc4C3c2cc1O,CHEMBL217299,7.01,pKi
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3OC(F)(F)F)cc2C)C,CHEMBL3697584,7.02,pKi
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,chlorpromazine,7.02,pKi
Cc1cc(Oc2nccc3n[nH]cc23)ccc1c4c(C)nc[n+]([O-])c4C,CHEMBL3671281,7.03,pKi
Cl.CCCN1CCc2cc(cc3c2[C@H]1Cc4ccc(O)c(O)c34)c5ccc(O)cc5,CHEMBL560721,7.03,pKi
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncc(Cl)cc3C)cc2C)C,CHEMBL3697557,7.04,pKi
CCCN1C[C@H](Cn2cccn2)O[C@@H]3Cc4c(O)cccc4C[C@@H]13,CHEMBL3099230,7.05,pEC50
CN(C)CCC=C1c2ccccc2CCc3ccccc13,amitriptyline,7.05,pKi
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncc(Cl)cc3Cl)cc2C)C,CHEMBL3697561,7.05,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,clozapine,7.05,pKi
Cc1cc(Oc2nccc3[nH]ccc23)ccc1c4c(C)cnnc4C,CHEMBL3671280,7.05,pKi
CC1=NCCc2cc(Cl)c(O)cc2N1c3ccsc3,CHEMBL578122,7.06,pKi
CC1=NNC(=O)C(=C1c2ccc(Oc3ncccc3OC(F)F)cc2C)C,CHEMBL3697590,7.06,pKi
CN1C(=O)C=NC(=C1c2ccc(Oc3ncccc3OC(F)F)cc2C)C,CHEMBL3697606,7.06,pKi
CN1C(=O)NC(=O)C(=C1c2ccc(Oc3ncccc3Cl)cc2)C,CHEMBL3697577,7.06,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4ccccc4n5ccnc5)c6ccccc26,CHEMBL212844,7.06,pKi
CN1CCc2cc(cc3c2[C@H]1Cc4ccc(O)c(O)c34)c5ccccc5,CHEMBL465054,7.06,pKi
