SMILES,ChEMBL,target,metric
CCCN(CCC)CCC1=CC=CC2=C1CC(=O)N2,ropinirole,7.43,pKi
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,prochlorperazine,8.611,pKi
CCN1CCCC1CNC(=O)C1=C(OC)C=C(N)C(=C1)S(=O)(=O)CC,amisulpride,8.4946,pKi
Brc1ccc2OCC3CN(Cc4ccccc4)CC3c2c1,CHEMBL418321,7.0,pKi
C(CCc1nc2ccccc2s1)CN3CCN(CC3)c4ncccn4,CHEMBL2037521,7.0,pKi
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1,risperidone,7.0,pKi
CCCCCOc1ccc2CC3N(CCc4cc(OC)c(O)cc34)Cc2c1OC,CHEMBL3780140,7.0,pKi
CCCN(CCCCN1CCN(CC1)c2cccc(Cl)c2Cl)Cc3csc4ccccc34,CHEMBL1774544,7.0,pKi
CCCN1C(=O)N2C[C@@H](Cc3cccc1c23)NC,CHEMBL3799157,7.0,pKi
CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12,CHEMBL240773,7.0,pKi
CCN1[C@@H](CC[C@@H]1c2ccc([nH]2)c3cc(ccc3OC)S(=O)(=O)CC)c4ccccc4,CHEMBL2367896,7.0,pKi
CCS(=O)(=O)c1ccc(OC)c(c1)c2ccc(CN3CCCCCC3c4ccccc4C)[nH]2,CHEMBL325060,7.0,pKi
CN1CCCc2ccccc2Cc3ccc(O)cc3CC1,CHEMBL231070,7.0,pKi
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,clozapine,7.0,pKi
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,olanzapine,7.0,pKi
CNc1cc(OC)c(cc1Cl)C(=O)N[C@H]2CN(Cc3ccccc3)C[C@H]2C,CHEMBL326454,7.0,pKi
COC(=O)Nc1cccc(CCN2CCN(CC2)c3cccc4nc(C)ccc34)c1,CHEMBL1631532,7.0,pKi
COc1c(cc(Br)c2ccccc12)C(=O)NCCN3CCN(CC3)c4ccc(Cl)cc4Cl,CHEMBL168908,7.0,pKi
COc1cc(CN2CCN(CC2)C3CCCCC3)ccc1OCCCc4cn(CCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4,CHEMBL1803055,7.0,pKi
COc1cc2CCN3Cc4c(CC3c2cc1O)ccc(O)c4OC,CHEMBL595489,7.0,pKi
COc1ccc2[nH]cc(CN3CCC(O)(CC3)c4ccc(I)cc4)c2c1.OC(=O)C(=O)O,CHEMBL1173288,7.0,pKi
COc1cccc2Cc3ccccc3[C@@H]4CN(C)CCN4c12,CHEMBL113238,7.0,pKi
COc1ccccc1N2CCN(CCCNC(=O)c3ccc(COCCOCCOCCOCCOCCOCc4ccc(cc4)C(=O)NCCCN5CCN(CC5)c6ccccc6OC)cc3)CC2,CHEMBL1928127,7.0,pKi
COc1ccccc1N2CCN(Cc3cccc(CNC(=O)c4ccc5ccccc5c4)c3)CC2.OC(=O)C(=O)O,CHEMBL127807,7.0,pKi
Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc(NC(=O)c5ccccc5)c4)CC3,CHEMBL1632210,7.0,pKi
Clc1cccc(c1)N2CCN(CCN3CCCC(C3)OCc4ccccc4)C2=O,CHEMBL557110,7.0,pKi
FC(F)(F)c1ccc2c(ccnc2c1)N3CCN(CCCCNC(=O)c4cn5ccccc5n4)CC3,CHEMBL3323000,7.0,pKi
N#Cc1ccc2OCC3CN(Cc4ccccc4)CC3c2c1,CHEMBL302416,7.0,pKi
O=C1Cc2ccccc2C(=C3CCN(CCCCN4C(=O)c5ccccc5C4=O)CC3)c6ccsc16,CHEMBL393775,7.0,pKi
OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c4ccc(Cl)cc4,CHEMBL445102,7.0,pKi
COc1ccc2[nH]cc(CN3CCC(O)(CC3)c4ccc(Br)cc4)c2c1,CHEMBL1170096,7.01,pKi
COc1ccc2onc(N3CCN(CCCCNC(=O)c4oc5c(OC)cccc5c4)CC3)c2c1,CHEMBL198404,7.01,pKi
COc1ccccc1N2CCN(CC(O)CCNC(=O)c3ccc4ccccc4n3)CC2,CHEMBL3597646,7.01,pKi
