SMILES,ChEMBL,target,metric
OC(=O)C(=O)CC(=O)c1oc(cc1)c2ccc(Cl)cc2,CHEMBL183027,6.01,pIC50
OC(=O)C(=O)CC(=O)c1ccc(s1)c2ccc(Cl)c(F)c2,CHEMBL361960,6.05,pIC50
COc1ccc(cc1)c2ccc(Cl)c(c2)C(=O)CC(=O)C(=O)O,CHEMBL182748,6.24,pIC50
OC(=O)C(=O)CC(=O)c1ccc(s1)c2ccc(OC(F)(F)F)cc2,CHEMBL182756,6.51,pIC50
Cc1csc2C(=O)N(O)C(=O)N(Cc3cccc(c3)c4ccc(cc4)C(=O)N)c12,CHEMBL181907,7.52,pIC50
COc1ccc(cc1)N2C(=O)N(O)C(=O)c3c(C)csc23,CHEMBL362205,8.07,pIC50
CN1C(=O)N(O)C(=O)c2c(C)csc12,CHEMBL181637,8.34,pIC50
Cc1csc2N(Cc3ccccc3)C(=O)N(O)C(=O)c12,CHEMBL181709,8.4,pIC50
COc1cc(CN2C(=O)N(O)C(=O)c3c(C)csc23)cc4OCOc14,CHEMBL182519,8.52,pIC50
ON1C(=O)N(Cc2ccccc2)c3sccc3C1=O,CHEMBL182974,8.7,pIC50
CC(=O)Nc1cccc(c1)c2cccc(CN3C(=O)N(O)C(=O)c4sccc34)c2,CHEMBL182077,9.26,pIC50
ON1C(=O)N(Cc2cccc(Br)c2)c3ccsc3C1=O,CHEMBL185322,9.26,pIC50
ON1C(=O)Nc2c(occ2c3ccc(Br)cc3)C1=O,CHEMBL180566,9.49,pIC50
ON1C(=O)N(CC2COc3ccccc3O2)c4ccsc4C1=O,CHEMBL361546,9.54,pIC50
ON1C(=O)Nc2c(occ2c3ccccc3)C1=O,CHEMBL183539,9.56,pIC50
CC(C)(C)c1cc2NC(=O)N(O)C(=O)c2s1,CHEMBL360615,9.59,pIC50
ON1C(=O)Nc2c(oc3ccccc23)C1=O,CHEMBL181766,9.59,pIC50
COc1ccc(cc1)c2coc3C(=O)N(O)C(=O)Nc23,CHEMBL359747,9.64,pIC50
NC(=O)c1ccc(cc1)c2cccc(CN3C(=O)N(O)C(=O)c4sccc34)c2,CHEMBL181962,9.65,pIC50
COc1cccc(c1)c2coc3C(=O)N(O)C(=O)Nc23,CHEMBL185325,9.67,pIC50
ON1C(=O)Nc2cc(sc2C1=O)c3ccccc3,CHEMBL183062,9.7,pIC50
ON1C(=O)Nc2cccc(Cl)c2C1=O,CHEMBL182687,9.73,pIC50
ON1C(=O)Nc2ccccc2C1=O,CHEMBL183852,9.8,pIC50
ON1C(=O)Nc2sc3CCCCc3c2C1=O,CHEMBL362842,9.8,pIC50
Cc1csc2NC(=O)N(O)C(=O)c12,CHEMBL183792,9.84,pIC50
ON1C(=O)Nc2c(occ2c3ccc(cc3)c4ccccc4)C1=O,CHEMBL364591,9.87,pIC50
Cc1ccc(cc1)c2coc3C(=O)N(O)C(=O)Nc23,CHEMBL182381,9.89,pIC50
ON1C(=O)Nc2sccc2C1=O,CHEMBL361350,10.0,pIC50
ON1C(=O)Nc2c(Cc3ccccc3)coc2C1=O,CHEMBL183133,10.21,pIC50
ON1C(=O)Nc2c(sc3ccccc23)C1=O,CHEMBL359533,10.21,pIC50
ON1C(=O)Nc2c(csc2C1=O)c3ccccc3,CHEMBL361011,10.55,pIC50
ON1C(=O)Nc2c(scc2S(=O)(=O)c3ccccc3)C1=O,CHEMBL361962,10.64,pIC50
