SMILES,ChEMBL,target,metric
[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,etoposide,7.30000019,pIC50
[H][C@@]1(C[C@H](N)[C@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)CO,doxorubicin,6.0,pIC50
CCCCCc1ccc(cc1)c2cn(nn2)C3COC4=C(Br)C(=O)C(=O)c5cccc3c45,CHEMBL2424901,6.04,pIC50
CN(C)CCCCn1c(N)c(c2nc3ccccc3[nH]2)c4nc(C#N)c(nc14)C#N,CHEMBL3759668,6.05,pIC50
N[C@H]1CCN(C1)c2c(F)cc3C(=O)C(=CN4c5ccc6c(ccc7ccccc67)c5Oc2c34)C(=O)O,CHEMBL155344,6.16,pIC50
CC(C)(O)CC(=O)C(CNCC=O)C1=CC(=O)c2nccc3c4ccccc4nc1c23,CHEMBL2296494,6.19,pIC50
CC(=CC(=O)C(CNCC=O)C1=CC(=O)c2nccc3c4ccccc4nc1c23)C,CHEMBL2296497,6.23,pIC50
C\C=C(/C)\C(=O)C(CNCC=O)C1=CC(=O)c2nccc3c4ccccc4nc1c23,CHEMBL2296496,6.23,pIC50
OC1=C(Oc2cc(O)cc(O)c2C1=O)c3cc(O)c(O)c(O)c3,CHEMBL164,6.41,pIC50
COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(OC(=O)CNCCCl)c(OC)c2)ccc1OC(=O)CNCCCl,CHEMBL2260090,6.46,pIC50
COC1=C(CCNC(=O)C)c2nc3ccccc3c4ccnc(C1=O)c24,CHEMBL2296490,6.88,pIC50
COc1cc(CCNC(=O)C=C(C)C)c2Nc3ccccc3c4ccnc1c24,CHEMBL2296492,6.9,pIC50
CCC(=O)NCCC1=C(SC)C(=O)c2nccc3c4ccccc4nc1c23,CHEMBL2296491,7.12,pIC50
N[C@@H]1CCN(C1)c2c(F)cc3C(=O)C(=CN4c5ccc6c(ccc7ccccc67)c5Oc2c34)C(=O)O,CHEMBL346068,7.22,pIC50
