SMILES,ChEMBL,target,metric
ON1C(=O)Nc2ncccc12,CHEMBL2152718,6.0,pIC50
OC1=CC(=CNC1=O)Cl,CHEMBL2338783,6.03,pIC50
OC1=Cc2ccccc2OC1=O,CHEMBL150372,6.03,pIC50
Cc1cc(n[nH]1)C(=O)O,CHEMBL391574,6.04,pIC50
OC1=COC(=CC1=O)COc2cccc3ccccc23,CHEMBL2397744,6.05,pIC50
OC1=COC(=CC1=O)COc2ccccc2,CHEMBL2397739,6.05,pIC50
ON1C(=O)Nc2cc(F)ccc12,CHEMBL2152735,6.05,pIC50
OC1=NN(CC(=O)c2ccccc2)C(=O)NC1=O,CHEMBL3613949,6.07,pIC50
OC1=COC(=CC1=O)COc2ccc(F)cc2,CHEMBL2397740,6.1,pIC50
OC1=COC(=CC1=O)COc2ccc3ccccc3c2,CHEMBL2397745,6.1,pIC50
ON1C(=O)Nc2c3OCCc3ccc12,CHEMBL2152732,6.1,pIC50
OC1=Cc2ccncc2NC1=O,CHEMBL510126,6.11,pIC50
OC1=NN(CCc2ccccn2)C(=O)NC1=O,CHEMBL3613923,6.12,pIC50
OC(=O)c1cc2ccccc2[nH]1,CHEMBL278390,6.13,pIC50
OC(=O)c1cc(CCc2ccc(Cl)cc2)c[nH]1,CHEMBL453239,6.16,pKd
OC1=COC(=CC1=O)COc2ccc(Cl)cc2,CHEMBL2397741,6.16,pIC50
OC1=NC(=NNC1=O)SCc2cccc(c2)c3ccccc3,CHEMBL3787629,6.16,pIC50
CC(C)(C)CCC1=NNC(=O)C(=C1)O,CHEMBL2338793,6.17,pIC50
OC1=NC(=NNC1=O)SCC2CCCCC2,CHEMBL3787311,6.22,pIC50
ON1C(=O)Nc2ccccc12,CHEMBL2152720,6.22,pIC50
OC1=CC(=NNC1=O)\C=C\c2ccc(Cl)cc2,CHEMBL2338791,6.24,pIC50
OC(=O)c1cc2scnc2[nH]1,CHEMBL496304,6.29,pIC50
OC1=COC(=CC1=O)CCc2ccccc2,CHEMBL2397822,6.3,pIC50
OC1=COC(=CC1=O)COc2ccc(Cl)c(Cl)c2,CHEMBL2397742,6.3,pIC50
Oc1noc2cc(Cl)ccc12,CHEMBL445990,6.3,pIC50
OC(CN1N=C(O)C(=O)NC1=O)c2ccccc2,CHEMBL3613950,6.33,pIC50
OC1=NN(CCn2cnc3ccccc23)C(=O)NC1=O,CHEMBL3613925,6.36,pIC50
OC1=NN(CC(F)(F)c2ccccc2)C(=O)NC1=O,CHEMBL3613948,6.4,pIC50
ON1C(=O)Nc2ccc(F)cc12,CHEMBL2152740,6.4,pIC50
Cc1c(F)cnc2NC(=O)C(=O)Nc12,CHEMBL3805642,6.47,pIC50
OC(=O)c1oc(Cl)c(Cl)c1,CHEMBL511101,6.47,pIC50
OC1=NN(CCn2cccn2)C(=O)NC1=O,CHEMBL3613924,6.48,pIC50
OC1=NN(CCn2ccc3cccnc23)C(=O)NC1=O,CHEMBL3613926,6.51,pIC50
CC(C)(C)c1ccc(CSC2=NNC(=O)C(=N2)O)cc1,CHEMBL3787187,6.52,pIC50
OC1=CC(=NNC1=O)C2CCCCC2,CHEMBL2338792,6.52,pIC50
OC1=COC(=CC1=O)CSc2ccc(F)cc2,CHEMBL2158321,6.52,pIC50
COc1ccccc1CCN2N=C(O)C(=O)NC2=O,CHEMBL3613938,6.57,pIC50
OC(=O)c1cc2ccsc2[nH]1,CHEMBL496305,6.57,pIC50
CC(C)CCN1N=C(O)C(=O)NC1=O,CHEMBL3613914,6.59,pIC50
OC1=CC(=NNC1=O)CCc2cc(cc(c2)C(F)(F)F)C(F)(F)F,CHEMBL2338804,6.6,pIC50
OC(=O)c1cc2sccc2[nH]1,CHEMBL507614,6.61,pIC50
OC1=NN(CCc2cccc(Oc3ccccc3)c2)C(=O)NC1=O,CHEMBL3613944,6.62,pIC50
OC1=CC(=NNC1=O)CCCc2ccccc2,CHEMBL2338788,6.63,pIC50
Brc1ccnc2NC(=O)C(=O)Nc12,CHEMBL3804953,6.64,pIC50
OC(=O)c1cc2occ(CCc3ccccc3)c2[nH]1,CHEMBL2375519,6.66,pIC50
OC1=NN(Cc2ccc3ccccc3c2)C(=O)NC1=O,CHEMBL3613920,6.66,pIC50
OC(=O)c1cc2occc2[nH]1,CHEMBL492591,6.67,pIC50
Clc1ccnc2NC(=O)C(=O)Nc12,CHEMBL3804851,6.68,pIC50
Cc1cccc2N(O)C(=O)Nc12,CHEMBL2152722,6.7,pIC50
OC1=COC(=CC1=O)CSc2ccc(Cl)cc2,CHEMBL2397748,6.7,pIC50
OC1=COC(=CC1=O)CSc2ccccc2,CHEMBL2158320,6.7,pIC50
OC1=NC(=NNC1=O)SCc2noc3ccccc23,CHEMBL3785419,6.7,pIC50
Cc1ccc2C=C(O)C(=O)Nc2c1,CHEMBL502372,6.71,pIC50
OC1=NN(CCc2cccc(O)c2)C(=O)NC1=O,CHEMBL3613942,6.8,pIC50
OC1=Cc2cc(Cl)ccc2NC1=O,CHEMBL463562,6.81,pIC50
CC1=CNC(=O)C(=C1)O,CHEMBL2338784,6.85,pIC50
OC1=Cc2ncccc2NC1=O,CHEMBL447057,6.89,pIC50
COc1ccc(CCN2N=C(O)C(=O)NC2=O)cc1,CHEMBL3613940,6.92,pIC50
COc1cccc(CCN2N=C(O)C(=O)NC2=O)c1,CHEMBL3613939,6.92,pIC50
