SMILES,ChEMBL,target,metric
COc1ccc(cc1OCCNS(=O)(=O)C)c2nc([C@@H](C)Sc3nc(N)cc(N)n3)c(C)s2,CHEMBL3358097,7.56,pIC50
Cc1cc(Cl)ccc1Oc2cc(ncn2)N3CCC(CC3)Oc4ncc(F)c(N)n4,CHEMBL1081544,7.57,pEC50
CCCc1sc(nc1CSc2nc(N)cc(N)n2)c3ccc(OC)c(O)c3,CHEMBL2426568,7.58,pIC50
Nc1nc(OC2CCN(CC2)c3cc(Oc4ccccc4c5ccccc5)ncn3)ncc1F,CHEMBL1081350,7.59,pEC50
COc1ccc(cc1OCCF)c2nc(C(C)Sc3nc(N)cc(N)n3)c(C)s2,CHEMBL3358094,7.61,pIC50
COc1cccc(Oc2cc(ncn2)N3CCC(CC3)Oc4ncc(F)c(N)n4)c1,CHEMBL1076272,7.64,pIC50
NC1=NC(=O)N(C=C1F)[C@H]2CC[C@@H](C2)NC(=O)c3cccc(c3)c4cccc(Cl)c4,CHEMBL1076274,7.64,pIC50
CCCc1sc(nc1CSc2nccc(N)n2)c3ccc(OC)c(OCC(C)(C)O)c3,CHEMBL3358091,7.66,pIC50
Nc1nc(OC2CCN(CC2)c3cc(Oc4cccc(Cl)c4)ncn3)ncc1F,CHEMBL1081352,7.66,pIC50
Cc1c(Oc2ccccc2C#N)ncnc1N3CCC(CC3)Oc4ncc(F)c(N)n4,CHEMBL1080817,7.68,pIC50
Cc1cc(Cl)ccc1c2cccc(c2)C(=O)N[C@H]3CC[C@@H](C3)N4C=C(F)C(=NC4=O)N,CHEMBL1079784,7.68,pIC50
Cc1cc(Cl)ccc1c2cccc(c2)S(=O)(=O)N[C@H]3CC[C@@H](C3)N4C=C(F)C(=NC4=O)N,CHEMBL1079432,7.68,pIC50
Cc1ccc(Oc2cc(ncn2)N3CCC(CC3)Oc4ncc(F)c(N)n4)cc1,CHEMBL1079602,7.68,pIC50
NC1=NC(=O)N(C=C1F)[C@H]2CC[C@@H](C2)NS(=O)(=O)c3cccc(c3)c4ccc(Cl)cc4Cl,CHEMBL1079771,7.68,pIC50
Nc1nc(OC2CCN(CC2)c3ncnc(Oc4ccc(cc4)C#N)c3F)ncc1F,CHEMBL1081727,7.7,pEC50
Cc1ccccc1Oc2cc(ncn2)N3CCC(CC3)Oc4ncc(F)c(N)n4,CHEMBL1079603,7.72,pEC50
Nc1nc(OC2CCN(CC2)c3cc(Oc4ccc(Cl)cc4)ncn3)ncc1F,CHEMBL1081351,7.72,pIC50
CCCc1sc(nc1CSc2nc(N)cc(N)n2)c3ccc(OCCO)c(OCCO)c3,CHEMBL2426567,7.75,pIC50
COc1ccc(cc1OCCF)c2nc(CSc3nc(N)cc(N)n3)c(C)s2,CHEMBL2426588,7.75,pIC50
COc1ccccc1Oc2cc(ncn2)N3CCC(CC3)Oc4ncc(F)c(N)n4,CHEMBL1079601,7.77,pEC50
NC1=NC(=O)N(C=C1F)[C@H]2CC[C@@H](C2)NC(=O)c3cc(ccn3)c4cc5ccccc5s4,CHEMBL1080444,7.77,pEC50
CCCc1sc(nc1C(C)Sc2nc(N)cc(N)n2)c3ccc(OC)c(OCCF)c3,CHEMBL3358093,7.78,pKi
CCCc1sc(nc1CSc2nc(N)cc(N)n2)c3cccc(OCCNS(=O)(=O)C)c3,CHEMBL2426565,7.78,pIC50
Nc1nc(OC2CCN(CC2)c3cc(Oc4ccccc4F)ncn3)ncc1F,CHEMBL1081901,7.82,pEC50
CCCc1sc(nc1CSc2nc(N)cc(N)n2)c3ccc(OC)c(OCC(C)(C)O)c3,CHEMBL2426573,7.84,pIC50
CCCc1sc(nc1CSc2nc(N)cc(N)n2)c3ccc(OC)c(OCCO)c3,CHEMBL2426570,7.84,pIC50
CCCc1sc(nc1CSc2nc(N)cc(N)n2)c3ccc(OC)c(OCCNS(=O)(=O)C)c3,CHEMBL2426574,7.85,pIC50
CCOc1cc(ccc1OCCOCCOCCOC)c2nc([C@@H](C)Sc3nc(N)cc(N)n3)c(C)s2,CHEMBL3358096,7.85,pKi
COc1ccc(Oc2ncnc(N3CCC(CC3)Oc4ncc(F)c(N)n4)c2F)cc1,CHEMBL1079379,7.85,pEC50
Nc1nc(OC2CCN(CC2)c3cc(Oc4ccccc4C#N)ncn3)ncc1F,CHEMBL1079906,7.85,pEC50
Nc1nc(OC2CCN(CC2)c3cc(Oc4cccc(c4)C#N)ncn3)ncc1F,CHEMBL1079907,7.89,pIC50
Nc1nc(OC2CCN(CC2)c3cc(Oc4ccccc4Cl)ncn3)ncc1F,CHEMBL1080443,7.89,pEC50
Nc1nc(OC2CCN(CC2)c3ncnc(Oc4cccc(c4)C#N)c3F)ncc1F,CHEMBL1079380,7.89,pEC50
