SMILES,ChEMBL,target,metric
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC3CCCC3)c2,CHEMBL3664446,6.0,pIC50
CCC[C@@H](C)Oc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O,CHEMBL3664452,6.03,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OC3CCOC3)c2,CHEMBL3664503,6.03,pIC50
C[C@@H](NS(=O)(=O)c1ccc(CN2C=CC(=O)NC2=O)cc1)c3cccc(OCC4CC4)c3,CHEMBL2147982,6.03,pEC50
FC(F)C(F)(F)Oc1cccc(c1)C(NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O)c3ccccc3,CHEMBL3664399,6.03,pIC50
O=C1NC(=O)N(COCCCS(=O)(=O)NC(c2ccccc2)c3cccc(OCC4CCC4)c3)C=C1,CHEMBL3664411,6.05,pIC50
CC[C@@](O)(CNS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2ccc(F)c(OC3CCCC3)c2,CHEMBL3659892,6.06,pIC50
C[C@H](Cn1nncc1CCCCN2C=CC(=O)NC2=O)c3cccc(OCC4CC4)c3,CHEMBL2163853,6.06,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OC(CF)CF)c2,CHEMBL3664437,6.07,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OC(F)(F)C(F)F)c2,CHEMBL3664432,6.08,pIC50
CCC[C@H](C)Oc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O,CHEMBL3664451,6.12,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC=C)c2,CHEMBL3664450,6.13,pIC50
O=C1NC(=O)N(CCCCc2cnnn2CC(c3ccccc3)c4ccccc4)C=C1,CHEMBL2163869,6.13,pIC50
CC[C@H](C)COc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O,CHEMBL3664440,6.14,pIC50
CC[C@H](Cn1nncc1CCCCN2C=CC(=O)NC2=O)c3cccc(OCC4CC4)c3,CHEMBL2163855,6.14,pIC50
C[C@@H](NS(=O)(=O)CCCN1C=CC(=O)NC1=O)c2ccc(F)c(OCC3CC3)c2,CHEMBL3664505,6.18,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC(F)(F)C(F)(F)F)c2,CHEMBL3664453,6.18,pIC50
Fc1ccc(CNS(=O)(=O)CCCOCN2C=CC(=O)NC2=O)cc1OCC3CC3,CHEMBL3659895,6.19,pIC50
O=C1NC(=O)N(COCCCCNS(=O)(=O)c2cccc(OCC3CC3)c2)C=C1,CHEMBL3664498,6.19,pIC50
CC[C@@](O)(Cn1nncc1CCCCN2C=CC(=O)NC2=O)c3cccc(OCC4(C)CC4)c3,CHEMBL2163859,6.2,pIC50
CC(C)COc1cccc(c1)C(NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O)c3ccccc3,CHEMBL3664400,6.22,pIC50
CC[C@@H](NS(=O)(=O)CCCCCN1C=CC(=O)NC1=O)c2cccc(OCC3CC3)c2,CHEMBL3664466,6.22,pIC50
CC[C@@H](NS(=O)(=O)CCCN1C=CC(=O)NC1=O)c2cccc(OCC3CC3)c2,CHEMBL3699015,6.22,pIC50
C[C@@H](NS(=O)(=O)c1ccc(CN2C=CC(=O)NC2=O)cc1)c3cccc(OC4CCCC4)c3,CHEMBL2147983,6.22,pEC50
C[C@@H](NS(=O)(=O)c1ccc(CN2C=CC(=O)NC2=O)cc1)c3cccc(OCC(F)F)c3,CHEMBL2147984,6.22,pEC50
O=C1NC(=O)N(COCCCS(=O)(=O)NCc2cccc(OC3CCC3)c2)C=C1,CHEMBL3659893,6.22,pIC50
OC([C@@H]1CCCN1C(=O)CCCN2C=CC(=O)NC2=O)(c3ccc(F)cc3)c4ccc(F)cc4,CHEMBL2048470,6.22,pIC50
CC[C@@H](NS(=O)(=O)c1ccc(CN2C=CC(=O)NC2=O)cc1)c3ccc(F)c(OCC4CC4)c3,CHEMBL3664504,6.24,pIC50
Fc1ccc(cc1)[C@@H](NS(=O)(=O)CCCN2C=CC(=O)NC2=O)c3cccc(OCC4CC4)c3,CHEMBL3664476,6.24,pIC50
OC([C@@H]1CCCN1C(=O)CCCN2C=CC(=O)NC2=O)(c3cccc(Cl)c3)c4cccc(Cl)c4,CHEMBL2048471,6.24,pIC50
CC[C@@](O)(Cn1nncc1CCCCN2C=CC(=O)NC2=O)c3cccc(OCC(C)C)c3,CHEMBL2163860,6.26,pIC50
CC(C)(NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC3CC3)c2,CHEMBL2057600,6.28,pIC50
O=C1NC(=O)N(CCCCCS(=O)(=O)NCc2cccc(OCC3CC3)c2)C=C1,CHEMBL3664467,6.28,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC(C)(C)C)c2,CHEMBL3664433,6.29,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCCC3CC3)c2,CHEMBL3664454,6.29,pIC50
CC(NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC3CC3)c2,CHEMBL2057601,6.31,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC3(C)CC3)c2,CHEMBL3664441,6.31,pIC50
OC(C1CCCN1S(=O)(=O)CCCN2C=CC(=O)NC2=O)(c3ccccc3)c4ccccc4,CHEMBL3664506,6.32,pIC50
C[C@@H](Oc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O)C#C,CHEMBL3664444,6.33,pIC50
CC[C@@H](C)Oc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O,CHEMBL3664447,6.34,pIC50
COc1cccc(c1)S(=O)(=O)NC(C)(C)CC\C=C\CN2C=CC(=O)NC2=O,CHEMBL2147978,6.35,pEC50
CC[C@H](C)Oc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O,CHEMBL3664448,6.37,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OC(F)(F)C(F)(F)F)c2,CHEMBL3664436,6.39,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCCF)c2,CHEMBL3664445,6.39,pIC50
O=C1NC(=O)N(C\C=C\CCS(=O)(=O)NCc2cccc(OCC3CC3)c2)C=C1,CHEMBL3664475,6.39,pIC50
OC(C1CCCN1S(=O)(=O)CCCN2C=CC(=O)NC2=O)(c3ccc(F)cc3)c4ccc(F)cc4,CHEMBL3664507,6.4,pIC50
O=C1NC(=O)N(CCCCc2cnnn2CCc3ccccc3OCC4CC4)C=C1,CHEMBL2163877,6.41,pIC50
OC(C1CCCN1S(=O)(=O)CCCN2C=CC(=O)NC2=O)(c3cccc(F)c3)c4cccc(F)c4,CHEMBL3664508,6.42,pIC50
C[C@H](Oc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O)C#C,CHEMBL3664443,6.43,pIC50
CC(C)(NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2ccc(F)c(OCC3CC3)c2,CHEMBL3664410,6.44,pIC50
CC[C@@](O)(Cn1nncc1CCCCN2C=CC(=O)NC2=O)c3cccc(OCC=C)c3,CHEMBL2163861,6.44,pIC50
O=C1NC(=O)N(COCCCS(=O)(=O)NC(C2CC2)c3cccc(OCC4CC4)c3)C=C1,CHEMBL3664412,6.44,pIC50
CC[C@](O)(Cn1nncc1CCCCN2C=CC(=O)NC2=O)c3ccc(F)c(OCC4CC4)c3,CHEMBL2163867,6.46,pIC50
Fc1ccc(cc1)[C@@H](NS(=O)(=O)CCCN2C=CC(=O)NC2=O)c3ccc(F)c(OCC4CC4)c3,CHEMBL3664478,6.46,pIC50
OC([C@@H]1CCCN1C(=O)CCCN2C=CC(=O)NC2=O)(c3cccc(F)c3)c4cccc(F)c4,CHEMBL2048469,6.46,pIC50
CC(C)(COCCCN1C=CC(=O)NC1=O)NS(=O)(=O)c2cccc(OCC3CC3)c2,CHEMBL3664511,6.48,pIC50
CC(C)C(NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OCC3CC3)c2,CHEMBL3664413,6.48,pIC50
C[C@@H](NS(=O)(=O)CCCOCN1C=CC(=O)NC1=O)c2cccc(OC3CC3)c2,CHEMBL3659899,6.48,pIC50
O=C1NC(=O)N(COCCCS(=O)(=O)NCc2cccc(OCC3CC3)c2)C=C1,CHEMBL3664502,6.48,pIC50
O=C1NC(=O)N(COCCCS(=O)(=O)N[C@H](C2CC2)c3cccc(OC4CCCC4)c3)C=C1,CHEMBL3664424,6.48,pIC50
OC([C@H]1CCCN1S(=O)(=O)CCCN2C=CC(=O)NC2=O)(c3ccccc3)c4ccccc4,CHEMBL1234349,6.5,pIC50
CC(C)COc1cccc(c1)[C@@H](C)NS(=O)(=O)CCCOCN2C=CC(=O)NC2=O,CHEMBL3664439,6.51,pIC50
OC([C@H]1CCCN1S(=O)(=O)CCCN2C=CC(=O)NC2=O)(c3ccc(F)cc3)c4ccc(F)cc4,CHEMBL2048481,6.51,pIC50
O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)CP(=O)(O)OP(=O)(O)OCc2ccccc2)N3C=CC(=O)NC3=O,CHEMBL2048443,6.52,pKi
OC([C@@H]1CCCN1C(=O)CCCN2C=CC(=O)NC2=O)(c3ccccc3)c4ccccc4,CHEMBL2046464,6.54,pIC50
O=C1NC(=O)N(COCCCS(=O)(=O)NC2(CCCC2)c3cccc(OCC4CC4)c3)C=C1,CHEMBL3664421,6.55,pIC50
OC([C@H]1CCCN1S(=O)(=O)CCCN2C=CC(=O)NC2=O)(c3cccc(F)c3)c4cccc(F)c4,CHEMBL2048480,6.55,pIC50
O=C1NC(=O)N(CC2CCN(CC2)S(=O)(=O)NCc3cccc(OCC4CC4)c3)C=C1,CHEMBL3664480,6.57,pIC50
O=C1NC(=O)N(COCCCS(=O)(=O)NCc2cccc(OC3CCCC3)c2)C=C1,CHEMBL3664405,6.57,pIC50
CC(C)(CCCOCN1C=CC(=O)NC1=O)NS(=O)(=O)c2cccc(OCC3CC3)c2,CHEMBL2057599,6.59,pIC50
O=C1NC(=O)N(CCCCc2cnnn2CCc3cccc(OCC4CC4)c3)C=C1,CHEMBL2163851,6.59,pEC50
