SMILES,ChEMBL,target,metric
CCOP(=O)(\C=C\c1ccccc1)N2Cc3ccccc3CC2C(=O)NO,CHEMBL172722,6.04,pIC50
CCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3cccs3,CHEMBL367710,6.05,pIC50
CCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3cccc(F)c3,CHEMBL172415,6.08,pIC50
CCCCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccc(OC)cc3,CHEMBL368205,6.09,pIC50
CCOP(=O)(N1Cc2[nH]c3ccccc3c2CC1C(=O)NO)c4ccc(OC)cc4,CHEMBL172249,6.1,pIC50
CCOP(=O)(CCc1ccccc1)N2Cc3ccccc3CC2C(=O)NO,CHEMBL175164,6.16,pIC50
CCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccc(N)cc3,CHEMBL436049,6.18,pIC50
CCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccc(Oc4ccncc4)cc3,CHEMBL173686,6.18,pIC50
CCOP(=O)(N1Cc2nccnc2CC1C(=O)NO)c3ccc(OC)cc3,CHEMBL177072,6.25,pIC50
CCOP(=O)(N1Cc2ccsc2CC1C(=O)NO)c3ccc(OC)cc3,CHEMBL173316,6.28,pIC50
CCOCCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccc(OC)cc3,CHEMBL368857,6.29,pIC50
CCOP(=O)(N1CCN(CC1C(=O)NO)C(=O)OCc2ccccc2)c3ccc(OC)cc3,CHEMBL173235,6.37,pIC50
CCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccccc3,CHEMBL172548,6.43,pIC50
CCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccc(F)cc3,CHEMBL172885,6.52,pIC50
CCOP(=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccc(Oc4ccccc4)cc3,CHEMBL355797,6.59,pIC50
CCO[P@](=O)(N1Cc2ccccc2CC1C(=O)NO)c3ccc(OC)cc3,CHEMBL366478,6.64,pIC50
CCOP(=O)(N1Cc2cc(N)ccc2CC1C(=O)NO)c3ccc(OC)cc3,CHEMBL171962,6.72,pIC50
COc1ccc(cc1)P(=O)(OCCc2ccccn2)N3Cc4ccccc4CC3C(=O)NO,CHEMBL173027,6.75,pIC50
CC1(C)SCCN(C1C(=O)NO)S(=O)(=O)c2ccc(OCC#CCO)cc2,CHEMBL3392650,7.07,pIC50
CCOCCOc1ccc(cc1)P(=O)(OCC)N2Cc3ccccc3CC2C(=O)NO,CHEMBL353536,7.16,pIC50
COc1ccc(cc1)P(=O)(OC)N2Cc3ccccc3CC2C(=O)NO,CHEMBL170315,7.16,pIC50
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(=O)O,CHEMBL296588,7.25,pIC50
CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO,CHEMBL19611,7.25,pIC50
