SMILES,ChEMBL,target,metric
[H][C@]1(CCCCN1)C1(O)CN(C1)C(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1,cobimetinib,9.04575729,pIC50
CN1C(=O)C(C)=C2N(C(=O)N(C3CC3)C(=O)C2=C1NC1=C(F)C=C(I)C=C1)C1=CC(NC(C)=O)=CC=C1,trametinib,8.744727,pIC50
CC(=O)c1c(F)c(C(=O)NOC[C@H](O)CO)c(Nc2ccc(I)cc2F)n1C,CHEMBL1171014,7.54,pIC50
CCC(=O)N(Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F)OC,CHEMBL3640632,7.54,pIC50
CNS(=O)(=O)Nc1cccc(CC2=C(C)c3cc(C)c(OC(=O)N(C)C)cc3OC2=O)c1,CHEMBL3092179,7.54,pIC50
COc1cc2c(Nc3ccc(Cc4cccnc4)cc3)c(cnc2cc1OCCCN5CCOCC5)C#N,CHEMBL287852,7.54,pIC50
COc1cccc(Oc2ccc(Nc3c(cnn4cc(NC(=O)NCCN5CCOCC5)c(C)c34)C#N)cc2)c1,CHEMBL414856,7.54,pIC50
OCCONC(=O)C1=C2CCCN2C(=O)C=C1Nc3ccc(I)cc3F,CHEMBL2012907,7.54,pIC50
CC(=O)Nc1cccc(Oc2cc(F)cc(Nc3ccc(I)cc3F)c2C(=O)N)c1,CHEMBL2376684,7.55,pIC50
CC(O)C\N=C(/N)\c1c(O)nsc1Nc2ccc(Oc3cc(Cl)ccc3Cl)cc2,CHEMBL385905,7.55,pIC50
CNC(=O)CONCc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F,CHEMBL3640627,7.55,pIC50
COCC(=O)N(Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F)OC,CHEMBL3640635,7.55,pIC50
COc1cc2c(Nc3ccc(Sc4nccn4C)c(C)c3)c(cnc2cc1OCCCN5CCOCC5)C#N,CHEMBL321078,7.55,pIC50
NC(=O)c1c(Oc2ccc(F)c(NS(=O)(=O)N)c2F)cc(F)c(F)c1Nc3ccc(I)cc3F,CHEMBL3746103,7.55,pIC50
CN(C)C(=O)Oc1ccc2C(=C(Cc3cccc(c3)[N+](=O)[O-])C(=O)Oc2c1)C,CHEMBL3402993,7.56,pIC50
