SMILES,ChEMBL,target,metric
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,sunitinib,7.66,pKd
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1,nintedanib,8.06,pKd
CN(Cc1nccs1)c2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1396483,7.55,pIC50
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CHEMBL388978,7.57,pKd
COc1ccc2c(c1)[nH]c3c(C)nccc23,CHEMBL269538,7.59,pIC50
Nc1cccc2c(c[nH]c12)c3nc(N)ncc3I,CHEMBL1802410,7.59,pIC50
Brc1ccc(CNc2nccc(n2)c3ccc4OCOc4c3)cc1Br,CHEMBL1899256,7.62,pIC50
Cc1oc(CNc2ncnc3ccc(cc23)c4ccc5OCOc5c4)cc1,CHEMBL1473127,7.65,pAC50
CN(Cc1occc1)c2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1374544,7.66,pIC50
CNC(=O)c1c(F)cccc1Nc2nc(Nc3cc4N(CCc4cc3OC)C(=O)CN(C)C)nc5[nH]ccc25,CHEMBL464552,7.68,pKd
Clc1ccc(CNc2nccc(n2)c3ccc4OCCOc4c3)cc1Cl,CHEMBL1904905,7.69,pAC50
CCOC(=O)c1c(\C(=C/N)\C#N)c2ccc(Cl)c(Cl)c2n1C,CHEMBL1236620,7.7,pIC50
CN(Cc1csc(C)n1)c2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1474834,7.7,pIC50
O=C1NC(=S)N/C/1=C\c2ccc3ncsc3c2,CHEMBL3775754,7.7,pIC50
CCN1\C(=C\C(=O)C)\Sc2ccc(OC)cc12,CHEMBL408982,7.72,pKd
C(Nc1ncnc2ccc(cc12)c3ccc4OCOc4c3)c5cccs5,CHEMBL567331,7.77,pAC50
CN(Cc1sccc1C)c2ncnc3ccc(cc23)c4oc(CO)cc4,CHEMBL1476609,7.79,pAC50
Cn1cc(C2=C(C(=O)NC2=O)c3cccc(NCC(O)CO)c3)c4cc(F)ccc14,CHEMBL1082152,7.8,pKd
CCN(Cc1cccs1)c2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1515144,7.85,pIC50
CN(Cc1sccc1C)c2ncnc3ccc(cc23)c4cocc4,CHEMBL1612677,7.86,pAC50
Brc1cc(Br)cc(CNc2nccc(n2)c3ccc4OCOc4c3)c1,CHEMBL2392365,7.89,pIC50
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5,CHEMBL509032,7.92,pKd
Cc1occc1CNc2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1476499,7.93,pAC50
C(Nc1ncnc2ccc(cc12)c3ccc4OCOc4c3)C5CCCO5,CHEMBL1552755,7.95,pAC50
C(Nc1nccc(n1)c2ccc3OCOc3c2)c4cccnc4,CHEMBL1877990,7.96,pIC50
CN(Cc1cccs1)c2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1591577,7.96,pIC50
C(Nc1ncnc2ccc(cc12)c3ccc4OCOc4c3)C5CCCOC5,CHEMBL1734733,8.0,pAC50
Cc1ccsc1CNc2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1396654,8.0,pAC50
C(Nc1ncnc2ccc(cc12)c3cocc3)c4cccs4,CHEMBL1410859,8.01,pAC50
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35,CHEMBL603469,8.02,pKd
Clc1ccc(CNc2nccc(n2)c3ccc4OCOc4c3)cc1Cl,CHEMBL1898197,8.1,pIC50
Clc1ccc(CNc2ccnc(n2)c3ccc4[nH]ncc4c3)cc1Cl,CHEMBL1898211,8.11,pAC50
COc1ccc(cc1)c2nccc(NCc3ccc(C)cc3)n2,CHEMBL1901314,8.16,pAC50
Clc1ccc(CNc2nccc(n2)c3ccc4[nH]ncc4c3)cc1Cl,CHEMBL1892019,8.17,pAC50
C(Nc1ncnc2ccc(cc12)c3ccc4OCOc4c3)C5CCCC5,CHEMBL1354134,8.44,pAC50
CCCNc1ncnc2ccc(cc12)c3ccc4OCOc4c3,CHEMBL1702086,8.5,pAC50
CCOC(=O)c1oc(cc1)c2ccc3ncnc(NCc4oc(C)cc4)c3c2,CHEMBL1329627,8.57,pAC50
Clc1cc(Cl)cc(CNc2nccc(n2)c3ccc4OCOc4c3)c1,CHEMBL2392364,8.7,pIC50
Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccccc4)c3,CHEMBL379218,8.85,pKd
