SMILES,ChEMBL,target,metric
CN1[C@@H]([C@@H](O[C@@H](Cc2ccccc2)C1=O)c3ccc(Br)cc3)c4ccc(Br)cc4,CHEMBL2347399,6.0,pIC50
COCCOc1ccccc1N2CCN(CC2)C(=O)[C@]3(CN(CC(C)(C)C3)C(=O)c4cnccc4C(F)(F)F)Oc5ccc(cc5)C(F)(F)F,CHEMBL3233591,6.0,pIC50
COc1cc2CC(=O)N(C3CCC(CC3)C(=O)C)C(c4ccc(Cl)cc4)c2cc1OC(C)C,CHEMBL3650061,6.0,pIC50
COc1ccc(C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(Cl)cc4)c5ccc(Cl)cc5)c(OC(C)C)c1,CHEMBL191334,6.0,pIC50
Cc1[nH]c(c2ccccc2)c(c3ccccc3)c1c4ccn[nH]4,CHEMBL3291217,6.0,pIC50
OC(=O)c1[nH]c2cc(Cl)ccc2c1c3c(ncn3Cc4ccc(Cl)cc4)c5ccccc5,CHEMBL1233798,6.0,pKd
COc1cc2CC(=O)N(C3CCC(CC3)NC(=O)C)C(c4ccc(Cl)cc4)c2cc1OC(C)C,CHEMBL3650050,6.01,pIC50
COc1ccc(cc1)N2C(c3ccc(Cl)cc3)c4cc(OC)c(OC)cc4NC2=O,CHEMBL3683111,6.01,pIC50
C[C@@H](N1[C@H](C(=O)N(CCCCC(=O)O)c2ccc(I)cc2C1=O)c3ccc(cc3)C(F)(F)F)c4ccc(Cl)cc4,CHEMBL383727,6.01,pIC50
Cc1[nH]c(c2ccccc2)c(c3ccccc3)c1c4ccnn4c5ccccc5,CHEMBL3291218,6.01,pIC50
OCc1ccc(COC2(N(Cc3ccc(cc3)[N+](=O)[O-])C(=O)c4ccccc24)c5ccc(Cl)cc5)cc1,CHEMBL1688267,6.01,pIC50
COC(C)C1CCCN1c2nc3cc(nc(c4cncc(Cl)c4)c3n2C[C@@H]5CC[C@@H](C)CC5)C6=NOC(=O)N6,CHEMBL3649823,6.02,pIC50
