SMILES,ChEMBL,target,metric
O=C(Cc1ccccn1)Nc2ccc(cc2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666835,6.01,pIC50
Cc1ncsc1C(=O)Nc2ccc(c(N)c2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666840,6.07,pIC50
Cc1ncncc1NC(=O)Nc2ccc(c(F)c2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666868,6.22,pIC50
FC(F)(F)c1cc(C2CC2)n(n1)c3ccc(NC(=O)Cc4ccccn4)cc3,CHEMBL3666850,6.22,pIC50
O=C(Cc1ccccc1)Nc2ccc(cc2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666834,6.34,pIC50
Fc1cccc(F)c1C(=O)Nc2ccc(nc2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666841,6.36,pIC50
Cc1ncsc1C(=O)Nc2ccc(cc2)n3nc(cc3CF)C(F)(F)F,CHEMBL3666880,6.43,pIC50
Fc1cccc(F)c1C(=O)Nc2cnc(nc2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666879,6.53,pIC50
Cc1ncsc1NC(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666853,6.57,pIC50
Cc1oncc1C(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666829,6.59,pIC50
FC(F)(F)c1cc(C2CC2)n(n1)c3ccc(NC(=O)c4ccncc4)cc3,CHEMBL3666848,6.59,pIC50
Fc1cnccc1C(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666832,6.61,pIC50
Fc1cc(NC(=O)c2ccncc2)ccc1n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666864,6.64,pIC50
Cc1ncncc1C(=O)Nc2ccc(c(F)c2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666838,6.65,pIC50
Cc1ncsc1C(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666828,6.69,pIC50
Fc1cc(NC(=O)c2cccnc2)ccc1n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666863,6.69,pIC50
Cc1ncsc1C(=O)Nc2ccc(cc2)n3nc(c(Cl)c3C4CC4)C(F)(F)F,CHEMBL3666856,6.71,pIC50
Fc1cc(NC(=O)c2ccncc2)ccc1n3nc(cc3C4CC4)C5CC5,CHEMBL3666837,6.73,pIC50
Cc1nnsc1C(=O)Nc2ccc(c(F)c2)n3nc(C4CC4)c(Cl)c3C5CC5,CHEMBL3666839,6.74,pIC50
Cc1nnsc1C(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666843,6.74,pIC50
Fc1cc(NC(=O)c2c(Cl)cncc2Cl)ccc1n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666866,6.8,pIC50
Fc1cnccc1C(=O)Nc2ccc(c(F)c2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666865,6.8,pIC50
Cc1ccccc1C(=O)Nc2ccc(c(F)c2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666860,6.83,pIC50
Cc1nnsc1C(=O)Nc2ccc(nc2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666870,6.83,pIC50
Fc1cccc(F)c1C(=O)Nc2ccc(c(F)c2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666836,6.84,pIC50
O=C(Nc1ccc(cc1)n2nc(cc2C3CC3)C4CC4)c5ccncc5,CHEMBL3666831,6.85,pIC50
Clc1cncc(Cl)c1C(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C5CC5,CHEMBL3666833,6.89,pIC50
Cc1onc(C)c1C(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666846,6.91,pIC50
Fc1cccc(F)c1NC(=O)c2ccc(cc2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666855,6.91,pIC50
Cc1ccccc1C(=O)Nc2ccc(cc2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666847,6.92,pIC50
Fc1cccc(F)c1NC(=O)c2ccc(c(F)c2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666869,7.0,pIC50
Fc1cccc(F)c1C(=O)Nc2ccc(c(F)c2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666862,7.01,pIC50
Cc1ncncc1C(=O)Nc2ccc(c(F)c2)n3nc(cc3C4CC4)C(F)(F)F,CHEMBL3666867,7.09,pIC50
