SMILES,ChEMBL,target,metric
COc1ccc(nc1OC)N2C(=O)Nc3cc(ncc3C2=O)C(=O)NCc4ccc(Cl)cc4,CHEMBL3115296,6.0,pEC50
COc1ccc(nc1OC)N2C(=O)Nc3cc(sc3C2=O)C(=O)NCc4ccc5OCOc5c4,CHEMBL3115295,6.0,pEC50
COc1ccc(nc1OC)N2C(=S)Nc3cc(sc3C2=O)C(=O)NCc4ccc(Cl)cc4,CHEMBL3115293,6.0,pEC50
COc1ccc(nc1OC)N2C(=S)Nc3sc(C(=O)NCc4ccc(Cl)cc4)c(C)c3C2=O,CHEMBL3115294,6.0,pEC50
OC(=O)CNC(=O)c1ncc(cc1O)c2ccc(cc2)[N+]#[C-],CHEMBL3646219,6.25,pIC50
CC(C)(C)c1ccc(CN2C(=O)C(=C(O)N=C2c3c(Cl)cccc3Cl)C(=O)NCC(=O)O)cc1,CHEMBL3115283,6.4,pEC50
CC(C)(C)c1ccc(CN2N=C(C(=C(C(=O)NCC(=O)O)C2=O)O)c3ccc(Cl)cc3)cc1,CHEMBL3115284,6.4,pEC50
OC(=O)CNC(=O)C1=C(O)N(Cc2ccccc2)C(=O)N(Cc3ccccc3C#N)C1=O,CHEMBL3115282,6.4,pEC50
OC(=O)CNC(=O)c1ncc(cc1O)c2cccc(Cl)c2,CHEMBL3646221,6.41,pIC50
OC(=O)CNC(=O)c1ncc(cc1O)c2ccccc2Cl,CHEMBL3646222,6.41,pIC50
COCc1onc(n1)c2ccc(cc2)N3C(=O)N(c4cc(O)ncn4)C5(CCN(Cc6ncccc6C)CC5)C3=O,CHEMBL2040894,6.47,pIC50
Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)n5cccn5)c6cc(O)ncn6,CHEMBL2040895,6.5,pIC50
Cc1ccc(cc1)c2cnc(C(=O)NCC(=O)O)c(O)c2,CHEMBL3646215,6.75,pIC50
COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6ccc(cc6)c7ccn[nH]7,CHEMBL2041168,6.89,pIC50
Cc1cccnc1CN2CCC3(CC2)N(C(=O)N(C3=O)c4ccc(cc4)C5CCCCC5)c6cc(O)ncn6,CHEMBL2043327,6.92,pIC50
OC(=O)CNC(=O)c1c(O)c(cc2nccnc12)c3cccnc3,CHEMBL3115290,7.0,pEC50
