SMILES,ChEMBL,target,metric
Cc1ccccc1C(=O)NCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F,CHEMBL569177,6.01,pIC50
Clc1ccc(NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)S(=O)(=O)c4ccccc4)cc1,CHEMBL2306668,6.01,pIC50
CCCCS(=O)(=O)N1CCCC(C1)C(=O)Nc2ccc(OC(C)C)cc2,CHEMBL572606,6.03,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(Cc4ccccc4)C5=C3C(=O)CC(C)(C)C5)C(F)(F)F,CHEMBL490747,6.06,pIC50
CCCCS(=O)(=O)N1C[C@H]2CC[C@H]1[C@@H](C2)C(=O)Nc3ccc(Cc4ccccc4)cc3,CHEMBL578446,6.08,pIC50
COc1cccc(c1)S(=O)(=O)[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)Nc4ccc(cc4)C(F)(F)F,CHEMBL2306674,6.08,pIC50
FC(F)(F)c1ccc(cc1)C(=O)NCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F,CHEMBL566965,6.09,pIC50
CC(C)Oc1ccc(NC(=O)C2CC3CCC2N(C3)S(=O)(=O)c4cn(C)cn4)cc1,CHEMBL574934,6.1,pIC50
CC1CC(=O)C2=C(C1)N(C(=O)C2(C3=C(C)NN(C3=O)c4ccccc4)C(F)(F)F)c5ccccc5,CHEMBL522979,6.15,pIC50
CCCCS(=O)(=O)N1C[C@H]2CC[C@H]1[C@@H](C2)C(=O)Nc3ccc(Oc4ccccc4)cc3,CHEMBL574937,6.15,pIC50
Fc1ccc(CC(=O)NCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F)cc1,CHEMBL583461,6.19,pIC50
CC(C)Oc1ccc(NC(=O)[C@@H]2C[C@@H]3CC[C@@H]2N(C3)S(=O)(=O)C(C)C)cc1,CHEMBL572608,6.21,pIC50
CC(C)N1C2=C(C(=O)CC(C)(C)C2)C(C1=O)(C3=C(C)NN(C3=O)c4ccccc4)C(F)(F)F,CHEMBL513730,6.22,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4=C3C(=O)CC(C)(C)C4)c5ccc(Cl)cc5)C(F)(F)F,CHEMBL521763,6.22,pIC50
COc1ccc(cc1)S(=O)(=O)N2C[C@H]3CC[C@H]2[C@@H](C3)C(=O)Nc4ccc(OC(C)C)cc4,CHEMBL573079,6.22,pIC50
COc1cccc(c1)S(=O)(=O)N2C[C@H]3CC[C@H]2[C@@H](C3)C(=O)Nc4ccc(OC(C)C)cc4,CHEMBL577360,6.22,pIC50
FC(F)(F)c1ccc(NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)S(=O)(=O)c4cccc(Cl)c4)cc1,CHEMBL2306677,6.22,pIC50
Fc1ccc(cc1)C(=O)NCC2(OC(=O)Nc3ccc(cc23)n4cncn4)C(F)(F)F,CHEMBL568728,6.24,pIC50
COc1ccc(cc1)C(=O)NCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F,CHEMBL583523,6.25,pIC50
COc1ccc(cc1)N2C3=C(C(=O)CC(C)(C)C3)C(C2=O)(C4=C(C)NN(C4=O)c5ccccc5)C(F)(F)F,CHEMBL521776,6.25,pIC50
FC(F)(F)c1ccc(NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)S(=O)(=O)c4cccnc4)cc1,CHEMBL2307419,6.25,pIC50
CCN1C2=C(C(=O)CC(C)(C)C2)C(C1=O)(C3=C(C)NN(C3=O)c4ccccc4)C(F)(F)F,CHEMBL452144,6.26,pIC50
Fc1ccc(cc1)C(=O)NCC2(OC(=O)Nc3ccc(cc23)c4ncc[nH]4)C(F)(F)F,CHEMBL566966,6.27,pIC50
Fc1ccccc1C(=O)NCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F,CHEMBL572159,6.27,pIC50
CN1C2=C(C(=O)CC(C)(C)C2)C(C1=O)(C3=C(C)NN(C3=O)c4ccccc4)C(F)(F)F,CHEMBL522448,6.28,pIC50
CCCCS(=O)(=O)N1C[C@H]2CC[C@H]1[C@@H](C2)C(=O)Nc3ccc(OC(F)(F)F)cc3,CHEMBL574936,6.29,pIC50
FC(F)(F)c1ccc(NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)S(=O)(=O)c4ccncc4)cc1,CHEMBL2308143,6.29,pIC50
Cc1cccc(c1)C(=O)NCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F,CHEMBL569176,6.36,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4CCCC4)C5=C3C(=O)CC(C)(C)C5)C(F)(F)F,CHEMBL491371,6.39,pIC50
CC(C)Oc1ccc(NC(=O)[C@@H]2C[C@@H]3CC[C@@H]2N(C3)S(=O)(=O)c4cccs4)cc1,CHEMBL574479,6.5,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4=C3C(=O)CC(C)(C)C4)c5ccccc5)C(F)(F)F,CHEMBL491537,6.54,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4CCC4)C5=C3C(=O)CC(C)(C)C5)C(F)(F)F,CHEMBL474835,6.57,pIC50
Fc1cccc(c1)C(=O)NCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F,CHEMBL574146,6.58,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4=C3C(=O)CC(C)(C)C4)c5cccc(Cl)c5)C(F)(F)F,CHEMBL491125,6.61,pIC50
CC(C)Oc1ccc(NC(=O)[C@@H]2C[C@@H]3CC[C@@H]2N(C3)S(=O)(=O)c4cn(C)cn4)cc1,CHEMBL578249,6.64,pIC50
COc1cccc(c1)N2C3=C(C(=O)CC(C)(C)C3)C(C2=O)(C4=C(C)NN(C4=O)c5ccccc5)C(F)(F)F,CHEMBL489920,6.65,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4CCCCC4)C5=C3C(=O)CC(C)(C)C5)C(F)(F)F,CHEMBL490746,6.68,pIC50
CCCS(=O)(=O)N1C[C@H]2CC[C@H]1[C@@H](C2)C(=O)Nc3ccc(OC(C)C)cc3,CHEMBL575155,6.68,pIC50
CC1=C(C(=O)N(N1)c2ccc(Oc3ccccc3)cc2)C4(C(=O)N(C5=C4C(=O)CC(C)(C)C5)c6ccccc6)C(F)(F)F,CHEMBL447672,6.71,pIC50
CC(C)Oc1ccc(NC(=O)[C@@H]2C[C@@H]3CC[C@@H]2N(C3)S(=O)(=O)c4ccc(F)cc4)cc1,CHEMBL574029,6.72,pIC50
CCCN1C2=C(C(=O)CC(C)(C)C2)C(C1=O)(C3=C(C)NN(C3=O)c4ccccc4)C(F)(F)F,CHEMBL470730,6.73,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4CC4)C5=C3C(=O)CC(C)(C)C5)C(F)(F)F,CHEMBL470918,6.84,pIC50
Fc1ccc(NC(=O)OCC2(OC(=O)Nc3ccc(Cl)cc23)C(F)(F)F)cc1,CHEMBL578605,6.85,pIC50
CC(C)Oc1ccc(NC(=O)[C@@H]2C[C@@H]3CC[C@@H]2N(C3)S(=O)(=O)c4ccccc4F)cc1,CHEMBL578037,6.89,pIC50
CC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4=C3C(=O)CC5(CCC5)C4)c6ccccc6)C(F)(F)F,CHEMBL523990,6.91,pIC50
CC(C)Oc1ccc(NC(=O)[C@@H]2C[C@@H]3CC[C@@H]2N(C3)S(=O)(=O)c4ccccn4)cc1,CHEMBL579051,6.92,pIC50
CCCCS(=O)(=O)N1C[C@H]2CC[C@H]1[C@@H](C2)C(=O)Nc3ccc(OC(C)C)cc3,CHEMBL572605,6.92,pIC50
Fc1ccc(cc1)C(=O)NCC2(OC(=O)Nc3ccc(cc23)c4ccon4)C(F)(F)F,CHEMBL584964,6.92,pIC50
CC(C)Oc1ccc(NC(=O)[C@@H]2C[C@@H]3CC[C@@H]2N(C3)S(=O)(=O)c4cccc(F)c4)cc1,CHEMBL577160,6.96,pIC50
Fc1ccc(cc1)C(=O)NCC2(OC(=O)Nc3ccc(cc23)N4C=CC=CC4=O)C(F)(F)F,CHEMBL570564,6.98,pIC50
CCC1=C(C(=O)N(N1)c2ccccc2)C3(C(=O)N(C4=C3C(=O)CC(C)(C)C4)c5ccccc5)C(F)(F)F,CHEMBL491131,7.0,pIC50
Fc1ccc(cc1)C(=O)NCC2(OC(=O)Nc3ccc(cc23)c4ncn[nH]4)C(F)(F)F,CHEMBL583468,7.01,pIC50
