SMILES,ChEMBL,target,metric
Ic1cccc(c1)[C@@H]2C[C@H](c3ccccc3)n4nnnc4N2,CHEMBL3597692,6.0,pIC50
Brc1cccc(c1)C2CC(c3ccccc3)n4nnnc4N2,CHEMBL1401692,6.05,pKd
Clc1ccccc1C2CC(Nc3nnnn23)c4cccc(I)c4,CHEMBL3597674,6.08,pKd
Brc1cccc(c1)C2CC(c3ccccc3I)n4nnnc4N2,CHEMBL3597670,6.12,pKd
[O-][N+](=O)c1c(Nc2cc(F)cc(F)c2)ccc3nonc13,CHEMBL2311931,6.14,pKd
Nc1nccc(n1)c2c3ccnc(N)n3c4nccc(O)c24,CHEMBL380500,6.16,pEC50
[O-][N+](=O)c1c(Nc2cccc(c2)C(F)(F)F)ccc3nonc13,CHEMBL2311960,6.19,pKd
[O-][N+](=O)c1c(NCc2ccc(F)cc2C(F)(F)F)ccc3nonc13,CHEMBL2311951,6.27,pKd
[O-][N+](=O)c1c(NCc2ccc(F)cc2Cl)ccc3nonc13,CHEMBL2311947,6.3,pKd
Brc1cccc(c1)[C@@H]2C[C@H](c3ccccc3)n4nnnc4N2,CHEMBL3597690,6.31,pKd
Fc1ccc(Br)c(Cl)c1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597682,6.39,pKd
Brc1cccc(c1)C2CC(c3ccccc3Br)n4nnnc4N2,CHEMBL3597672,6.4,pKd
[O-][N+](=O)c1c(Nc2ccc(F)c(Cl)c2)ccc3nonc13,CHEMBL2311966,6.4,pKd
Fc1ccc(F)c(C2CC(Nc3nnnn23)c4cccc(Br)c4)c1F,CHEMBL3597681,6.41,pKd
[O-][N+](=O)c1c(Nc2cc(F)cc(c2)C(F)(F)F)ccc3nonc13,CHEMBL2311930,6.43,pKd
Brc1cccc(c1)[C@@H]2C[C@H](c3ccccc3Br)n4nnnc4N2,CHEMBL3597694,6.44,pKd
Clc1ccccc1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597673,6.44,pKd
Fc1ccccc1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597671,6.49,pKd
Clc1ccccc1[C@H]2C[C@H](Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597696,6.53,pKd
Fc1c(Br)ccc(Br)c1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597686,6.62,pKd
Fc1cc(Br)cc(c1)C2CC(c3ccccc3)n4nnnc4N2,CHEMBL3597688,6.67,pKd
Fc1c(Cl)ccc(Cl)c1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597684,6.71,pKd
[O-][N+](=O)c1c(Nc2ccc(Cl)c(Cl)c2)ccc3nonc13,CHEMBL2311932,6.77,pKd
[O-][N+](=O)c1c(Nc2ccc(Cl)c(c2)C(F)(F)F)ccc3nonc13,CHEMBL2311967,6.77,pKd
Fc1cc(Br)cc(c1)[C@@H]2C[C@H](c3ccccc3)n4nnnc4N2,CHEMBL3597784,6.78,pKd
Fc1ccc(I)cc1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597678,6.8,pKd
[O-][N+](=O)c1c(Nc2cccc(Cl)c2)ccc3nonc13,CHEMBL2311959,6.8,pKd
Clc1ccc(Br)cc1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597679,6.9,pKd
Clc1ccc(Br)cc1[C@H]2C[C@H](Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597780,6.9,pKd
Clc1cccc(c1)C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597675,6.94,pKd
Brc1cccc(c1)[C@@H]2C[C@H](c3cccc(Br)c3)n4nnnc4N2,CHEMBL3597698,6.95,pIC50
Brc1cccc(c1)[C@@H]2C[C@H](c3cccc(I)c3)n4nnnc4N2,CHEMBL3597778,6.96,pKd
Brc1cccc(c1)C2CC(c3cccc(I)c3)n4nnnc4N2,CHEMBL3597677,6.99,pKd
[O-][N+](=O)c1c(Nc2cc(F)cc(Cl)c2)ccc3nonc13,CHEMBL2311933,7.05,pKd
Fc1c(Br)ccc(Cl)c1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597687,7.07,pKd
Fc1ccc(Cl)c(F)c1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597683,7.07,pKd
Brc1cccc(c1)C2CC(c3cccc(Br)c3)n4nnnc4N2,CHEMBL3597676,7.16,pKd
Fc1ccc(Br)c(F)c1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597685,7.31,pKd
Fc1cc(Br)cc(c1)[C@@H]2C[C@H](c3cccc(Br)c3)n4nnnc4N2,CHEMBL3597786,7.37,pIC50
Fc1c(Cl)cccc1C2CC(Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597680,7.42,pKd
Fc1ccc(Br)c(F)c1[C@H]2C[C@H](Nc3nnnn23)c4cccc(Br)c4,CHEMBL3597782,7.47,pKd
Fc1cc(Br)cc(c1)C2CC(c3cccc(Br)c3)n4nnnc4N2,CHEMBL3597689,7.55,pKd
