SMILES,ChEMBL,target,metric
CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1,racecadotril,8.1,pIC50
COc1cc(OC)cc(c1)c2ccc(CC(NC(=O)C3(CCCC3)NC(=O)[C@@H](S)C(C)C)C(=O)O)cc2,CHEMBL124132,6.0,pIC50
CC(C(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)c3ccc4ccccc4c3,CHEMBL38235,6.01,pKi
COc1ccc(nc1c2csc(CCc3ccccc3)n2)C(=O)O,CHEMBL69984,6.01,pIC50
C[C@H]([C@H](CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c3ccc(cc3)c4ccccc4,CHEMBL37711,6.04,pKi
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(CC3CC(=NO3)c4ccccc4)CP(=O)(O)[C@H](Cc5ccccc5)NC(=O)OCc6ccccc6,CHEMBL570842,6.04,pKi
COc1ccc(CCC(N[C@@H](Cc2ccc3c(oc4ccccc34)c2)C(=O)O)P(=O)(O)O)cc1OC,CHEMBL357441,6.05,pIC50
OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)c3cccc(c3)c4ccccc4,CHEMBL288302,6.05,pKi
CC(C)(C)CC(=O)Nc1ccc2c(c1)cc(C(=O)Nc3ccccc3)n2CC4CCCCC4,CHEMBL196380,6.07,pIC50
CC(C)(C)CC(=O)Nc1ccc2c(c1)cc(C(=O)Nc3cccnc3)n2Cc4ccccc4F,CHEMBL426471,6.07,pIC50
COc1ccc(nc1c2csc(Cc3ccccc3)n2)C(=O)O,CHEMBL70080,6.07,pIC50
CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)NC(Cc2ccc(cc2)c3ccc(Cl)cc3)C(=O)O,CHEMBL2297547,6.09,pIC50
CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc2ccc(cc2)c3ccc(Cl)cc3)C(=O)O,CHEMBL125174,6.09,pIC50
[Na+].[Na+].CC(C)C(CP(=O)([O-])C(Cc1ccc2ccccc2c1)NC(=O)[C@H](CCCCNC(=O)OCc3ccccc3)NS(=O)(=O)C)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)[O-],CHEMBL435561,6.1,pIC50
C[C@H]([C@H](CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c3ccccc3,CHEMBL38249,6.11,pKi
COc1cccc2C(CCc12)C(CS)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)O,CHEMBL59856,6.12,pKi
CC(C)(C)CCC(=O)Nc1ccc2c(c1)cc(C(=O)Nc3ccccc3)n2Cc4ccccc4F,CHEMBL195318,6.13,pIC50
CC(C)CSc1nnc([C@@H]2C[C@@H](S)CN2S(=O)(=O)c3ccc4ccccc4c3)n1c5ccccc5,CHEMBL295865,6.14,pIC50
COc1ccccc1c2ccc(CC(NC(=O)C3(CCCC3)NC(=O)[C@@H](S)C(C)C)C(=O)O)cn2,CHEMBL441817,6.16,pIC50
S[C@@H]1C[C@H](N(C1)S(=O)(=O)c2ccc3ccccc3c2)c4nnc(SCC5CC5)n4c6ccccc6,CHEMBL47934,6.16,pIC50
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(CS)[C@@H]3CCCc4ccccc34,CHEMBL37276,6.17,pKi
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CS)[C@@H]3CCc4ccccc34,CHEMBL2114403,6.17,pKi
CC(C)(C)C\C(=N\c1ccc2c(c1)cc(C(=O)Nc3ccccc3)n2Cc4ccccc4F)\S,CHEMBL194739,6.18,pIC50
CC(C)(C)CC(=O)Nc1ccc2c(c1)cc(C(=O)Nc3ccccc3)n2Cc4c(F)cccc4F,CHEMBL194966,6.19,pIC50
CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)NC(Cc2ccc(cc2)c3ccc(F)cc3)C(=O)O,CHEMBL2297548,6.19,pIC50
CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)NC(Cc2ccc(cc2)c3cccc(c3)C(F)(F)F)C(=O)O,CHEMBL2297550,6.19,pIC50
CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc2ccc(cc2)c3ccc(F)cc3)C(=O)O,CHEMBL126045,6.19,pIC50
CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc2ccc(cc2)c3cccc(c3)C(F)(F)F)C(=O)O,CHEMBL125987,6.19,pIC50
OC(=O)[C@@H]1CCCCCCc2cccc(CC(CS)C(=O)N1)c2,CHEMBL287358,6.21,pIC50
CC(=O)N[C@@H](Cc1ccccc1)P(=O)(O)CC2(CCCC2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O,CHEMBL40578,6.22,pIC50
CC(C(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)c3cccc4ccccc34,CHEMBL289223,6.22,pKi
OP(=O)(O)CN[C@@H](CC#Cc1ccccc1)c2nn[nH]n2,CHEMBL39384,6.23,pIC50
C[C@@H]([C@@H](CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c3ccccc3,CHEMBL288814,6.24,pKi
CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)NC(Cc2ccc(cc2)c3ccc(F)c(Cl)c3)C(=O)O,CHEMBL2297551,6.25,pIC50
