SMILES,ChEMBL,target,metric
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,triclocarban,6.92,pIC50
CCCNC(=O)NC1CCCCCCCCCCC1,CHEMBL3661328,6.0,pIC50
COc1ccc(CCNC(=O)NC2CCCCC2)cc1OC,CHEMBL1568999,6.0,pIC50
O=C(NC(=S)NC12CC3CC(CC(C3)C1)C2)c4ccccc4,CHEMBL2236331,6.0,pIC50
O=C(CC1CCCNC1)NC23CC4CC(CC(C4)C2)C3,CHEMBL3642248,6.02,pIC50
CCCCCNC(=O)NC1CCCCC1,CHEMBL3661350,6.04,pIC50
O=C(C1OC1c2cccc3ccccc23)c4ccccc4,CHEMBL3661418,6.07,pIC50
CCCN1CCC(CC1)NC(=O)NC23CC4CC(CC(C4)C2)C3,CHEMBL215168,6.09,pIC50
CCCCCCCCCCCNC(=O)NCCCC,CHEMBL3661342,6.13,pIC50
CCCCCCCCNC(=O)NCCCCC,CHEMBL3661333,6.14,pIC50
OC(C1OC1c2ccc(cc2)c3ccccc3)c4ccccc4,CHEMBL3661406,6.14,pIC50
CCCCCCCCNC(=O)NCCC,CHEMBL3661332,6.17,pIC50
O=C(CCCCc1ccccc1)NC2CCCCC2,CHEMBL3661327,6.17,pIC50
CCCCCCCCCCCCNC(=O)NCCCC,CHEMBL3661345,6.19,pIC50
CCCCCCCCCCCCNC(=O)Nc1ccc2[nH]ccc2c1,CHEMBL3640215,6.19,pIC50
CCCCN1CCC(CNC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,CHEMBL386044,6.21,pIC50
CCCCCCCCCCNC(=O)Nc1ccccc1,CHEMBL3661340,6.22,pIC50
CCCCCCCCNC(=O)Nc1ccccc1,CHEMBL3661338,6.24,pIC50
CCCCCCNC(=O)Nc1ccc2ccccc2c1,CHEMBL3661330,6.24,pIC50
O=C(NCCCCc1ccccc1)NC2CCCCC2,CHEMBL3661377,6.24,pIC50
O=C(NC1CCCCC1)NC2CCNCC2,CHEMBL3642238,6.25,pIC50
O=C(NCCCc1ccccc1)Nc2ccccc2,CHEMBL1413197,6.26,pIC50
O=C(NCCc1cnc[nH]1)NC2CCCCC2,CHEMBL3661364,6.26,pIC50
O=C(NCC1CCCCC1)Nc2ccccc2,CHEMBL3661376,6.28,pIC50
CC(C)c1ccc(NC(=O)NCCc2ccccc2)cc1,CHEMBL3661395,6.32,pIC50
CCCCCCCCNC(=O)OC,CHEMBL3657186,6.32,pIC50
O=C(NC1CCCCC1)Nc2cccc3ccccc23,CHEMBL1713120,6.32,pIC50
C1CCC(CC1)N=C=NC2CCCCC2,CHEMBL162598,6.33,pIC50
O=C(NC1CCCCC1)Nc2ccc3nc[nH]c3c2,CHEMBL3642236,6.34,pIC50
Fc1ccc(NC(=O)NC2CCCCC2)cc1,CHEMBL1573741,6.37,pIC50
O=C(CC1CCCCC1)NC2CCCCC2,CHEMBL3661325,6.38,pIC50
OC(=O)c1ccccc1C(=O)N2CCC(CNC(=O)NC34CC5CC(CC(C5)C3)C4)CC2,CHEMBL214735,6.39,pIC50
Clc1ccc(NC(=O)NC2CCCCC2)cc1,CHEMBL11405,6.4,pIC50
[O-][N+](=O)c1ccc(NC(=O)NC2CCCCC2)cc1,CHEMBL3661390,6.44,pIC50
O=C(NC1CCCCC1)Oc2ccc3ccccc3c2,CHEMBL77250,6.46,pIC50
O=C(NC1CCCCC1)OCCCCC2CCCCC2,CHEMBL3657191,6.47,pIC50
O=C(NC1CCCCC1)OCc2c3ccccc3cc4ccccc24,CHEMBL3661321,6.48,pIC50
OCc1ccccc1OC(=O)NC2CCCCC2,CHEMBL3657189,6.5,pIC50
[O-][S+](C1OC1c2ccccc2)c3ccccc3,CHEMBL3661403,6.51,pIC50
CCCCCCCCCCNC(=O)Nc1cccc(Cl)c1,CHEMBL3661341,6.52,pIC50
